,Precinct,County,Registered Voters,Harrison Lance (Rep)_Election Day Votes,Harrison Lance (Rep)_Advanced Voting Votes,Harrison Lance (Rep)_Absentee by Mail Votes,Harrison Lance (Rep)_Provisional Votes,Harrison Lance (Rep)_Choice Total,"Jennifer """"Jen"""" Jordan (I) (Dem)_Election Day Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Advanced Voting Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Absentee by Mail Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Provisional Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Choice Total",Total,calc_participation
44,Smyrna 4A,Cobb,5842.0,81.0,189.0,198.0,0.0,468.0,113.0,425.0,453.0,2.0,993.0,1461.0,25.0
45,Smyrna 5A,Cobb,4319.0,221.0,354.0,251.0,0.0,826.0,326.0,812.0,805.0,4.0,1947.0,2773.0,64.2
46,Smyrna 6A,Cobb,5936.0,314.0,756.0,638.0,0.0,1708.0,253.0,1048.0,1177.0,6.0,2484.0,4192.0,70.6
47,Terrell Mill 01,Cobb,5816.0,70.0,135.0,75.0,1.0,281.0,277.0,595.0,367.0,5.0,1244.0,1525.0,26.2
48,Vinings 01,Cobb,3260.0,188.0,281.0,249.0,1.0,719.0,208.0,747.0,620.0,1.0,1576.0,2295.0,70.4
49,Vinings 02,Cobb,6400.0,301.0,627.0,567.0,1.0,1496.0,395.0,1302.0,1185.0,4.0,2886.0,4382.0,68.5
41,Smyrna 2A,Cobb,5539.0,160.0,412.0,279.0,0.0,851.0,420.0,1314.0,1038.0,1.0,2773.0,3624.0,65.4
50,Vinings 03,Cobb,4407.0,160.0,490.0,370.0,2.0,1022.0,242.0,1022.0,914.0,2.0,2180.0,3202.0,72.7
26,SS11D,Fulton,397.0,15.0,93.0,35.0,0.0,143.0,10.0,95.0,66.0,0.0,171.0,314.0,79.1
31,SS31,Fulton,1703.0,52.0,330.0,129.0,0.0,511.0,43.0,434.0,274.0,0.0,751.0,1262.0,74.1
30,SS14,Fulton,1412.0,88.0,470.0,152.0,1.0,711.0,12.0,262.0,174.0,0.0,448.0,1159.0,82.1
29,SS13B,Fulton,1278.0,45.0,283.0,57.0,0.0,385.0,50.0,333.0,135.0,1.0,519.0,904.0,70.7
28,SS13A,Fulton,2103.0,82.0,452.0,139.0,3.0,676.0,80.0,466.0,258.0,3.0,807.0,1483.0,70.5
27,SS12,Fulton,2897.0,124.0,598.0,290.0,4.0,1016.0,71.0,671.0,450.0,5.0,1197.0,2213.0,76.4
0,07A,Fulton,7691.0,334.0,1315.0,457.0,10.0,2116.0,292.0,1748.0,1091.0,13.0,3144.0,5260.0,68.4
23,SS11A,Fulton,4026.0,144.0,588.0,245.0,2.0,979.0,200.0,1013.0,502.0,10.0,1725.0,2704.0,67.2
1,07B,Fulton,2952.0,178.0,895.0,323.0,0.0,1396.0,59.0,546.0,439.0,1.0,1045.0,2441.0,82.7
2,07C,Fulton,4512.0,163.0,668.0,462.0,10.0,1303.0,137.0,886.0,773.0,5.0,1801.0,3104.0,68.8
3,07D,Fulton,4879.0,186.0,855.0,220.0,14.0,1275.0,184.0,1146.0,542.0,13.0,1885.0,3160.0,64.8
4,08A,Fulton,3084.0,157.0,703.0,240.0,3.0,1103.0,104.0,734.0,376.0,7.0,1221.0,2324.0,75.4
5,08B,Fulton,3498.0,159.0,972.0,289.0,2.0,1422.0,58.0,811.0,431.0,0.0,1300.0,2722.0,77.8
6,08C,Fulton,1500.0,61.0,513.0,164.0,0.0,738.0,22.0,243.0,177.0,0.0,442.0,1180.0,78.7
7,08D,Fulton,1073.0,37.0,384.0,106.0,13.0,540.0,8.0,177.0,149.0,5.0,339.0,879.0,81.9
8,08E,Fulton,2568.0,107.0,760.0,258.0,3.0,1128.0,45.0,536.0,440.0,0.0,1021.0,2149.0,83.7
9,08F1,Fulton,2187.0,104.0,738.0,236.0,3.0,1081.0,39.0,451.0,273.0,1.0,764.0,1845.0,84.4
10,08M,Fulton,2295.0,132.0,654.0,191.0,2.0,979.0,58.0,447.0,253.0,3.0,761.0,1740.0,75.8
24,SS11B,Fulton,1412.0,35.0,161.0,42.0,0.0,238.0,79.0,360.0,195.0,1.0,635.0,873.0,61.8
11,08N1,Fulton,824.0,29.0,243.0,88.0,1.0,361.0,10.0,172.0,110.0,1.0,293.0,654.0,79.4
13,09F,Fulton,3917.0,113.0,723.0,238.0,6.0,1080.0,113.0,1145.0,580.0,1.0,1839.0,2919.0,74.5
14,SS06,Fulton,1667.0,57.0,395.0,163.0,25.0,640.0,31.0,398.0,276.0,35.0,740.0,1380.0,82.8
15,SS07A,Fulton,1254.0,30.0,274.0,175.0,0.0,479.0,18.0,276.0,191.0,0.0,485.0,964.0,76.9
16,SS07B,Fulton,793.0,24.0,122.0,59.0,0.0,205.0,30.0,205.0,118.0,1.0,354.0,559.0,70.5
17,SS07C,Fulton,809.0,17.0,130.0,79.0,5.0,231.0,17.0,114.0,139.0,12.0,282.0,513.0,63.4
18,SS08A,Fulton,1891.0,85.0,232.0,66.0,8.0,391.0,97.0,557.0,212.0,8.0,874.0,1265.0,66.9
19,SS08B,Fulton,696.0,19.0,161.0,81.0,0.0,261.0,13.0,155.0,112.0,0.0,280.0,541.0,77.7
20,SS08C,Fulton,716.0,20.0,90.0,32.0,0.0,142.0,19.0,194.0,129.0,0.0,342.0,484.0,67.6
21,SS08D,Fulton,1555.0,51.0,206.0,80.0,0.0,337.0,53.0,409.0,217.0,0.0,679.0,1016.0,65.3
22,SS09B,Fulton,3611.0,120.0,966.0,383.0,3.0,1472.0,54.0,795.0,584.0,1.0,1434.0,2906.0,80.5
12,08N2,Fulton,1616.0,48.0,281.0,152.0,0.0,481.0,43.0,387.0,260.0,1.0,691.0,1172.0,72.5
25,SS11C,Fulton,361.0,5.0,22.0,4.0,0.0,31.0,28.0,104.0,27.0,1.0,160.0,191.0,52.9
