Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
ROCKBRIDGE G,Gwinnett,5799,132,379,189,3,703,382,1865,933,12,3192,21,35,28,0,84,3979,
PINCKNEYVILLE Y,Gwinnett,3272,102,170,77,0,349,363,656,343,2,1364,16,15,17,0,48,1761,
GOODWINS G,Gwinnett,2661,139,271,93,3,506,252,586,351,2,1191,18,16,12,0,46,1743,
PINCKNEYVILLE Z,Gwinnett,1898,290,362,304,0,956,92,214,330,0,636,16,9,9,0,34,1626,
PINCKNEYVILLE A1,Gwinnett,2694,309,575,455,0,1339,89,363,482,0,934,14,14,11,0,39,2312,
LAWRENCEVILLE J,Gwinnett,2249,151,217,94,0,462,180,543,290,3,1016,17,19,11,0,47,1525,
GOODWINS H,Gwinnett,2796,198,463,193,0,854,160,551,381,2,1094,31,25,15,0,71,2019,
DUNCANS B,Gwinnett,5387,547,1633,483,4,2667,224,769,480,2,1475,27,51,39,0,117,4259,
SUWANEE D,Gwinnett,4732,438,1267,517,2,2224,169,737,616,1,1523,10,43,20,0,73,3820,
SUWANEE E,Gwinnett,4256,356,1090,451,1,1898,131,754,555,1,1441,13,37,22,1,73,3412,
LAWRENCEVILLE K,Gwinnett,3282,267,581,298,0,1146,177,646,471,0,1294,13,22,14,0,49,2489,
HARBINS B,Gwinnett,4845,323,1247,310,2,1882,188,866,428,3,1485,35,53,21,0,109,3476,
BAYCREEK F,Gwinnett,4608,222,541,227,4,994,289,1356,650,7,2302,30,40,22,1,93,3389,
PUCKETTS C,Gwinnett,3367,263,877,231,0,1371,122,525,339,0,986,13,31,12,1,57,2414,
HOG MOUNTAIN C,Gwinnett,4292,322,913,294,0,1529,194,696,504,3,1397,39,42,34,0,115,3041,
ROCKYCREEK B,Gwinnett,5061,358,1208,368,2,1936,221,960,490,1,1672,36,51,29,0,116,3724,
DULUTH I,Gwinnett,5105,295,933,638,0,1866,202,757,928,1,1888,8,26,14,0,48,3802,
MARTINS K,Gwinnett,5352,205,392,248,0,845,479,1360,793,4,2636,33,40,23,0,96,3577,
SUWANEE H,Gwinnett,3785,322,1155,478,0,1955,108,555,429,1,1093,21,25,17,0,63,3111,
SUGAR HILL G,Gwinnett,2814,278,790,249,0,1317,77,391,373,1,842,19,21,19,0,59,2218,
SUWANEE F,Gwinnett,3966,290,794,326,2,1412,167,741,568,2,1478,23,26,13,0,62,2952,
LAWRENCEVILLE L,Gwinnett,4802,222,722,324,0,1268,279,1152,711,1,2143,16,29,19,0,64,3475,
LAWRENCEVILLE M,Gwinnett,7255,229,565,269,2,1065,530,2019,1006,6,3561,38,67,37,1,143,4769,
BAYCREEK G,Gwinnett,6241,262,773,291,0,1326,312,1930,884,1,3127,29,61,31,0,121,4574,
BAYCREEK H,Gwinnett,6811,354,1347,510,2,2213,330,1726,887,3,2946,24,51,33,0,108,5267,
BAYCREEK I,Gwinnett,5899,260,779,346,5,1390,306,1511,752,6,2575,25,38,35,0,98,4063,
BERKSHIRE Q,Gwinnett,1802,152,297,151,1,601,106,301,239,1,647,13,11,17,0,41,1289,
GOODWINS I,Gwinnett,2501,241,378,276,0,895,158,472,348,0,978,14,18,24,0,56,1929,
DULUTH K,Gwinnett,2786,74,164,77,1,316,222,546,306,2,1076,21,29,16,0,66,1458,
HARBINS C,Gwinnett,2850,378,599,183,2,1162,162,611,257,1,1031,16,17,20,0,53,2246,
ROCKYCREEK C,Gwinnett,4806,328,1181,348,0,1857,235,952,537,4,1728,23,54,24,0,101,3686,
LAWRENCEVILLE N,Gwinnett,2573,165,283,145,0,593,205,470,276,7,958,18,24,15,0,57,1608,
PUCKETTS D,Gwinnett,3622,249,957,334,4,1544,138,574,388,0,1100,18,22,22,1,63,2707,
SUWANEE G,Gwinnett,3904,281,729,272,0,1282,227,811,551,1,1590,23,33,20,0,76,2948,
BAYCREEK J,Gwinnett,4567,191,511,230,0,932,306,1280,641,5,2232,21,35,21,0,77,3241,
