Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
CATES C,Gwinnett,2903,165,301,193,1,660,170,742,393,2,1307,21,34,28,0,83,2050,
HOG MOUNTAIN D,Gwinnett,3179,260,665,254,1,1180,131,464,375,1,971,38,37,20,0,95,2246,
BERKSHIRE D,Gwinnett,2945,145,481,306,1,933,95,574,480,3,1152,24,53,35,0,112,2197,
BERKSHIRE E,Gwinnett,1997,161,442,207,0,810,63,339,268,1,671,12,29,24,0,65,1546,
BERKSHIRE F,Gwinnett,2254,163,211,163,0,537,170,356,294,0,820,23,26,13,1,63,1420,
CATES D,Gwinnett,3755,218,612,323,0,1153,172,792,541,2,1507,29,44,37,0,110,2770,
CATES E,Gwinnett,2942,205,546,322,1,1074,125,564,449,1,1139,36,47,26,0,109,2322,
PINCKNEYVILLE E,Gwinnett,2184,105,98,65,2,270,213,455,254,6,928,27,41,19,1,88,1286,
PINCKNEYVILLE F,Gwinnett,2546,104,219,113,1,437,228,449,310,2,989,20,31,22,0,73,1499,
DUNCANS D,Gwinnett,7153,594,2064,741,3,3402,253,902,667,0,1822,51,95,36,0,182,5406,
PINCKNEYVILLE H,Gwinnett,4536,330,712,458,0,1500,206,826,735,2,1769,36,68,51,2,157,3426,
BAYCREEK B,Gwinnett,5969,251,637,268,3,1159,403,1688,780,7,2878,42,55,30,0,127,4164,
LAWRENCEVILLE C,Gwinnett,3037,284,592,270,0,1146,114,453,310,1,878,31,55,28,0,114,2138,
MARTINS D,Gwinnett,2402,89,121,96,3,309,245,435,284,1,965,30,25,9,0,64,1338,
ROCKBRIDGE B,Gwinnett,4177,118,319,170,0,607,289,1121,580,1,1991,35,52,23,0,110,2708,
GARNERS B,Gwinnett,3178,118,395,218,4,735,167,819,456,1,1443,23,34,23,1,81,2259,
CATES F,Gwinnett,1787,196,304,231,0,731,97,283,214,2,596,22,21,14,0,57,1384,
CATES G,Gwinnett,2875,199,669,380,0,1248,106,491,386,0,983,17,42,27,0,86,2317,
DULUTH B,Gwinnett,3551,246,530,356,3,1135,170,491,516,1,1178,29,43,40,1,113,2426,
GARNERS C,Gwinnett,2030,131,287,144,0,562,109,425,250,1,785,21,38,15,1,75,1422,
PINCKNEYVILLE I,Gwinnett,2635,103,194,125,0,422,232,540,303,2,1077,22,28,10,0,60,1559,
PINCKNEYVILLE J,Gwinnett,2613,68,126,61,0,255,252,608,270,3,1133,23,30,9,0,62,1450,
BERKSHIRE G,Gwinnett,2419,159,498,239,0,896,94,510,292,0,896,25,42,19,0,86,1878,
CATES H,Gwinnett,3924,107,387,187,0,681,282,901,481,2,1666,30,52,22,0,104,2451,
SUGAR HILL C,Gwinnett,5085,569,1201,448,1,2219,197,730,480,0,1407,62,82,41,0,185,3811,
SUGAR HILL D,Gwinnett,4624,299,1136,324,5,1764,165,710,428,2,1305,44,82,27,1,154,3223,
DULUTH C,Gwinnett,2229,194,306,197,2,699,119,365,307,2,793,32,26,26,0,84,1576,
DULUTH D,Gwinnett,5077,211,633,292,6,1142,278,992,644,11,1925,52,73,36,2,163,3230,
PINCKNEYVILLE K,Gwinnett,3754,126,208,117,2,453,353,793,433,10,1589,40,39,29,1,109,2151,
PINCKNEYVILLE N,Gwinnett,3819,112,196,70,1,379,420,906,468,5,1799,53,40,19,0,112,2290,
LAWRENCEVILLE D,Gwinnett,5012,145,253,184,4,586,415,1058,503,9,1985,35,38,46,1,120,2691,
LAWRENCEVILLE E,Gwinnett,2355,161,385,266,1,813,141,361,281,2,785,8,28,10,0,46,1644,
PINCKNEYVILLE L,Gwinnett,2330,296,434,453,1,1184,84,245,390,0,719,19,28,32,0,79,1982,
PINCKNEYVILLE M,Gwinnett,2673,332,646,414,0,1392,75,287,379,0,741,19,25,34,0,78,2211,
GARNERS D,Gwinnett,3490,86,261,191,0,538,220,892,582,0,1694,26,41,31,0,98,2330,
BERKSHIRE H,Gwinnett,1987,102,169,150,2,423,140,322,233,3,698,18,27,17,0,62,1183,
PINCKNEYVILLE O,Gwinnett,3359,89,232,107,0,428,272,772,334,6,1384,35,37,18,0,90,1902,
PUCKETTS E,Gwinnett,5660,277,1042,434,1,1754,221,1068,638,3,1930,36,77,25,0,138,3822,
CATES I,Gwinnett,3537,256,590,313,2,1161,165,771,513,0,1449,30,51,32,0,113,2723,
CATES J,Gwinnett,3478,226,432,280,2,940,170,784,510,2,1466,36,39,38,0,113,2519,
GOODWINS B,Gwinnett,3960,309,873,344,1,1527,179,589,492,0,1260,33,62,34,0,129,2916,
LAWRENCEVILLE F,Gwinnett,4061,163,336,150,0,649,280,1104,586,3,1973,30,45,35,1,111,2733,
MARTINS E,Gwinnett,6193,133,194,95,1,423,557,1376,673,5,2611,58,73,26,1,158,3192,
PINCKNEYVILLE P,Gwinnett,2185,164,249,250,0,663,170,368,337,2,877,23,27,20,0,70,1610,
PINCKNEYVILLE Q,Gwinnett,1915,67,61,37,1,166,267,411,213,1,892,20,21,12,1,54,1112,
ROCKBRIDGE C,Gwinnett,5125,130,328,192,2,652,275,1697,964,5,2941,24,55,30,0,109,3702,
ROCKBRIDGE D,Gwinnett,3642,73,364,199,1,637,181,1133,608,7,1929,18,35,23,0,76,2642,
GOODWINS C,Gwinnett,5804,293,595,336,0,1224,384,1163,848,1,2396,36,73,44,0,153,3773,
