Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
DULUTH H,Gwinnett,2813,228,668,547,4,1447,80,232,194,0,506,1953,
BERKSHIRE N,Gwinnett,3128,146,974,659,1,1780,56,388,176,0,620,2400,
PINCKNEYVILLE V,Gwinnett,1706,152,417,216,0,785,65,96,80,2,243,1028,
PINCKNEYVILLE W,Gwinnett,4253,396,972,714,6,2088,115,306,208,0,629,2717,
MARTINS H,Gwinnett,5037,499,1229,741,10,2479,126,329,234,1,690,3169,
MARTINS I,Gwinnett,4078,429,926,556,6,1917,89,209,136,0,434,2351,
MARTINS J,Gwinnett,3923,511,986,483,8,1988,105,169,104,1,379,2367,
GARNERS F,Gwinnett,1796,166,518,307,2,993,50,166,81,1,298,1291,
BERKSHIRE O,Gwinnett,2589,241,692,478,3,1414,73,247,161,0,481,1895,
BERKSHIRE P,Gwinnett,1476,179,299,195,1,674,49,96,56,1,202,876,
PINCKNEYVILLE X,Gwinnett,3412,283,842,729,9,1863,123,331,225,6,685,2548,
ROCKBRIDGE G,Gwinnett,5799,406,1808,858,14,3086,120,430,232,1,783,3869,
PINCKNEYVILLE Y,Gwinnett,3272,378,670,325,3,1376,84,139,79,0,302,1678,
GOODWINS G,Gwinnett,2661,332,686,341,0,1359,72,152,76,3,303,1662,
PINCKNEYVILLE Z,Gwinnett,1898,257,428,464,0,1149,124,135,141,0,400,1549,
PINCKNEYVILLE A1,Gwinnett,2694,252,654,628,0,1534,150,282,243,0,675,2209,
LAWRENCEVILLE J,Gwinnett,2249,263,601,273,2,1139,76,161,92,1,330,1469,
GOODWINS H,Gwinnett,2796,280,808,430,1,1519,105,206,122,1,434,1953,
DUNCANS B,Gwinnett,5387,562,1694,669,6,2931,208,681,259,0,1148,4079,
SUWANEE D,Gwinnett,4732,459,1489,827,3,2778,141,504,259,0,904,3682,
SUWANEE E,Gwinnett,4256,336,1345,733,3,2417,149,478,235,0,862,3279,
LAWRENCEVILLE K,Gwinnett,3282,315,920,549,0,1784,127,294,186,0,607,2391,
HARBINS B,Gwinnett,4845,402,1492,518,3,2415,130,611,190,2,933,3348,
BAYCREEK F,Gwinnett,4608,390,1486,667,7,2550,134,384,163,4,685,3235,
PUCKETTS C,Gwinnett,3367,288,994,423,1,1706,96,389,116,0,601,2307,
HOG MOUNTAIN C,Gwinnett,4292,387,1187,600,2,2176,143,433,190,0,766,2942,
ROCKYCREEK B,Gwinnett,5061,456,1639,639,1,2735,150,542,199,2,893,3628,
DULUTH I,Gwinnett,5105,346,1164,1070,0,2580,132,499,381,0,1012,3592,
MARTINS K,Gwinnett,5352,569,1415,781,3,2768,125,330,205,1,661,3429,
SUWANEE H,Gwinnett,3785,324,1270,667,1,2262,117,426,198,0,741,3003,
SUGAR HILL G,Gwinnett,2814,245,849,424,1,1519,115,317,170,0,602,2121,
SUWANEE F,Gwinnett,3966,336,1194,624,3,2157,136,318,205,1,660,2817,
LAWRENCEVILLE L,Gwinnett,4802,414,1469,805,2,2690,89,375,184,0,648,3338,
LAWRENCEVILLE M,Gwinnett,7255,626,2110,973,6,3715,149,483,252,2,886,4601,
BAYCREEK G,Gwinnett,6241,465,2138,880,1,3484,117,556,246,0,919,4403,
BAYCREEK H,Gwinnett,6811,523,2346,1077,2,3948,173,705,300,2,1180,5128,
BAYCREEK I,Gwinnett,5899,418,1756,830,6,3010,152,522,237,2,913,3923,
BERKSHIRE Q,Gwinnett,1802,196,448,296,1,941,68,139,86,0,293,1234,
GOODWINS I,Gwinnett,2501,307,637,457,0,1401,95,214,155,0,464,1865,
DULUTH K,Gwinnett,2786,244,606,299,2,1151,55,103,62,0,220,1371,
HARBINS C,Gwinnett,2850,374,903,318,3,1598,174,309,110,0,593,2191,
ROCKYCREEK C,Gwinnett,4806,400,1604,663,1,2668,158,538,187,3,886,3554,
LAWRENCEVILLE N,Gwinnett,2573,284,597,319,6,1206,89,160,99,0,348,1554,
PUCKETTS D,Gwinnett,3622,275,1076,508,2,1861,118,449,180,2,749,2610,
SUWANEE G,Gwinnett,3904,382,1156,587,0,2125,134,368,191,0,693,2818,
BAYCREEK J,Gwinnett,4567,373,1366,647,2,2388,130,416,190,1,737,3125,
