Precinct,County,Registered Voters,Sherry Boston (I) (Dem)_Election Day Votes,Sherry Boston (I) (Dem)_Advanced Voting Votes,Sherry Boston (I) (Dem)_Absentee by Mail Votes,Sherry Boston (I) (Dem)_Provisional Votes,Sherry Boston (I) (Dem)_Choice Total,Total,
Flakes Mill Fire Station,DeKalb,2103,120,754,418,7,1299,1299,
Flat Shoals Library,DeKalb,2788,244,733,420,3,1400,1400,
Freedom Middle,DeKalb,3227,296,876,556,10,1738,1738,
Glennwood,DeKalb,2715,84,883,805,6,1778,1778,
Glenhaven,DeKalb,1880,221,490,322,4,1037,1037,
Gresham Road,DeKalb,3601,219,1173,770,14,2176,2176,
Georgetown Sq,DeKalb,4155,266,1382,638,8,2294,2294,
Glenwood Road,DeKalb,2293,203,541,403,4,1151,1151,
Hambrick Elem,DeKalb,3776,308,1109,655,10,2082,2082,
Hawthorne Elem,DeKalb,3884,296,1220,679,6,2201,2201,
Henderson Mill,DeKalb,3104,186,989,699,2,1876,1876,
Huntley Hills Elem,DeKalb,3508,325,1184,538,5,2052,2052,
Hugh Howell,DeKalb,1773,157,562,348,1,1068,1068,
Harris-Narvie J Harris Elem,DeKalb,4031,181,1611,780,10,2582,2582,
Harris-Margaret Harris ED,DeKalb,1462,129,495,306,4,934,934,
Idlewood Elem,DeKalb,2472,227,758,430,8,1423,1423,
Indian Creek,DeKalb,2318,176,513,369,12,1070,1070,
Johnson Estates,DeKalb,1600,48,530,541,0,1119,1119,
Jolly Elem,DeKalb,3679,269,924,638,14,1845,1845,
Kelley Lake Elem,DeKalb,3015,276,762,568,3,1609,1609,
Kingsley Elem,DeKalb,2490,167,690,561,9,1427,1427,
Kelley Chapel Road,DeKalb,1337,127,464,315,1,907,907,
Knollwood,DeKalb,2546,263,666,458,10,1397,1397,
Kittredge Elem,DeKalb,2161,127,750,475,4,1356,1356,
Lakeside High,DeKalb,3216,213,1047,724,0,1984,1984,
Lavista Road,DeKalb,2223,142,592,630,3,1367,1367,
Lavista,DeKalb,3223,214,884,641,9,1748,1748,
Lithonia,DeKalb,1730,238,396,223,2,859,859,
Lin-Mary Lin Elem,DeKalb,3009,138,1095,893,8,2134,2134,
Lithonia High,DeKalb,3610,351,1081,534,13,1979,1979,
Livsey Elem,DeKalb,1350,81,484,307,0,872,872,
Miller-Eldridge L Miller Elem 3455,DeKalb,306,951,708,7,1972,1972,,
McNair High,DeKalb,4160,277,1424,947,7,2655,2655,
Marbut Elem,DeKalb,4234,324,1415,626,19,2384,2384,
McNair,DeKalb,2794,182,828,593,4,1607,1607,
McLendon,DeKalb,3607,188,1054,886,10,2138,2138,
McWilliams,DeKalb,2517,153,983,552,3,1691,1691,
Medlock,DeKalb,2208,146,709,668,2,1525,1525,
Midvale Elem,DeKalb,2747,158,843,649,3,1653,1653,
Miller Grove,DeKalb,4747,346,1396,685,15,2442,2442,
Montclair Elem,DeKalb,2194,223,659,242,8,1132,1132,
Montreal,DeKalb,2586,206,827,510,2,1545,1545,
Meadowview,DeKalb,3511,225,998,747,12,1982,1982,
Memorial South,DeKalb,3138,253,717,379,17,1366,1366,
Midway,DeKalb,3139,180,753,624,6,1563,1563,
McNair Academy,DeKalb,1900,130,619,437,4,1190,1190,
Mount Vernon East,DeKalb,2651,173,881,472,2,1528,1528,
Mathis-Bob Mathis Elem,DeKalb,2789,225,945,693,5,1868,1868,
Mount Vernon West,DeKalb,2303,106,851,421,8,1386,1386,
Metropolitan,DeKalb,3405,179,1365,741,9,2294,2294,
Montgomery Elem,DeKalb,2446,169,813,530,5,1517,1517,
Miller Grove Road,DeKalb,2151,181,739,496,5,1421,1421,
Midvale Road,DeKalb,1832,150,643,327,2,1122,1122,
Miller Grove High,DeKalb,3470,285,982,453,10,1730,1730,
North Decatur,DeKalb,2166,123,633,526,11,1293,1293,
North Hairston,DeKalb,2329,229,642,417,8,1296,1296,
Northlake,DeKalb,1509,127,450,408,1,986,986,
North Peachtree,DeKalb,1916,158,524,301,5,988,988,
Oak Grove Elem,DeKalb,2253,168,697,592,0,1457,1457,
Oakcliff Elem,DeKalb,2125,278,458,294,9,1039,1039,
Oakhurst,DeKalb,2398,113,1052,706,2,1873,1873,
Oak View Elem,DeKalb,5011,361,1726,742,19,2848,2848,
Peachcrest,DeKalb,2458,177,621,437,4,1239,1239,
Peachtree Middle,DeKalb,3502,245,1204,606,5,2060,2060,
Princeton Elem,DeKalb,2376,172,866,449,5,1492,1492,
Pine Lake,DeKalb,632,244,137,71,0,452,452,
Pleasantdale Road,DeKalb,4538,436,1174,587,9,2206,2206,
Ponce de Leon,DeKalb,3766,117,911,822,14,1864,1864,
Panola,DeKalb,1586,138,474,326,2,940,940,
Panola Way Elem,DeKalb,2252,204,588,318,21,1131,1131,
Piney Grove,DeKalb,2018,164,532,337,7,1040,1040,
Panola Road,DeKalb,2884,192,1024,572,8,1796,1796,
Rainbow Elem,DeKalb,3768,264,1192,830,8,2294,2294,
Redan Elem,DeKalb,3020,207,1158,583,8,1956,1956,
Rehoboth,DeKalb,1813,102,490,554,3,1149,1149,
Rockbridge Elem,DeKalb,3595,323,950,517,17,1807,1807,
Rock Chapel Elem,DeKalb,2910,216,1117,513,6,1852,1852,
Rowland Elem,DeKalb,3765,289,918,581,8,1796,1796,
Redan-Trotti Library,DeKalb,3990,274,1275,745,20,2314,2314,
Rockbridge Road,DeKalb,3965,309,1488,975,8,2780,2780,
Rowland Road,DeKalb,2080,189,592,416,8,1205,1205,
Redan Road,DeKalb,2932,230,895,503,12,1640,1640,
Rock Chapel Road,DeKalb,4178,258,1631,806,18,2713,2713,
Redan Middle,DeKalb,2496,154,872,524,5,1555,1555,
Sagamore Hills Elem,DeKalb,2925,195,920,837,0,1952,1952,
Scott,DeKalb,2805,118,827,877,1,1823,1823,
Shaw-Robert Shaw Elem,DeKalb,2892,251,860,575,3,1689,1689,
Stone Mountain Elem,DeKalb,2338,162,525,579,3,1269,1269,
Silver Lake,DeKalb,4979,239,1543,934,2,2718,2718,
Skyland,DeKalb,2100,174,679,380,6,1239,1239,
Snapfinger Elem,DeKalb,1894,163,605,502,0,1270,1270,
Smoke Rise,DeKalb,2108,144,668,501,1,1314,1314,
Stone Mtn Middle,DeKalb,3247,296,619,322,15,1252,1252,
Stone Mill Elem,DeKalb,3714,342,681,458,15,1496,1496,
Shadow Rock Elem,DeKalb,4347,292,1568,1014,12,2886,2886,
Stoneview Elem,DeKalb,1988,169,493,246,10,918,918,
Salem Middle,DeKalb,3519,223,1396,836,7,2462,2462,
Shamrock,DeKalb,1600,138,470,474,4,1086,1086,
South Deshon,DeKalb,3470,261,1281,631,12,2185,2185,
Stone Mtn Champion,DeKalb,3098,304,781,472,10,1567,1567,
Stone Mtn,DeKalb,1711,185,371,310,2,868,868,
Snapfinger Road N,DeKalb,2705,240,688,467,5,1400,1400,
Snapfinger Road S,DeKalb,1960,155,722,428,3,1308,1308,
Stephenson Middle,DeKalb,3822,303,1402,786,2,2493,2493,
South Hairston,DeKalb,3814,358,1097,637,12,2104,2104,
Stephenson High,DeKalb,3555,266,1202,798,7,2273,2273,
Stonecrest Library,DeKalb,3720,220,1536,539,12,2307,2307,
Snapfinger Road,DeKalb,4872,221,2210,1060,10,3501,3501,
Terry Mill,DeKalb,2808,229,969,589,5,1792,1792,
Toney Elem,DeKalb,1729,155,456,345,6,962,962,
Tucker Library,DeKalb,3506,142,1228,726,4,2100,2100,
Tilly Mill Road,DeKalb,1552,115,491,284,0,890,890,
Tucker,DeKalb,2932,135,971,612,7,1725,1725,
Valley Brook,DeKalb,1037,123,305,250,5,683,683,
Wadsworth,DeKalb,3159,276,868,639,11,1794,1794,
Wesley Chapel Library,DeKalb,2922,198,1112,710,7,2027,2027,
Woodrow Road,DeKalb,3493,252,1103,488,10,1853,1853,
Winnona Park,DeKalb,2020,53,884,568,2,1507,1507,
Woodridge Elem,DeKalb,3851,328,1030,750,12,2120,2120,
Warren Tech,DeKalb,1364,168,362,220,4,754,754,
Woodward,DeKalb,3193,175,992,796,2,1965,1965,
White Oak,DeKalb,2951,314,732,421,7,1474,1474,
Winters Chapel,DeKalb,1434,104,448,322,2,876,876,
Wynbrooke Elem,DeKalb,3496,290,1328,823,12,2453,2453,
Young Road,DeKalb,1951,108,771,429,8,1316,1316,
