Precinct,County,Registered Voters,Irvin J. Johnson (I) (Dem)_Election Day Votes,Irvin J. Johnson (I) (Dem)_Advanced Voting Votes,Irvin J. Johnson (I) (Dem)_Absentee by Mail Votes,Irvin J. Johnson (I) (Dem)_Provisional Votes,Irvin J. Johnson (I) (Dem)_Choice Total,Total,
McNair Academy,DeKalb,1900,135,622,442,4,1203,1203,
Mount Vernon East,DeKalb,2651,179,923,480,3,1585,1585,
Mathis-Bob Mathis Elem,DeKalb,2789,226,952,713,5,1896,1896,
Mount Vernon West,DeKalb,2303,112,869,425,8,1414,1414,
Metropolitan,DeKalb,3405,179,1372,739,10,2300,2300,
Montgomery Elem,DeKalb,2446,166,823,536,5,1530,1530,
Miller Grove Road,DeKalb,2151,182,744,502,5,1433,1433,
Midvale Road,DeKalb,1832,151,647,326,2,1126,1126,
Miller Grove High,DeKalb,3470,284,977,455,10,1726,1726,
North Decatur,DeKalb,2166,124,637,522,12,1295,1295,
North Hairston,DeKalb,2329,231,649,418,6,1304,1304,
Northlake,DeKalb,1509,135,458,407,1,1001,1001,
North Peachtree,DeKalb,1916,163,533,305,5,1006,1006,
Oak Grove Elem,DeKalb,2253,172,693,598,0,1463,1463,
Oakcliff Elem,DeKalb,2125,277,464,297,9,1047,1047,
Oakhurst,DeKalb,2398,113,1051,700,2,1866,1866,
Oak View Elem,DeKalb,5011,363,1738,753,19,2873,2873,
Peachcrest,DeKalb,2458,177,625,443,5,1250,1250,
Peachtree Middle,DeKalb,3502,247,1208,608,5,2068,2068,
Princeton Elem,DeKalb,2376,172,868,457,4,1501,1501,
Pine Lake,DeKalb,632,244,136,68,0,448,448,
Pleasantdale Road,DeKalb,4538,439,1182,598,9,2228,2228,
Ponce de Leon,DeKalb,3766,124,910,825,11,1870,1870,
Panola,DeKalb,1586,137,478,330,2,947,947,
Panola Way Elem,DeKalb,2252,205,591,321,21,1138,1138,
Piney Grove,DeKalb,2018,163,537,341,7,1048,1048,
Panola Road,DeKalb,2884,194,1027,580,8,1809,1809,
Rainbow Elem,DeKalb,3768,263,1212,841,8,2324,2324,
Redan Elem,DeKalb,3020,211,1162,591,8,1972,1972,
Rehoboth,DeKalb,1813,105,493,571,3,1172,1172,
Rockbridge Elem,DeKalb,3595,320,955,510,19,1804,1804,
Rock Chapel Elem,DeKalb,2910,217,1123,515,7,1862,1862,
Rowland Elem,DeKalb,3765,292,926,588,9,1815,1815,
Redan-Trotti Library,DeKalb,3990,274,1282,751,21,2328,2328,
Rockbridge Road,DeKalb,3965,305,1493,968,8,2774,2774,
Rowland Road,DeKalb,2080,190,593,416,8,1207,1207,
Redan Road,DeKalb,2932,232,898,513,11,1654,1654,
Rock Chapel Road,DeKalb,4178,257,1633,813,18,2721,2721,
Redan Middle,DeKalb,2496,155,868,523,5,1551,1551,
Sagamore Hills Elem,DeKalb,2925,203,931,844,0,1978,1978,
Scott,DeKalb,2805,120,833,884,1,1838,1838,
Shaw-Robert Shaw Elem,DeKalb,2892,252,861,576,2,1691,1691,
Stone Mountain Elem,DeKalb,2338,161,526,592,3,1282,1282,
Silver Lake,DeKalb,4979,240,1571,944,2,2757,2757,
Skyland,DeKalb,2100,176,682,383,6,1247,1247,
Snapfinger Elem,DeKalb,1894,166,609,506,0,1281,1281,
Smoke Rise,DeKalb,2108,146,679,506,1,1332,1332,
Stone Mtn Middle,DeKalb,3247,292,621,330,14,1257,1257,
Stone Mill Elem,DeKalb,3714,346,685,457,15,1503,1503,
Shadow Rock Elem,DeKalb,4347,289,1575,1026,12,2902,2902,
Stoneview Elem,DeKalb,1988,170,497,247,8,922,922,
Salem Middle,DeKalb,3519,224,1399,838,7,2468,2468,
Shamrock,DeKalb,1600,140,472,475,3,1090,1090,
South Deshon,DeKalb,3470,262,1286,633,11,2192,2192,
Stone Mtn Champion,DeKalb,3098,310,784,471,10,1575,1575,
Stone Mtn,DeKalb,1711,184,376,311,2,873,873,
Snapfinger Road N,DeKalb,2705,241,693,467,6,1407,1407,
Snapfinger Road S,DeKalb,1960,159,723,438,3,1323,1323,
Stephenson Middle,DeKalb,3822,306,1403,787,2,2498,2498,
South Hairston,DeKalb,3814,358,1101,635,12,2106,2106,
Stephenson High,DeKalb,3555,264,1206,808,7,2285,2285,
Stonecrest Library,DeKalb,3720,219,1535,544,13,2311,2311,
Snapfinger Road,DeKalb,4872,219,2222,1076,8,3525,3525,
Terry Mill,DeKalb,2808,230,971,593,5,1799,1799,
Toney Elem,DeKalb,1729,154,460,360,6,980,980,
Tucker Library,DeKalb,3506,138,1252,735,3,2128,2128,
Tilly Mill Road,DeKalb,1552,118,505,304,0,927,927,
Tucker,DeKalb,2932,134,977,623,6,1740,1740,
Valley Brook,DeKalb,1037,124,310,255,6,695,695,
Wadsworth,DeKalb,3159,279,881,652,12,1824,1824,
Wesley Chapel Library,DeKalb,2922,202,1116,715,7,2040,2040,
Woodrow Road,DeKalb,3493,252,1108,495,10,1865,1865,
Winnona Park,DeKalb,2020,54,882,569,2,1507,1507,
Woodridge Elem,DeKalb,3851,327,1038,757,12,2134,2134,
Warren Tech,DeKalb,1364,170,370,219,4,763,763,
Woodward,DeKalb,3193,173,1003,804,2,1982,1982,
White Oak,DeKalb,2951,316,733,430,7,1486,1486,
Winters Chapel,DeKalb,1434,109,453,327,2,891,891,
Wynbrooke Elem,DeKalb,3496,289,1340,813,12,2454,2454,
Young Road,DeKalb,1951,106,777,428,8,1319,1319,
