Precinct,County,Registered Voters,Debra DeBerry (I) (Dem)_Election Day Votes,Debra DeBerry (I) (Dem)_Advanced Voting Votes,Debra DeBerry (I) (Dem)_Absentee by Mail Votes,Debra DeBerry (I) (Dem)_Provisional Votes,Debra DeBerry (I) (Dem)_Choice Total,Total,
Columbia Middle,DeKalb,2178,156,605,343,6,1110,1110,
Coan Recreation Center,DeKalb,4230,204,1606,900,4,2714,2714,
Cross Keys High,DeKalb,2260,154,620,496,4,1274,1274,
Crossroads,DeKalb,2898,249,886,627,8,1770,1770,
Candler,DeKalb,3537,249,1017,595,13,1874,1874,
Cedar Grove Middle,DeKalb,1896,136,504,264,5,909,909,
Cedar Grove South,DeKalb,3962,270,1587,742,6,2605,2605,
Covington Hwy,DeKalb,995,53,102,62,6,223,223,
Covington,DeKalb,2376,135,704,366,5,1210,1210,
Clairemont East,DeKalb,3226,111,1146,1127,3,2387,2387,
Coralwood,DeKalb,3153,156,1051,935,2,2144,2144,
Candler Park,DeKalb,4018,119,1733,1238,2,3092,3092,
Clarkston Community Center,DeKalb,2495,227,621,380,10,1238,1238,
Chamblee 2,DeKalb,3137,161,1180,621,0,1962,1962,
Doraville North,DeKalb,3065,319,781,458,6,1564,1564,
Doraville South,DeKalb,1255,126,330,211,3,670,670,
Dresden Elem,DeKalb,5141,391,1411,951,6,2759,2759,
Decatur,DeKalb,1937,87,892,482,1,1462,1462,
Dunaire Elem,DeKalb,2268,190,634,428,7,1259,1259,
Dunwoody,DeKalb,3003,168,995,579,7,1749,1749,
Dunwoody 2,DeKalb,2044,106,686,380,2,1174,1174,
Druid Hills High,DeKalb,2725,136,665,639,2,1442,1442,
Dunwoody Library,DeKalb,2570,89,913,483,2,1487,1487,
East Lake,DeKalb,4139,235,1572,922,7,2736,2736,
Embry Hills,DeKalb,1721,105,517,420,0,1042,1042,
Evansdale Elem,DeKalb,3441,257,1055,720,4,2036,2036,
Emory South,DeKalb,3241,191,1050,888,6,2135,2135,
Emory Road,DeKalb,2290,126,645,433,7,1211,1211,
Fairington Elem,DeKalb,5455,447,1591,662,20,2720,2720,
Fernbank Elem,DeKalb,2125,123,700,706,1,1530,1530,
Flat Shoals Elem,DeKalb,2409,204,643,411,8,1266,1266,
Flat Shoals Parkway,DeKalb,3449,201,1309,743,5,2258,2258,
Flat Rock Elem,DeKalb,3142,258,1341,537,6,2142,2142,
Flat Shoals,DeKalb,2649,190,653,454,7,1304,1304,
Flakes Mill Fire Station,DeKalb,2103,121,757,424,7,1309,1309,
Flat Shoals Library,DeKalb,2788,245,736,427,3,1411,1411,
Freedom Middle,DeKalb,3227,296,873,547,10,1726,1726,
Glennwood,DeKalb,2715,86,878,808,6,1778,1778,
Glenhaven,DeKalb,1880,222,487,322,3,1034,1034,
Gresham Road,DeKalb,3601,221,1179,786,14,2200,2200,
Georgetown Sq,DeKalb,4155,266,1395,644,7,2312,2312,
Glenwood Road,DeKalb,2293,202,549,401,4,1156,1156,
Hambrick Elem,DeKalb,3776,309,1103,646,10,2068,2068,
Hawthorne Elem,DeKalb,3884,293,1223,676,7,2199,2199,
Henderson Mill,DeKalb,3104,187,986,695,2,1870,1870,
Huntley Hills Elem,DeKalb,3508,323,1189,539,5,2056,2056,
Hugh Howell,DeKalb,1773,157,565,349,1,1072,1072,
Harris-Narvie J Harris Elem,DeKalb,4031,182,1624,782,10,2598,2598,
Harris-Margaret Harris ED,DeKalb,1462,128,497,307,4,936,936,
Idlewood Elem,DeKalb,2472,228,751,431,7,1417,1417,
Indian Creek,DeKalb,2318,177,513,367,12,1069,1069,
Johnson Estates,DeKalb,1600,51,526,536,0,1113,1113,
Jolly Elem,DeKalb,3679,269,923,631,16,1839,1839,
Kelley Lake Elem,DeKalb,3015,277,768,574,3,1622,1622,
Kingsley Elem,DeKalb,2490,164,698,572,9,1443,1443,
Kelley Chapel Road,DeKalb,1337,126,465,314,1,906,906,
Knollwood,DeKalb,2546,263,669,467,11,1410,1410,
Kittredge Elem,DeKalb,2161,125,745,478,4,1352,1352,
Lakeside High,DeKalb,3216,213,1042,724,0,1979,1979,
Lavista Road,DeKalb,2223,143,590,630,3,1366,1366,
Lavista,DeKalb,3223,211,886,641,9,1747,1747,
Lithonia,DeKalb,1730,242,398,219,2,861,861,
Lin-Mary Lin Elem,DeKalb,3009,140,1096,887,8,2131,2131,
Lithonia High,DeKalb,3610,351,1084,535,13,1983,1983,
Livsey Elem,DeKalb,1350,81,482,311,0,874,874,
Miller-Eldridge L Miller Elem 3455,DeKalb,308,955,704,7,1974,1974,,
McNair High,DeKalb,4160,278,1423,943,5,2649,2649,
Marbut Elem,DeKalb,4234,326,1416,631,19,2392,2392,
McNair,DeKalb,2794,186,828,596,4,1614,1614,
McLendon,DeKalb,3607,188,1056,877,10,2131,2131,
McWilliams,DeKalb,2517,151,978,553,3,1685,1685,
Medlock,DeKalb,2208,147,711,666,2,1526,1526,
Midvale Elem,DeKalb,2747,161,845,653,3,1662,1662,
Miller Grove,DeKalb,4747,348,1399,677,15,2439,2439,
Montclair Elem,DeKalb,2194,222,657,246,8,1133,1133,
Montreal,DeKalb,2586,205,821,515,2,1543,1543,
Meadowview,DeKalb,3511,226,1000,761,11,1998,1998,
Memorial South,DeKalb,3138,252,728,375,19,1374,1374,
Midway,DeKalb,3139,182,749,624,7,1562,1562,
McNair Academy,DeKalb,1900,135,622,441,5,1203,1203,
Mount Vernon East,DeKalb,2651,172,879,471,2,1524,1524,
Mathis-Bob Mathis Elem,DeKalb,2789,223,950,698,4,1875,1875,
Mount Vernon West,DeKalb,2303,109,848,426,8,1391,1391,
Metropolitan,DeKalb,3405,181,1363,736,9,2289,2289,
Montgomery Elem,DeKalb,2446,167,810,533,5,1515,1515,
Miller Grove Road,DeKalb,2151,182,741,501,4,1428,1428,
Midvale Road,DeKalb,1832,151,642,325,2,1120,1120,
Miller Grove High,DeKalb,3470,283,979,449,10,1721,1721,
North Decatur,DeKalb,2166,123,636,527,12,1298,1298,
North Hairston,DeKalb,2329,228,646,409,8,1291,1291,
Northlake,DeKalb,1509,124,454,405,1,984,984,
North Peachtree,DeKalb,1916,158,527,299,5,989,989,
Oak Grove Elem,DeKalb,2253,167,694,588,0,1449,1449,
Oakcliff Elem,DeKalb,2125,280,463,289,9,1041,1041,
Oakhurst,DeKalb,2398,111,1050,697,2,1860,1860,
Oak View Elem,DeKalb,5011,361,1731,745,18,2855,2855,
Peachcrest,DeKalb,2458,175,620,436,4,1235,1235,
Peachtree Middle,DeKalb,3502,246,1207,604,5,2062,2062,
Princeton Elem,DeKalb,2376,173,866,448,5,1492,1492,
Pine Lake,DeKalb,632,244,136,70,0,450,450,
Pleasantdale Road,DeKalb,4538,437,1179,594,9,2219,2219,
Ponce de Leon,DeKalb,3766,117,909,814,13,1853,1853,
Panola,DeKalb,1586,139,472,325,2,938,938,
Panola Way Elem,DeKalb,2252,204,594,320,20,1138,1138,
Piney Grove,DeKalb,2018,164,531,333,7,1035,1035,
Panola Road,DeKalb,2884,192,1031,565,8,1796,1796,
Rainbow Elem,DeKalb,3768,263,1203,827,8,2301,2301,
Redan Elem,DeKalb,3020,208,1159,584,8,1959,1959,
Rehoboth,DeKalb,1813,102,490,545,2,1139,1139,
Rockbridge Elem,DeKalb,3595,321,954,509,19,1803,1803,
Rock Chapel Elem,DeKalb,2910,215,1116,515,7,1853,1853,
Rowland Elem,DeKalb,3765,290,923,582,9,1804,1804,
Redan-Trotti Library,DeKalb,3990,275,1277,743,21,2316,2316,
Rockbridge Road,DeKalb,3965,306,1483,966,7,2762,2762,
Rowland Road,DeKalb,2080,188,591,414,7,1200,1200,
Redan Road,DeKalb,2932,232,898,506,12,1648,1648,
Rock Chapel Road,DeKalb,4178,258,1629,811,19,2717,2717,
Redan Middle,DeKalb,2496,154,869,512,5,1540,1540,
Sagamore Hills Elem,DeKalb,2925,192,924,840,0,1956,1956,
Scott,DeKalb,2805,119,831,871,1,1822,1822,
Shaw-Robert Shaw Elem,DeKalb,2892,251,860,581,3,1695,1695,
Stone Mountain Elem,DeKalb,2338,162,525,575,3,1265,1265,
Silver Lake,DeKalb,4979,240,1544,942,2,2728,2728,
Skyland,DeKalb,2100,179,687,380,6,1252,1252,
Snapfinger Elem,DeKalb,1894,164,607,501,0,1272,1272,
Smoke Rise,DeKalb,2108,146,673,502,1,1322,1322,
Stone Mtn Middle,DeKalb,3247,291,620,319,14,1244,1244,
Stone Mill Elem,DeKalb,3714,344,679,450,14,1487,1487,
Shadow Rock Elem,DeKalb,4347,291,1574,1018,12,2895,2895,
Stoneview Elem,DeKalb,1988,169,490,248,8,915,915,
Salem Middle,DeKalb,3519,222,1406,825,7,2460,2460,
Shamrock,DeKalb,1600,138,469,477,4,1088,1088,
South Deshon,DeKalb,3470,258,1281,627,11,2177,2177,
Stone Mtn Champion,DeKalb,3098,309,781,465,9,1564,1564,
Stone Mtn,DeKalb,1711,184,370,309,2,865,865,
Snapfinger Road N,DeKalb,2705,240,689,469,6,1404,1404,
Snapfinger Road S,DeKalb,1960,156,716,434,3,1309,1309,
Stephenson Middle,DeKalb,3822,301,1402,785,1,2489,2489,
South Hairston,DeKalb,3814,361,1095,631,11,2098,2098,
Stephenson High,DeKalb,3555,263,1205,801,6,2275,2275,
Stonecrest Library,DeKalb,3720,220,1543,541,13,2317,2317,
Snapfinger Road,DeKalb,4872,220,2217,1067,10,3514,3514,
Terry Mill,DeKalb,2808,228,969,594,5,1796,1796,
Toney Elem,DeKalb,1729,155,459,349,5,968,968,
Tucker Library,DeKalb,3506,137,1233,729,4,2103,2103,
Tilly Mill Road,DeKalb,1552,116,496,287,0,899,899,
Tucker,DeKalb,2932,136,970,609,6,1721,1721,
Valley Brook,DeKalb,1037,124,306,252,6,688,688,
Wadsworth,DeKalb,3159,280,877,638,10,1805,1805,
Wesley Chapel Library,DeKalb,2922,199,1118,707,7,2031,2031,
Woodrow Road,DeKalb,3493,255,1101,484,12,1852,1852,
Winnona Park,DeKalb,2020,52,877,568,2,1499,1499,
Woodridge Elem,DeKalb,3851,326,1028,753,12,2119,2119,
Warren Tech,DeKalb,1364,168,362,219,4,753,753,
Woodward,DeKalb,3193,176,996,804,2,1978,1978,
White Oak,DeKalb,2951,314,730,425,7,1476,1476,
Winters Chapel,DeKalb,1434,104,446,322,2,874,874,
Wynbrooke Elem,DeKalb,3496,290,1334,819,12,2455,2455,
Young Road,DeKalb,1951,107,771,425,8,1311,1311,
