Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Brockett Elem,DeKalb,2752,70,280,194,0,544,125,694,474,7,1300,16,31,26,0,73,1917,
Briarcliff,DeKalb,3122,145,343,303,4,795,88,607,675,3,1373,19,30,28,0,77,2245,
Brockett,DeKalb,2681,136,234,142,1,513,151,659,451,7,1268,28,35,22,0,85,1866,
Brookhaven,DeKalb,3444,254,749,265,1,1269,100,728,490,2,1320,33,55,33,0,121,2710,
Browns Mill Elem,DeKalb,3829,18,36,31,1,86,293,1436,875,6,2610,10,26,13,0,49,2745,
Bouldercrest Road,DeKalb,2004,8,24,14,0,46,151,748,361,2,1262,6,14,3,0,23,1331,
Bethune Middle,DeKalb,4838,24,56,31,2,113,312,1327,957,16,2612,12,19,11,2,44,2769,
Burgess Elem,DeKalb,3493,38,105,62,2,207,164,1261,857,6,2288,14,50,22,0,86,2581,
Columbia Drive,DeKalb,2526,21,16,16,0,53,202,574,458,8,1242,11,9,9,0,29,1324,
Canby Lane Elem,DeKalb,2004,11,22,26,1,60,206,517,421,7,1151,9,10,8,1,28,1239,
Columbia Elem,DeKalb,1794,5,13,8,0,26,144,312,235,10,701,0,13,4,1,18,745,
Cedar Grove Elem,DeKalb,4097,21,37,23,0,81,273,1444,760,9,2486,15,34,15,0,64,2631,
Chamblee,DeKalb,2231,107,332,97,1,537,95,540,347,2,984,22,40,17,0,79,1600,
Candler-Murphey Candler Elem,DeKalb,3712,27,76,50,0,153,266,1376,624,6,2272,18,22,8,0,48,2473,
Chapel Hill Elem,DeKalb,3349,18,33,16,0,67,240,1180,676,7,2103,14,18,13,0,45,2215,
Chesnut Elem,DeKalb,2363,101,234,88,1,424,162,659,330,1,1152,20,41,10,0,71,1647,
Clairemont West,DeKalb,3264,71,187,175,2,435,101,1101,1014,1,2217,12,37,30,1,80,2732,
Clairmont Road,DeKalb,3223,99,197,213,1,510,131,771,843,5,1750,12,29,18,0,59,2319,
Clarkston,DeKalb,3878,44,76,44,1,165,346,896,400,11,1653,22,30,17,2,71,1889,
Clifton,DeKalb,1731,10,30,16,0,56,118,502,327,5,952,2,7,6,1,16,1024,
Columbia Middle,DeKalb,2178,12,21,9,0,42,140,578,340,6,1064,9,14,4,1,28,1134,
Coan Recreation Center,DeKalb,4230,36,165,84,1,286,176,1470,878,3,2527,14,59,20,0,93,2906,
Cross Keys High,DeKalb,2260,97,266,162,0,525,84,472,406,4,966,24,26,32,0,82,1573,
Crossroads,DeKalb,2898,17,37,31,0,85,231,847,613,7,1698,6,14,10,0,30,1813,
Candler,DeKalb,3537,37,68,19,1,125,213,959,580,14,1766,14,34,17,0,65,1956,
Cedar Grove Middle,DeKalb,1896,10,14,13,0,37,126,484,256,2,868,4,9,4,1,18,923,
Cedar Grove South,DeKalb,3962,21,50,38,1,110,246,1527,721,5,2499,15,30,8,0,53,2662,
Covington Hwy,DeKalb,995,6,4,4,0,14,46,93,59,5,203,2,5,1,1,9,226,
Covington,DeKalb,2376,38,80,34,0,152,103,646,341,6,1096,17,17,19,0,53,1301,
Clairemont East,DeKalb,3226,67,209,161,2,439,62,1019,1074,1,2156,9,42,24,1,76,2671,
Coralwood,DeKalb,3153,111,386,267,4,768,81,831,849,1,1762,22,39,34,0,95,2625,
Candler Park,DeKalb,4018,55,206,134,0,395,79,1579,1241,2,2901,15,54,22,0,91,3387,
Clarkston Community Center,DeKalb,2495,41,82,54,2,179,185,568,368,6,1127,19,22,12,2,55,1361,
Chamblee 2,DeKalb,3137,135,559,234,0,928,80,806,506,0,1392,18,78,32,0,128,2448,
Doraville North,DeKalb,3065,132,183,113,4,432,227,661,384,5,1277,21,36,25,0,82,1791,
Doraville South,DeKalb,1255,74,101,53,1,229,85,268,190,3,546,2,20,11,0,33,808,
Dresden Elem,DeKalb,5141,183,463,236,4,886,274,1137,818,5,2234,28,65,45,0,138,3258,
Decatur,DeKalb,1937,30,99,39,0,168,65,834,476,1,1376,10,18,17,0,45,1589,
Dunaire Elem,DeKalb,2268,31,67,59,0,157,166,586,390,6,1148,11,19,9,1,40,1345,
Dunwoody,DeKalb,3003,115,468,202,1,786,99,716,497,7,1319,9,41,19,0,69,2174,
Dunwoody 2,DeKalb,2044,129,511,232,3,875,27,441,292,2,762,14,32,7,0,53,1690,
Druid Hills High,DeKalb,2725,86,132,128,1,347,95,583,615,2,1295,9,16,14,0,39,1681,
Dunwoody Library,DeKalb,2570,100,804,318,1,1223,27,501,320,1,849,12,46,23,0,81,2153,
East Lake,DeKalb,4139,48,182,71,1,302,196,1457,891,7,2551,25,48,24,0,97,2950,
Embry Hills,DeKalb,1721,65,239,147,0,451,65,402,351,0,818,10,38,20,0,68,1337,
Evansdale Elem,DeKalb,3441,145,401,250,1,797,149,804,598,4,1555,28,52,23,0,103,2455,
Emory South,DeKalb,3241,117,250,160,0,527,120,894,829,6,1849,15,38,31,0,84,2460,
Emory Road,DeKalb,2290,38,71,71,0,180,101,593,396,8,1098,7,8,10,0,25,1303,
Fairington Elem,DeKalb,5455,19,42,28,0,89,424,1522,640,19,2605,12,44,8,1,65,2759,
Fernbank Elem,DeKalb,2125,78,166,154,2,400,79,605,698,2,1384,12,10,15,0,37,1821,
Flat Shoals Elem,DeKalb,2409,13,25,11,0,49,193,616,407,9,1225,7,14,3,0,24,1298,
Flat Shoals Parkway,DeKalb,3449,17,53,11,1,82,190,1273,748,4,2215,8,28,5,0,41,2338,
Flat Rock Elem,DeKalb,3142,20,56,15,0,91,235,1284,526,6,2051,11,23,6,1,41,2183,
Flat Shoals,DeKalb,2649,10,18,10,0,38,177,636,446,7,1266,11,12,11,0,34,1338,
Flakes Mill Fire Station,DeKalb,2103,8,27,15,0,50,116,725,418,7,1266,3,14,6,0,23,1339,
Flat Shoals Library,DeKalb,2788,11,19,7,1,38,226,705,418,2,1351,12,16,6,0,34,1423,
Freedom Middle,DeKalb,3227,49,62,56,0,167,256,818,529,10,1613,13,22,9,1,45,1825,
Glennwood,DeKalb,2715,33,132,102,2,269,63,807,757,4,1631,15,23,20,0,58,1958,
Glenhaven,DeKalb,1880,35,33,41,0,109,202,460,299,4,965,10,13,3,0,26,1100,
Gresham Road,DeKalb,3601,23,44,34,2,103,195,1108,754,15,2072,16,55,21,0,92,2267,
Georgetown Sq,DeKalb,4155,152,605,204,5,966,170,1037,530,4,1741,24,38,23,0,85,2792,
Glenwood Road,DeKalb,2293,26,35,28,0,89,181,516,381,3,1081,11,13,12,1,37,1207,
Hambrick Elem,DeKalb,3776,69,119,102,1,291,260,1023,580,7,1870,12,33,15,2,62,2223,
Hawthorne Elem,DeKalb,3884,142,335,162,1,640,211,1042,637,5,1895,17,56,24,1,98,2633,
Henderson Mill,DeKalb,3104,108,404,261,1,774,121,746,594,1,1462,19,53,22,0,94,2330,
Huntley Hills Elem,DeKalb,3508,144,348,143,0,635,233,979,455,4,1671,23,51,23,2,99,2405,
Hugh Howell,DeKalb,1773,111,221,192,1,525,107,459,271,0,837,12,17,16,0,45,1407,
Harris-Narvie J Harris Elem,DeKalb,4031,16,44,19,0,79,165,1556,770,9,2500,5,33,13,1,52,2631,
Harris-Margaret Harris ED,DeKalb,1462,57,81,66,1,205,95,441,283,4,823,9,14,10,0,33,1061,
Idlewood Elem,DeKalb,2472,86,138,90,1,315,165,675,370,6,1216,17,18,12,0,47,1578,
Indian Creek,DeKalb,2318,44,67,64,3,178,141,463,322,10,936,7,23,17,0,47,1161,
Johnson Estates,DeKalb,1600,54,169,136,0,359,24,441,477,0,942,6,26,24,0,56,1357,
Jolly Elem,DeKalb,3679,75,150,112,3,340,216,829,571,13,1629,20,24,28,1,73,2042,
Kelley Lake Elem,DeKalb,3015,20,31,28,0,79,258,733,563,3,1557,12,21,4,0,37,1673,
Kingsley Elem,DeKalb,2490,190,604,341,3,1138,62,392,405,5,864,22,29,18,0,69,2071,
Kelley Chapel Road,DeKalb,1337,13,11,11,0,35,111,449,316,1,877,5,7,1,0,13,925,
Knollwood,DeKalb,2546,41,38,12,0,91,231,646,457,8,1342,17,10,8,3,38,1471,
Kittredge Elem,DeKalb,2161,136,478,219,2,835,47,468,367,2,884,16,43,20,0,79,1798,
Lakeside High,DeKalb,3216,170,440,304,3,917,117,844,574,0,1535,20,43,42,0,105,2557,
Lavista Road,DeKalb,2223,97,184,210,1,492,89,492,554,3,1138,11,23,20,0,54,1684,
Lavista,DeKalb,3223,109,241,190,3,543,149,762,559,7,1477,24,30,19,0,73,2093,
Lithonia,DeKalb,1730,26,26,15,1,68,220,372,210,2,804,5,13,6,0,24,896,
Lin-Mary Lin Elem,DeKalb,3009,71,202,139,2,414,99,964,846,6,1915,14,36,23,0,73,2402,
Lithonia High,DeKalb,3610,20,27,14,0,61,321,1051,529,13,1914,18,23,9,0,50,2025,
Livsey Elem,DeKalb,1350,72,238,124,0,434,45,339,249,0,633,6,17,12,0,35,1102,
Miller-Eldridge L Miller Elem 3455,DeKalb,26,54,40,0,120,287,912,683,8,1890,11,22,13,0,46,2056,,
McNair High,DeKalb,4160,40,83,54,0,177,243,1356,929,7,2535,22,43,22,0,87,2799,
Marbut Elem,DeKalb,4234,20,35,11,2,68,311,1381,621,19,2332,5,17,6,0,28,2428,
McNair,DeKalb,2794,21,42,18,0,81,160,790,588,6,1544,12,27,14,2,55,1680,
McLendon,DeKalb,3607,63,223,138,0,424,145,923,817,8,1893,22,42,41,2,107,2424,
McWilliams,DeKalb,2517,17,31,11,0,59,136,949,550,5,1640,8,11,5,0,24,1723,
Medlock,DeKalb,2208,71,148,123,1,343,112,621,613,1,1347,16,24,27,0,67,1757,
Midvale Elem,DeKalb,2747,164,526,324,1,1015,75,591,505,2,1173,16,41,30,0,87,2275,
Miller Grove,DeKalb,4747,22,37,20,1,80,313,1347,679,14,2353,18,31,8,0,57,2490,
Montclair Elem,DeKalb,2194,66,88,18,0,172,166,593,231,8,998,17,23,7,0,47,1217,
Montreal,DeKalb,2586,77,171,116,0,364,149,724,479,4,1356,21,32,17,1,71,1791,
Meadowview,DeKalb,3511,23,31,37,1,92,200,956,733,11,1900,14,34,15,1,64,2056,
Memorial South,DeKalb,3138,31,58,34,0,123,229,671,359,19,1278,13,8,4,1,26,1427,
Midway,DeKalb,3139,22,55,53,1,131,162,715,584,6,1467,8,24,14,0,46,1644,
McNair Academy,DeKalb,1900,18,25,10,1,54,118,597,441,4,1160,12,18,5,0,35,1249,
Mount Vernon East,DeKalb,2651,205,709,278,1,1193,58,523,345,2,928,14,43,22,0,79,2200,
Mathis-Bob Mathis Elem,DeKalb,2789,14,42,34,0,90,210,907,682,6,1805,8,13,4,0,25,1920,
Mount Vernon West,DeKalb,2303,119,559,207,5,890,31,546,315,5,897,14,49,9,0,72,1859,
Metropolitan,DeKalb,3405,23,115,56,3,197,157,1273,707,8,2145,18,54,30,0,102,2444,
Montgomery Elem,DeKalb,2446,166,473,246,1,886,67,551,427,3,1048,17,40,23,2,82,2016,
Miller Grove Road,DeKalb,2151,14,36,16,0,66,170,709,492,5,1376,3,14,4,0,21,1463,
Midvale Road,DeKalb,1832,45,121,67,0,233,123,570,292,1,986,6,26,11,1,44,1263,
Miller Grove High,DeKalb,3470,14,34,13,1,62,266,947,440,9,1662,13,12,8,0,33,1757,
North Decatur,DeKalb,2166,36,86,85,1,208,96,580,469,11,1156,14,16,13,0,43,1407,
North Hairston,DeKalb,2329,39,58,48,2,147,184,603,378,6,1171,17,12,11,1,41,1359,
Northlake,DeKalb,1509,107,129,140,0,376,66,378,332,1,777,14,26,18,0,58,1211,
North Peachtree,DeKalb,1916,82,197,101,2,382,97,399,246,4,746,18,25,14,0,57,1185,
Oak Grove Elem,DeKalb,2253,133,286,178,1,598,92,538,518,0,1148,15,36,30,0,81,1827,
Oakcliff Elem,DeKalb,2125,82,146,98,1,327,226,369,243,9,847,22,17,14,0,53,1227,
Oakhurst,DeKalb,2398,44,95,64,0,203,83,980,689,2,1754,15,40,14,0,69,2026,
Oak View Elem,DeKalb,5011,14,48,16,2,80,343,1655,739,17,2754,9,37,13,1,60,2894,
Peachcrest,DeKalb,2458,24,57,34,0,115,160,582,423,5,1170,7,21,13,0,41,1326,
Peachtree Middle,DeKalb,3502,104,367,177,3,651,174,978,509,5,1666,26,43,23,0,92,2409,
Princeton Elem,DeKalb,2376,10,39,10,0,59,165,833,443,5,1446,2,11,5,0,18,1523,
Pine Lake,DeKalb,632,34,8,7,0,49,207,130,71,0,408,14,2,2,0,18,475,
Pleasantdale Road,DeKalb,4538,74,197,86,0,357,372,1043,534,10,1959,28,49,37,0,114,2430,
Ponce de Leon,DeKalb,3766,49,113,97,0,259,94,848,810,12,1764,11,15,8,2,36,2059,
Panola,DeKalb,1586,13,28,17,0,58,126,456,321,2,905,2,10,3,0,15,978,
Panola Way Elem,DeKalb,2252,12,20,17,0,49,189,560,306,20,1075,7,17,6,0,30,1154,
Piney Grove,DeKalb,2018,15,39,15,0,69,151,497,326,7,981,4,13,6,0,23,1073,
Panola Road,DeKalb,2884,10,31,10,0,51,180,987,564,9,1740,5,14,3,0,22,1813,
Rainbow Elem,DeKalb,3768,17,50,38,1,106,241,1151,828,6,2226,9,27,7,1,44,2376,
Redan Elem,DeKalb,3020,14,32,17,0,63,196,1117,584,8,1905,5,23,9,0,37,2005,
Rehoboth,DeKalb,1813,100,161,167,1,429,48,404,481,1,934,20,26,21,1,68,1431,
Rockbridge Elem,DeKalb,3595,35,66,36,5,142,290,905,487,17,1699,7,17,14,1,39,1880,
Rock Chapel Elem,DeKalb,2910,12,44,14,1,71,197,1072,499,6,1774,13,18,9,0,40,1885,
Rowland Elem,DeKalb,3765,25,57,38,0,120,266,884,569,9,1728,15,18,11,0,44,1892,
Redan-Trotti Library,DeKalb,3990,16,33,22,0,71,249,1232,730,21,2232,9,28,10,0,47,2350,
Rockbridge Road,DeKalb,3965,30,64,35,0,129,272,1435,939,10,2656,12,19,14,0,45,2830,
Rowland Road,DeKalb,2080,28,33,45,1,107,167,579,398,7,1151,8,6,9,0,23,1281,
Redan Road,DeKalb,2932,17,30,27,0,74,216,872,504,12,1604,6,18,6,1,31,1709,
Rock Chapel Road,DeKalb,4178,25,111,76,1,213,238,1539,772,17,2566,6,35,13,1,55,2834,
Redan Middle,DeKalb,2496,13,48,25,1,87,142,827,506,5,1480,8,21,7,0,36,1603,
Sagamore Hills Elem,DeKalb,2925,172,358,330,0,860,94,716,718,0,1528,21,29,20,0,70,2458,
Scott,DeKalb,2805,65,169,127,1,362,79,721,835,1,1636,16,31,25,1,73,2071,
Shaw-Robert Shaw Elem,DeKalb,2892,43,71,46,0,160,221,799,541,3,1564,10,30,15,0,55,1779,
Stone Mountain Elem,DeKalb,2338,36,102,239,0,377,134,470,494,3,1101,8,22,12,0,42,1520,
Silver Lake,DeKalb,4979,207,1069,434,1,1711,113,955,721,2,1791,17,72,35,1,125,3627,
Skyland,DeKalb,2100,147,407,163,3,720,82,450,292,4,828,14,30,27,0,71,1619,
Snapfinger Elem,DeKalb,1894,19,17,16,1,53,146,590,494,0,1230,11,16,8,0,35,1318,
Smoke Rise,DeKalb,2108,135,310,236,1,682,78,513,398,0,989,10,27,16,0,53,1724,
Stone Mtn Middle,DeKalb,3247,30,40,47,1,118,271,578,298,14,1161,13,19,7,1,40,1319,
Stone Mill Elem,DeKalb,3714,29,42,37,1,109,310,636,426,14,1386,13,23,7,0,43,1538,
Shadow Rock Elem,DeKalb,4347,25,58,48,0,131,266,1521,997,11,2795,19,21,13,1,54,2980,
Stoneview Elem,DeKalb,1988,13,30,15,1,59,156,475,232,9,872,4,7,8,0,19,950,
Salem Middle,DeKalb,3519,14,51,24,0,89,203,1355,816,5,2379,16,21,11,1,49,2517,
Shamrock,DeKalb,1600,74,130,103,0,307,101,399,438,5,943,16,18,17,0,51,1301,
South Deshon,DeKalb,3470,18,45,17,0,80,241,1231,623,12,2107,10,22,8,0,40,2227,
Stone Mtn Champion,DeKalb,3098,55,53,45,0,153,260,731,441,10,1442,18,24,15,0,57,1652,
Stone Mtn,DeKalb,1711,40,85,31,0,156,149,323,293,2,767,13,16,10,1,40,963,
Snapfinger Road N,DeKalb,2705,11,29,17,0,57,226,660,457,6,1349,8,16,12,0,36,1442,
Snapfinger Road S,DeKalb,1960,23,24,8,0,55,141,702,427,3,1273,6,14,7,0,27,1355,
Stephenson Middle,DeKalb,3822,45,72,34,0,151,266,1337,761,2,2366,9,28,7,0,44,2561,
South Hairston,DeKalb,3814,31,42,27,1,101,325,1047,611,11,1994,16,19,15,1,51,2146,
Stephenson High,DeKalb,3555,16,71,41,1,129,246,1146,783,6,2181,13,21,10,0,44,2354,
Stonecrest Library,DeKalb,3720,25,47,15,1,88,191,1472,537,10,2210,7,42,11,3,63,2361,
Snapfinger Road,DeKalb,4872,10,76,19,0,105,200,2139,1069,11,3419,12,33,10,0,55,3579,
Terry Mill,DeKalb,2808,22,53,21,1,97,208,916,577,5,1706,10,32,15,0,57,1860,
Toney Elem,DeKalb,1729,7,17,14,1,39,148,444,341,5,938,5,9,8,0,22,999,
Tucker Library,DeKalb,3506,120,577,283,2,982,73,916,594,2,1585,27,66,32,0,125,2692,
Tilly Mill Road,DeKalb,1552,126,359,154,1,640,44,298,213,0,555,12,36,16,0,64,1259,
Tucker,DeKalb,2932,67,349,219,1,636,86,793,494,7,1380,8,39,32,0,79,2095,
Valley Brook,DeKalb,1037,48,62,47,3,160,91,267,233,2,593,15,6,5,1,27,780,
Wadsworth,DeKalb,3159,17,28,29,0,74,258,825,630,9,1722,9,34,11,2,56,1852,
Wesley Chapel Library,DeKalb,2922,8,47,15,3,73,189,1059,703,4,1955,9,21,4,0,34,2062,
Woodrow Road,DeKalb,3493,16,52,34,0,102,230,1045,455,11,1741,12,32,13,0,57,1900,
Winnona Park,DeKalb,2020,27,108,79,0,214,38,810,539,2,1389,5,29,21,0,55,1658,
Woodridge Elem,DeKalb,3851,19,53,42,0,114,305,983,737,12,2037,11,25,12,0,48,2199,
Warren Tech,DeKalb,1364,78,118,63,0,259,119,298,189,4,610,15,10,17,0,42,911,
Woodward,DeKalb,3193,81,300,201,2,584,108,832,693,1,1634,16,29,40,1,86,2304,
White Oak,DeKalb,2951,20,16,12,0,48,285,717,415,7,1424,14,9,10,0,33,1505,
Winters Chapel,DeKalb,1434,116,293,138,0,547,51,280,240,2,573,13,24,14,0,51,1171,
Wynbrooke Elem,DeKalb,3496,30,71,42,0,143,256,1270,791,12,2329,16,24,12,1,53,2525,
Young Road,DeKalb,1951,13,33,12,0,58,92,752,422,8,1274,7,6,8,0,21,1353,
