Precinct,County,Registered Voters,Harold Dennis (Rep)_Election Day Votes,Harold Dennis (Rep)_Advanced Voting Votes,Harold Dennis (Rep)_Absentee by Mail Votes,Harold Dennis (Rep)_Provisional Votes,Harold Dennis (Rep)_Choice Total,Melody M. Maddox (I) (Dem)_Election Day Votes,Melody M. Maddox (I) (Dem)_Advanced Voting Votes,Melody M. Maddox (I) (Dem)_Absentee by Mail Votes,Melody M. Maddox (I) (Dem)_Provisional Votes,Melody M. Maddox (I) (Dem)_Choice Total,Total,
Oak View Elem,DeKalb,5011,16,43,19,1,79,348,1708,747,18,2821,2900,
Peachcrest,DeKalb,2458,27,63,30,0,120,163,595,443,4,1205,1325,
Peachtree Middle,DeKalb,3502,110,332,158,2,602,196,1049,541,5,1791,2393,
Princeton Elem,DeKalb,2376,16,36,16,0,68,164,842,450,4,1460,1528,
Pine Lake,DeKalb,632,35,5,6,0,46,221,135,70,0,426,472,
Pleasantdale Road,DeKalb,4538,80,198,103,0,381,390,1091,560,10,2051,2432,
Ponce de Leon,DeKalb,3766,47,89,80,0,216,101,885,833,14,1833,2049,
Panola,DeKalb,1586,18,25,14,0,57,123,469,329,2,923,980,
Panola Way Elem,DeKalb,2252,14,17,19,0,50,196,580,311,21,1108,1158,
Piney Grove,DeKalb,2018,12,34,19,0,65,157,515,333,7,1012,1077,
Panola Road,DeKalb,2884,12,37,12,0,61,184,998,579,8,1769,1830,
Rainbow Elem,DeKalb,3768,19,53,32,0,104,248,1178,835,8,2269,2373,
Redan Elem,DeKalb,3020,19,33,14,1,67,199,1131,591,7,1928,1995,
Rehoboth,DeKalb,1813,103,158,150,1,412,65,420,515,2,1002,1414,
Rockbridge Elem,DeKalb,3595,35,68,39,2,144,292,916,503,17,1728,1872,
Rock Chapel Elem,DeKalb,2910,13,44,22,0,79,203,1099,504,7,1813,1892,
Rowland Elem,DeKalb,3765,27,66,38,0,131,281,890,585,9,1765,1896,
Redan-Trotti Library,DeKalb,3990,13,40,25,0,78,265,1255,743,21,2284,2362,
Rockbridge Road,DeKalb,3965,30,59,31,1,121,280,1462,960,8,2710,2831,
Rowland Road,DeKalb,2080,28,47,44,1,120,170,563,397,7,1137,1257,
Redan Road,DeKalb,2932,16,28,30,0,74,222,884,510,11,1627,1701,
Rock Chapel Road,DeKalb,4178,29,111,72,2,214,237,1578,796,17,2628,2842,
Redan Middle,DeKalb,2496,15,48,24,1,88,147,849,518,5,1519,1607,
Sagamore Hills Elem,DeKalb,2925,159,325,267,0,751,133,779,789,0,1701,2452,
Scott,DeKalb,2805,63,163,107,2,335,95,750,866,1,1712,2047,
Shaw-Robert Shaw Elem,DeKalb,2892,36,88,38,0,162,238,808,570,3,1619,1781,
Stone Mountain Elem,DeKalb,2338,31,97,224,0,352,145,493,527,3,1168,1520,
