Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Lavista Road,DeKalb,2223,100,192,202,1,495,87,477,564,3,1131,11,33,21,0,65,1691,
Lavista,DeKalb,3223,112,242,192,3,549,147,759,566,7,1479,26,38,22,1,87,2115,
Lithonia,DeKalb,1730,26,27,13,1,67,219,363,209,2,793,9,20,9,0,38,898,
Lin-Mary Lin Elem,DeKalb,3009,71,193,139,3,406,95,966,839,5,1905,19,45,34,0,98,2409,
Lithonia High,DeKalb,3610,18,28,18,0,64,316,1038,524,12,1890,23,37,11,1,72,2026,
Livsey Elem,DeKalb,1350,70,239,119,0,428,45,340,254,0,639,10,21,13,0,44,1111,
Miller-Eldridge L Miller Elem 3455,DeKalb,30,58,44,1,133,284,914,673,6,1877,14,22,21,1,58,2068,,
McNair High,DeKalb,4160,41,82,62,0,185,239,1350,931,7,2527,27,57,30,0,114,2826,
Marbut Elem,DeKalb,4234,19,43,8,1,71,302,1364,618,20,2304,13,30,18,0,61,2436,
McNair,DeKalb,2794,17,41,18,0,76,158,786,584,6,1534,17,36,23,2,78,1688,
McLendon,DeKalb,3607,66,223,134,0,423,138,923,820,8,1889,26,56,55,2,139,2451,
McWilliams,DeKalb,2517,14,26,9,0,49,137,943,555,4,1639,9,24,10,1,44,1732,
Medlock,DeKalb,2208,75,152,120,0,347,107,610,622,2,1341,17,31,32,0,80,1768,
Midvale Elem,DeKalb,2747,165,525,336,1,1027,71,586,498,3,1158,16,47,30,0,93,2278,
Miller Grove,DeKalb,4747,16,42,22,2,82,318,1339,678,14,2349,21,41,19,0,81,2512,
Montclair Elem,DeKalb,2194,67,82,22,0,171,164,579,224,8,975,22,40,14,0,76,1222,
Montreal,DeKalb,2586,77,179,121,0,377,150,721,471,4,1346,25,33,26,1,85,1808,
Meadowview,DeKalb,3511,21,36,33,1,91,204,947,740,11,1902,14,40,21,1,76,2069,
Memorial South,DeKalb,3138,32,72,34,2,140,226,674,361,18,1279,17,23,7,1,48,1467,
Midway,DeKalb,3139,28,60,51,2,141,157,707,585,6,1455,9,35,26,0,70,1666,
McNair Academy,DeKalb,1900,17,32,11,1,61,120,593,440,4,1157,12,20,14,0,46,1264,
Mount Vernon East,DeKalb,2651,199,723,287,1,1210,60,515,347,2,924,19,40,20,0,79,2213,
Mathis-Bob Mathis Elem,DeKalb,2789,16,39,32,0,87,207,907,692,6,1812,9,26,11,0,46,1945,
Mount Vernon West,DeKalb,2303,118,572,212,5,907,33,536,312,5,886,14,43,12,0,69,1862,
Metropolitan,DeKalb,3405,25,107,58,4,194,156,1262,710,7,2135,18,77,32,0,127,2456,
Montgomery Elem,DeKalb,2446,169,470,257,3,899,64,552,414,3,1033,22,49,27,0,98,2030,
Miller Grove Road,DeKalb,2151,15,36,21,0,72,170,705,483,5,1363,3,23,11,0,37,1472,
Midvale Road,DeKalb,1832,44,126,71,0,241,123,561,294,1,979,9,28,10,1,48,1268,
Miller Grove High,DeKalb,3470,14,32,15,0,61,268,938,439,10,1655,10,26,12,0,48,1764,
North Decatur,DeKalb,2166,38,85,86,1,210,90,580,462,11,1143,20,20,26,0,66,1419,
North Hairston,DeKalb,2329,39,67,43,2,151,191,593,383,5,1172,15,22,21,2,60,1383,
Northlake,DeKalb,1509,105,134,144,0,383,62,375,331,1,769,19,28,19,0,66,1218,
North Peachtree,DeKalb,1916,78,194,101,2,375,103,397,248,4,752,17,29,15,0,61,1188,
Oak Grove Elem,DeKalb,2253,137,289,187,1,614,90,530,514,0,1134,14,46,32,0,92,1840,
Oakcliff Elem,DeKalb,2125,83,159,93,1,336,230,366,255,9,860,19,16,13,0,48,1244,
Oakhurst,DeKalb,2398,42,94,63,0,199,82,969,692,2,1745,18,54,22,0,94,2038,
Oak View Elem,DeKalb,5011,11,43,21,3,78,338,1655,744,16,2753,16,54,12,1,83,2914,
Peachcrest,DeKalb,2458,23,57,34,0,114,157,577,426,5,1165,12,28,16,0,56,1335,
Peachtree Middle,DeKalb,3502,110,364,187,3,664,172,961,503,5,1641,26,64,27,0,117,2422,
Princeton Elem,DeKalb,2376,13,37,11,0,61,164,831,443,6,1444,4,19,10,0,33,1538,
Pine Lake,DeKalb,632,33,8,7,0,48,201,130,71,0,402,23,3,3,0,29,479,
Pleasantdale Road,DeKalb,4538,78,200,93,0,371,360,1033,523,8,1924,37,63,46,2,148,2443,
Ponce de Leon,DeKalb,3766,47,111,101,0,259,95,840,814,12,1761,14,33,16,1,64,2084,
Panola,DeKalb,1586,15,30,17,0,62,123,453,322,2,900,4,12,7,0,23,985,
Panola Way Elem,DeKalb,2252,13,15,20,0,48,188,570,297,18,1073,9,17,16,3,45,1166,
Piney Grove,DeKalb,2018,18,40,10,0,68,148,499,335,7,989,5,14,10,0,29,1086,
Panola Road,DeKalb,2884,9,25,11,0,45,176,986,569,8,1739,9,24,8,1,42,1826,
Rainbow Elem,DeKalb,3768,18,51,41,1,111,243,1159,831,6,2239,10,31,12,1,54,2404,
Redan Elem,DeKalb,3020,19,31,18,0,68,193,1117,580,7,1897,7,30,12,1,50,2015,
Rehoboth,DeKalb,1813,102,166,171,1,440,45,398,471,2,916,23,28,28,0,79,1435,
Rockbridge Elem,DeKalb,3595,33,69,39,5,146,287,892,493,18,1690,16,33,20,0,69,1905,
Rock Chapel Elem,DeKalb,2910,13,43,19,1,76,196,1075,501,6,1778,18,21,11,1,51,1905,
Rowland Elem,DeKalb,3765,24,63,41,0,128,264,870,558,9,1701,18,31,23,0,72,1901,
Redan-Trotti Library,DeKalb,3990,18,36,24,0,78,244,1226,739,21,2230,19,30,14,0,63,2371,
Rockbridge Road,DeKalb,3965,31,65,33,0,129,269,1434,949,9,2661,16,25,19,1,61,2851,
Rowland Road,DeKalb,2080,24,35,44,1,104,162,570,397,7,1136,15,15,13,1,44,1284,
Redan Road,DeKalb,2932,15,36,26,0,77,215,859,509,13,1596,11,22,10,0,43,1716,
Rock Chapel Road,DeKalb,4178,28,109,72,2,211,233,1541,778,17,2569,9,45,16,1,71,2851,
Redan Middle,DeKalb,2496,16,51,24,1,92,137,815,506,5,1463,9,27,14,0,50,1605,
Sagamore Hills Elem,DeKalb,2925,173,366,325,0,864,95,706,716,0,1517,24,40,35,0,99,2480,
Scott,DeKalb,2805,60,162,129,1,352,75,726,831,1,1633,27,33,34,1,95,2080,
Shaw-Robert Shaw Elem,DeKalb,2892,45,77,50,0,172,220,792,535,3,1550,14,39,29,0,82,1804,
Stone Mountain Elem,DeKalb,2338,36,97,244,0,377,132,475,500,3,1110,14,27,16,0,57,1544,
Silver Lake,DeKalb,4979,203,1078,441,2,1724,109,938,711,4,1762,26,83,46,0,155,3641,
Skyland,DeKalb,2100,153,414,181,2,750,79,438,280,6,803,15,41,25,0,81,1634,
Snapfinger Elem,DeKalb,1894,21,19,18,1,59,146,583,491,0,1220,10,24,13,0,47,1326,
Smoke Rise,DeKalb,2108,134,312,226,1,673,74,510,405,0,989,12,35,18,0,65,1727,
Stone Mtn Middle,DeKalb,3247,34,41,48,0,123,260,583,287,17,1147,20,19,20,0,59,1329,
Stone Mill Elem,DeKalb,3714,34,43,38,0,115,301,634,427,13,1375,21,32,19,2,74,1564,
Shadow Rock Elem,DeKalb,4347,21,59,52,0,132,262,1525,996,12,2795,26,24,26,1,77,3004,
Stoneview Elem,DeKalb,1988,15,28,18,0,61,153,473,232,10,868,6,14,10,0,30,959,
Salem Middle,DeKalb,3519,18,48,25,0,91,202,1363,814,5,2384,14,22,17,2,55,2530,
Shamrock,DeKalb,1600,80,131,106,0,317,101,399,443,5,948,14,28,14,0,56,1321,
South Deshon,DeKalb,3470,19,45,19,1,84,233,1231,625,12,2101,15,31,12,0,58,2243,
Stone Mtn Champion,DeKalb,3098,55,56,49,0,160,255,733,437,10,1435,28,32,22,0,82,1677,
Stone Mtn,DeKalb,1711,43,89,35,0,167,150,318,289,2,759,13,21,12,0,46,972,
Snapfinger Road N,DeKalb,2705,10,30,15,0,55,223,659,456,5,1343,10,20,20,1,51,1449,
Snapfinger Road S,DeKalb,1960,22,26,7,0,55,142,699,430,3,1274,6,11,12,0,29,1358,
Stephenson Middle,DeKalb,3822,49,62,42,0,153,260,1340,753,2,2355,14,31,13,0,58,2566,
South Hairston,DeKalb,3814,27,43,25,1,96,337,1036,619,12,2004,12,34,21,1,68,2168,
Stephenson High,DeKalb,3555,23,74,41,3,141,239,1148,775,4,2166,12,25,22,0,59,2366,
Stonecrest Library,DeKalb,3720,24,52,18,1,95,195,1473,539,10,2217,8,38,13,3,62,2374,
Snapfinger Road,DeKalb,4872,9,78,25,0,112,198,2111,1061,11,3381,17,56,21,0,94,3587,
Terry Mill,DeKalb,2808,21,45,19,1,86,205,907,577,5,1694,15,54,21,0,90,1870,
Toney Elem,DeKalb,1729,9,17,19,2,47,145,444,337,4,930,6,14,11,0,31,1008,
Tucker Library,DeKalb,3506,123,578,268,2,971,74,911,601,2,1588,24,87,49,0,160,2719,
Tilly Mill Road,DeKalb,1552,124,358,152,1,635,41,299,217,0,557,16,37,18,0,71,1263,
Tucker,DeKalb,2932,63,347,220,0,630,86,793,503,8,1390,13,45,25,0,83,2103,
Valley Brook,DeKalb,1037,45,63,48,3,159,95,262,230,2,589,15,12,10,1,38,786,
Wadsworth,DeKalb,3159,15,35,25,0,75,260,836,644,9,1749,8,32,17,1,58,1882,
Wesley Chapel Library,DeKalb,2922,5,40,20,0,65,187,1078,701,6,1972,12,20,11,1,44,2081,
Woodrow Road,DeKalb,3493,18,54,39,0,111,230,1051,461,12,1754,12,30,15,0,57,1922,
Winnona Park,DeKalb,2020,24,112,76,0,212,39,799,539,2,1379,8,40,28,0,76,1667,
Woodridge Elem,DeKalb,3851,20,61,50,0,131,304,977,738,11,2030,17,35,16,1,69,2230,
Warren Tech,DeKalb,1364,81,121,67,0,269,116,296,190,4,606,18,10,13,0,41,916,
Woodward,DeKalb,3193,77,308,206,2,593,111,823,690,2,1626,17,36,47,0,100,2319,
White Oak,DeKalb,2951,22,14,13,0,49,286,712,413,7,1418,14,16,13,0,43,1510,
Winters Chapel,DeKalb,1434,119,301,137,0,557,50,276,247,2,575,14,26,14,0,54,1186,
Wynbrooke Elem,DeKalb,3496,31,76,39,0,146,255,1252,801,12,2320,16,40,11,1,68,2534,
Young Road,DeKalb,1951,7,33,12,0,52,97,742,427,7,1273,8,14,7,1,30,1355,
