,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
246,FA01D,Fulton,321.0,15.0,98.0,7.0,12.0,132.0,3.0,24.0,1.0,4.0,32.0,164.0,51.1
245,FA01C,Fulton,769.0,56.0,231.0,88.0,1.0,376.0,7.0,59.0,19.0,0.0,85.0,461.0,59.9
244,FA01B,Fulton,5860.0,25.0,1967.0,728.0,8.0,2728.0,6.0,422.0,178.0,0.0,606.0,3334.0,56.9
243,FA01A,Fulton,4032.0,205.0,1247.0,496.0,12.0,1960.0,54.0,287.0,147.0,3.0,491.0,2451.0,60.8
242,EP04C,Fulton,1318.0,0.0,308.0,33.0,4.0,345.0,0.0,88.0,8.0,1.0,97.0,442.0,33.5
241,EP04B,Fulton,2624.0,124.0,912.0,223.0,7.0,1266.0,28.0,163.0,52.0,0.0,243.0,1509.0,57.5
240,EP04A,Fulton,5020.0,467.0,1114.0,561.0,28.0,2170.0,76.0,230.0,114.0,8.0,428.0,2598.0,51.8
239,EP03B,Fulton,1547.0,62.0,496.0,281.0,4.0,843.0,19.0,127.0,62.0,1.0,209.0,1052.0,68.0
238,EP03A,Fulton,4925.0,253.0,1270.0,673.0,7.0,2203.0,78.0,314.0,160.0,1.0,553.0,2756.0,56.0
127,08N1,Fulton,824.0,27.0,294.0,129.0,1.0,451.0,9.0,108.0,53.0,1.0,171.0,622.0,75.5
130,09A,Fulton,3856.0,165.0,1380.0,504.0,6.0,2055.0,54.0,379.0,133.0,3.0,569.0,2624.0,68.0
237,EP02E,Fulton,1668.0,90.0,371.0,133.0,0.0,594.0,18.0,90.0,32.0,0.0,140.0,734.0,44.0
235,EP02C,Fulton,522.0,16.0,164.0,55.0,0.0,235.0,5.0,45.0,18.0,0.0,68.0,303.0,58.0
129,08P,Fulton,1887.0,110.0,564.0,205.0,5.0,884.0,30.0,126.0,49.0,3.0,208.0,1092.0,57.9
224,CP07D,Fulton,790.0,49.0,106.0,30.0,0.0,185.0,16.0,20.0,9.0,0.0,45.0,230.0,29.1
225,CP07E,Fulton,127.0,14.0,17.0,2.0,0.0,33.0,5.0,2.0,1.0,0.0,8.0,41.0,32.3
226,CP07F,Fulton,266.0,14.0,25.0,5.0,0.0,44.0,8.0,11.0,1.0,0.0,20.0,64.0,24.1
227,CP081,Fulton,373.0,30.0,45.0,12.0,3.0,90.0,6.0,11.0,3.0,2.0,22.0,112.0,30.0
228,CP083,Fulton,240.0,10.0,16.0,2.0,0.0,28.0,3.0,5.0,0.0,0.0,8.0,36.0,15.0
229,CP084,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,EP02D,Fulton,420.0,25.0,126.0,37.0,0.0,188.0,8.0,31.0,14.0,0.0,53.0,241.0,57.4
211,CH04A,Fulton,825.0,41.0,286.0,110.0,0.0,437.0,18.0,128.0,39.0,0.0,185.0,622.0,75.4
230,CP08A,Fulton,756.0,58.0,71.0,17.0,0.0,146.0,8.0,16.0,9.0,0.0,33.0,179.0,23.7
231,EP01A,Fulton,2978.0,157.0,786.0,276.0,7.0,1226.0,42.0,212.0,86.0,5.0,345.0,1571.0,52.8
232,EP01B,Fulton,3473.0,187.0,800.0,353.0,9.0,1349.0,42.0,192.0,108.0,0.0,342.0,1691.0,48.7
233,EP02A,Fulton,2407.0,130.0,444.0,251.0,17.0,842.0,33.0,123.0,65.0,4.0,225.0,1067.0,44.3
234,EP02B,Fulton,1679.0,86.0,540.0,244.0,1.0,871.0,15.0,154.0,70.0,0.0,239.0,1110.0,66.1
1225,Gibson,Glascock,677.0,85.0,163.0,34.0,0.0,282.0,29.0,82.0,26.0,0.0,137.0,419.0,61.9
