,Precinct,County,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total,calc_participation
95,Hambrick Elem,DeKalb,3776.0,79.0,136.0,96.0,3.0,314.0,268.0,1032.0,606.0,7.0,1913.0,2227.0,59.0
96,Hugh Howell,DeKalb,1773.0,111.0,222.0,178.0,0.0,511.0,121.0,474.0,302.0,0.0,897.0,1408.0,79.4
97,Harris-Narvie J Harris Elem,DeKalb,4031.0,13.0,32.0,18.0,0.0,63.0,174.0,1596.0,788.0,6.0,2564.0,2627.0,65.2
98,Idlewood Elem,DeKalb,2472.0,93.0,132.0,79.0,1.0,305.0,176.0,693.0,392.0,6.0,1267.0,1572.0,63.6
99,Indian Creek,DeKalb,2318.0,53.0,70.0,59.0,3.0,185.0,142.0,480.0,353.0,11.0,986.0,1171.0,50.5
100,Jolly Elem,DeKalb,3679.0,85.0,161.0,118.0,3.0,367.0,231.0,840.0,605.0,12.0,1688.0,2055.0,55.9
101,Kelley Chapel Road,DeKalb,1337.0,13.0,10.0,8.0,0.0,31.0,118.0,456.0,320.0,1.0,895.0,926.0,69.3
102,Lithonia,DeKalb,1730.0,24.0,30.0,19.0,1.0,74.0,227.0,380.0,214.0,2.0,823.0,897.0,51.8
104,Miller-Eldridge L Miller Elem,DeKalb,3455.0,28.0,56.0,45.0,0.0,129.0,295.0,932.0,688.0,7.0,1922.0,2051.0,59.4
125,Panola Road,DeKalb,2884.0,13.0,26.0,8.0,0.0,47.0,181.0,997.0,575.0,8.0,1761.0,1808.0,62.7
126,Rainbow Elem,DeKalb,3768.0,18.0,43.0,35.0,1.0,97.0,249.0,1192.0,850.0,7.0,2298.0,2395.0,63.6
127,Redan Elem,DeKalb,3020.0,19.0,33.0,14.0,1.0,67.0,196.0,1134.0,598.0,6.0,1934.0,2001.0,66.3
150,South Deshon,DeKalb,3470.0,21.0,45.0,25.0,1.0,92.0,246.0,1249.0,629.0,10.0,2134.0,2226.0,64.1
151,Stone Mtn Champion,DeKalb,3098.0,63.0,63.0,51.0,0.0,177.0,273.0,742.0,451.0,8.0,1474.0,1651.0,53.3
152,Stone Mtn,DeKalb,1711.0,45.0,91.0,32.0,1.0,169.0,157.0,330.0,302.0,2.0,791.0,960.0,56.1
153,Snapfinger Road N,DeKalb,2705.0,12.0,37.0,22.0,0.0,71.0,232.0,663.0,474.0,5.0,1374.0,1445.0,53.4
154,Snapfinger Road S,DeKalb,1960.0,25.0,21.0,14.0,0.0,60.0,144.0,713.0,433.0,2.0,1292.0,1352.0,69.0
155,Stephenson Middle,DeKalb,3822.0,51.0,72.0,33.0,0.0,156.0,272.0,1361.0,773.0,1.0,2407.0,2563.0,67.1
156,South Hairston,DeKalb,3814.0,33.0,42.0,27.0,2.0,104.0,342.0,1068.0,631.0,12.0,2053.0,2157.0,56.6
157,Stephenson High,DeKalb,3555.0,22.0,80.0,32.0,1.0,135.0,246.0,1163.0,801.0,5.0,2215.0,2350.0,66.1
158,Stonecrest Library,DeKalb,3720.0,22.0,48.0,18.0,2.0,90.0,202.0,1508.0,552.0,10.0,2272.0,2362.0,63.5
159,Snapfinger Road,DeKalb,4872.0,11.0,67.0,18.0,0.0,96.0,212.0,2186.0,1088.0,7.0,3493.0,3589.0,73.7
160,Valley Brook,DeKalb,1037.0,48.0,55.0,45.0,2.0,150.0,107.0,279.0,244.0,4.0,634.0,784.0,75.6
161,Wadsworth,DeKalb,3159.0,9.0,26.0,15.0,0.0,50.0,202.0,609.0,445.0,4.0,1260.0,1310.0,41.5
162,Wesley Chapel Library,DeKalb,2922.0,9.0,36.0,20.0,0.0,65.0,197.0,1093.0,708.0,6.0,2004.0,2069.0,70.8
163,Woodrow Road,DeKalb,3493.0,15.0,50.0,38.0,0.0,103.0,241.0,1070.0,474.0,12.0,1797.0,1900.0,54.4
164,Winnona Park,DeKalb,2020.0,0.0,2.0,4.0,0.0,6.0,2.0,14.0,5.0,0.0,21.0,27.0,1.3
165,Woodridge Elem,DeKalb,3851.0,23.0,59.0,41.0,0.0,123.0,308.0,1013.0,757.0,11.0,2089.0,2212.0,57.4
166,White Oak,DeKalb,2951.0,19.0,15.0,13.0,1.0,48.0,300.0,725.0,428.0,4.0,1457.0,1505.0,51.0
149,Shamrock,DeKalb,1600.0,77.0,134.0,91.0,0.0,302.0,116.0,414.0,471.0,5.0,1006.0,1308.0,81.8
148,Salem Middle,DeKalb,3519.0,19.0,45.0,21.0,0.0,85.0,213.0,1366.0,833.0,6.0,2418.0,2503.0,71.1
147,Stoneview Elem,DeKalb,1988.0,10.0,30.0,17.0,0.0,57.0,162.0,480.0,248.0,10.0,900.0,957.0,48.1
146,Shadow Rock Elem,DeKalb,4347.0,29.0,51.0,49.0,0.0,129.0,276.0,1547.0,1022.0,7.0,2852.0,2981.0,68.6
128,Rehoboth,DeKalb,1813.0,108.0,163.0,157.0,1.0,429.0,59.0,422.0,516.0,2.0,999.0,1428.0,78.8
129,Rockbridge Elem,DeKalb,3595.0,35.0,67.0,38.0,6.0,146.0,299.0,911.0,511.0,14.0,1735.0,1881.0,52.3
130,Rock Chapel Elem,DeKalb,2910.0,8.0,40.0,20.0,1.0,69.0,213.0,1099.0,511.0,5.0,1828.0,1897.0,65.2
131,Rowland Elem,DeKalb,3765.0,31.0,56.0,37.0,0.0,124.0,275.0,899.0,581.0,7.0,1762.0,1886.0,50.1
132,Redan-Trotti Library,DeKalb,3990.0,14.0,37.0,22.0,0.0,73.0,260.0,1251.0,752.0,20.0,2283.0,2356.0,59.0
133,Rockbridge Road,DeKalb,3965.0,30.0,59.0,35.0,1.0,125.0,281.0,1449.0,963.0,9.0,2702.0,2827.0,71.3
134,Rowland Road,DeKalb,2080.0,31.0,36.0,43.0,0.0,110.0,168.0,577.0,409.0,9.0,1163.0,1273.0,61.2
135,Redan Road,DeKalb,2932.0,18.0,29.0,26.0,1.0,74.0,219.0,882.0,513.0,12.0,1626.0,1700.0,58.0
85,Clarkston Community Center,DeKalb,2495.0,56.0,90.0,51.0,1.0,198.0,193.0,583.0,380.0,7.0,1163.0,1361.0,54.5
136,Rock Chapel Road,DeKalb,4178.0,30.0,107.0,78.0,2.0,217.0,239.0,1568.0,786.0,16.0,2609.0,2826.0,67.6
138,Sagamore Hills Elem,DeKalb,2925.0,166.0,330.0,276.0,0.0,772.0,120.0,778.0,787.0,0.0,1685.0,2457.0,84.0
139,Scott,DeKalb,2805.0,68.0,161.0,127.0,2.0,358.0,89.0,754.0,875.0,0.0,1718.0,2076.0,74.0
140,Shaw-Robert Shaw Elem,DeKalb,2892.0,45.0,78.0,50.0,0.0,173.0,227.0,825.0,559.0,1.0,1612.0,1785.0,61.7
141,Stone Mountain Elem,DeKalb,2338.0,36.0,101.0,214.0,0.0,351.0,142.0,493.0,550.0,3.0,1188.0,1539.0,65.8
142,Snapfinger Elem,DeKalb,1894.0,17.0,20.0,18.0,1.0,56.0,159.0,608.0,506.0,0.0,1273.0,1329.0,70.2
143,Smoke Rise,DeKalb,2108.0,135.0,312.0,213.0,1.0,661.0,84.0,536.0,442.0,0.0,1062.0,1723.0,81.7
144,Stone Mtn Middle,DeKalb,3247.0,32.0,37.0,53.0,0.0,122.0,281.0,602.0,303.0,15.0,1201.0,1323.0,40.7
145,Stone Mill Elem,DeKalb,3714.0,35.0,51.0,36.0,0.0,122.0,318.0,645.0,437.0,13.0,1413.0,1535.0,41.3
137,Redan Middle,DeKalb,2496.0,16.0,50.0,25.0,1.0,92.0,147.0,842.0,521.0,4.0,1514.0,1606.0,64.3
167,Wynbrooke Elem,DeKalb,3496.0,30.0,69.0,33.0,0.0,132.0,270.0,1283.0,816.0,12.0,2381.0,2513.0,71.9
168,Young Road,DeKalb,1951.0,14.0,26.0,10.0,0.0,50.0,96.0,755.0,436.0,6.0,1293.0,1343.0,68.8
82,Covington Hwy,DeKalb,995.0,6.0,5.0,1.0,0.0,12.0,49.0,98.0,63.0,5.0,215.0,227.0,22.8
83,Covington,DeKalb,2376.0,42.0,72.0,42.0,0.0,156.0,114.0,670.0,357.0,3.0,1144.0,1300.0,54.7
66,Allgood Elem,DeKalb,2858.0,46.0,71.0,70.0,1.0,188.0,227.0,872.0,589.0,4.0,1692.0,1880.0,65.8
68,Austin Drive,DeKalb,2536.0,21.0,25.0,30.0,2.0,78.0,189.0,626.0,447.0,13.0,1275.0,1353.0,53.4
69,Avondale High,DeKalb,3151.0,36.0,97.0,61.0,0.0,194.0,59.0,605.0,534.0,0.0,1198.0,1392.0,44.2
70,Brockett Elem,DeKalb,2752.0,81.0,275.0,203.0,1.0,560.0,133.0,721.0,499.0,6.0,1359.0,1919.0,69.7
71,Brockett,DeKalb,2681.0,145.0,247.0,151.0,1.0,544.0,168.0,679.0,481.0,7.0,1335.0,1879.0,70.1
72,Browns Mill Elem,DeKalb,3829.0,14.0,40.0,37.0,0.0,91.0,310.0,1449.0,879.0,5.0,2643.0,2734.0,71.4
73,Bethune Middle,DeKalb,4838.0,29.0,63.0,33.0,2.0,127.0,317.0,1335.0,977.0,12.0,2641.0,2768.0,57.2
67,Avondale,DeKalb,2906.0,212.0,219.0,151.0,0.0,582.0,229.0,919.0,751.0,1.0,1900.0,2482.0,85.4
75,Canby Lane Elem,DeKalb,2004.0,11.0,22.0,26.0,1.0,60.0,218.0,531.0,435.0,8.0,1192.0,1252.0,62.5
76,Candler-Murphey Candler Elem,DeKalb,3712.0,30.0,73.0,43.0,1.0,147.0,277.0,1396.0,641.0,6.0,2320.0,2467.0,66.5
77,Chapel Hill Elem,DeKalb,3349.0,20.0,31.0,24.0,1.0,76.0,254.0,1206.0,695.0,4.0,2159.0,2235.0,66.7
78,Clairemont West,DeKalb,3264.0,79.0,184.0,146.0,0.0,409.0,107.0,1145.0,1070.0,3.0,2325.0,2734.0,83.8
79,Clairmont Road,DeKalb,3223.0,92.0,195.0,171.0,1.0,459.0,150.0,809.0,900.0,5.0,1864.0,2323.0,72.1
80,Clarkston,DeKalb,3878.0,47.0,81.0,43.0,0.0,171.0,360.0,916.0,415.0,13.0,1704.0,1875.0,48.3
74,Columbia Drive,DeKalb,2526.0,21.0,19.0,14.0,0.0,54.0,211.0,577.0,475.0,7.0,1270.0,1324.0,52.4
81,Crossroads,DeKalb,2898.0,19.0,42.0,25.0,0.0,86.0,232.0,858.0,627.0,6.0,1723.0,1809.0,62.4
19,CATES J,Gwinnett,3478.0,230.0,426.0,271.0,1.0,928.0,194.0,809.0,552.0,2.0,1557.0,2485.0,71.4
20,ROCKBRIDGE C,Gwinnett,5125.0,130.0,308.0,167.0,0.0,605.0,289.0,1739.0,1011.0,5.0,3044.0,3649.0,71.2
21,ROCKBRIDGE D,Gwinnett,3642.0,71.0,374.0,194.0,1.0,640.0,201.0,1149.0,620.0,4.0,1974.0,2614.0,71.8
22,CATES L,Gwinnett,4185.0,220.0,596.0,313.0,0.0,1129.0,266.0,949.0,574.0,4.0,1793.0,2922.0,69.8
23,ROCKBRIDGE E,Gwinnett,4638.0,139.0,327.0,143.0,1.0,610.0,387.0,1152.0,744.0,2.0,2285.0,2895.0,62.4
24,BERKSHIRE J,Gwinnett,2731.0,160.0,569.0,271.0,0.0,1000.0,115.0,560.0,432.0,2.0,1109.0,2109.0,77.2
27,BERKSHIRE N,Gwinnett,3128.0,112.0,732.0,327.0,0.0,1171.0,88.0,637.0,516.0,0.0,1241.0,2412.0,77.1
26,BAYCREEK E,Gwinnett,3265.0,183.0,429.0,175.0,1.0,788.0,221.0,742.0,434.0,4.0,1401.0,2189.0,67.0
28,PINCKNEYVILLE V,Gwinnett,1706.0,104.0,193.0,86.0,0.0,383.0,116.0,334.0,221.0,2.0,673.0,1056.0,61.9
29,GARNERS F,Gwinnett,1796.0,107.0,323.0,147.0,1.0,578.0,106.0,362.0,259.0,2.0,729.0,1307.0,72.8
30,ROCKBRIDGE G,Gwinnett,5799.0,131.0,377.0,192.0,2.0,702.0,388.0,1855.0,931.0,10.0,3184.0,3886.0,67.0
18,PINCKNEYVILLE O,Gwinnett,3359.0,94.0,234.0,101.0,0.0,429.0,297.0,788.0,353.0,3.0,1441.0,1870.0,55.7
25,ROCKBRIDGE F,Gwinnett,5795.0,75.0,423.0,202.0,1.0,701.0,310.0,2137.0,873.0,5.0,3325.0,4026.0,69.5
17,BERKSHIRE H,Gwinnett,1987.0,99.0,172.0,145.0,2.0,418.0,147.0,343.0,250.0,1.0,741.0,1159.0,58.3
8,CATES E,Gwinnett,2942.0,216.0,549.0,294.0,1.0,1060.0,145.0,603.0,495.0,0.0,1243.0,2303.0,78.3
15,CATES H,Gwinnett,3924.0,116.0,380.0,177.0,0.0,673.0,303.0,942.0,498.0,2.0,1745.0,2418.0,61.6
1,BERKSHIRE B,Gwinnett,5338.0,121.0,509.0,298.0,1.0,929.0,284.0,1368.0,885.0,4.0,2541.0,3470.0,65.0
2,GARNERS A,Gwinnett,3520.0,196.0,756.0,392.0,1.0,1345.0,142.0,734.0,489.0,1.0,1366.0,2711.0,77.0
3,PINCKNEYVILLE B,Gwinnett,3485.0,114.0,253.0,129.0,0.0,496.0,285.0,727.0,384.0,1.0,1397.0,1893.0,54.3
4,CATES C,Gwinnett,2903.0,166.0,307.0,173.0,1.0,647.0,183.0,768.0,426.0,1.0,1378.0,2025.0,69.8
5,BERKSHIRE D,Gwinnett,2945.0,144.0,488.0,294.0,1.0,927.0,115.0,602.0,516.0,2.0,1235.0,2162.0,73.4
6,BERKSHIRE E,Gwinnett,1997.0,156.0,440.0,186.0,0.0,782.0,84.0,361.0,303.0,1.0,749.0,1531.0,76.7
16,GARNERS D,Gwinnett,3490.0,89.0,261.0,174.0,0.0,524.0,240.0,922.0,621.0,0.0,1783.0,2307.0,66.1
7,CATES D,Gwinnett,3755.0,191.0,509.0,244.0,0.0,944.0,156.0,683.0,493.0,0.0,1332.0,2276.0,60.6
9,BAYCREEK B,Gwinnett,5969.0,262.0,622.0,258.0,3.0,1145.0,423.0,1735.0,810.0,5.0,2973.0,4118.0,69.0
10,ROCKBRIDGE B,Gwinnett,4177.0,133.0,323.0,157.0,0.0,613.0,298.0,1137.0,602.0,1.0,2038.0,2651.0,63.5
11,GARNERS B,Gwinnett,3178.0,112.0,384.0,201.0,4.0,701.0,184.0,841.0,484.0,1.0,1510.0,2211.0,69.6
12,GARNERS C,Gwinnett,2030.0,126.0,280.0,129.0,0.0,535.0,129.0,453.0,269.0,2.0,853.0,1388.0,68.4
13,PINCKNEYVILLE J,Gwinnett,2613.0,72.0,128.0,59.0,0.0,259.0,262.0,616.0,277.0,2.0,1157.0,1416.0,54.2
14,BERKSHIRE G,Gwinnett,2419.0,152.0,489.0,226.0,0.0,867.0,122.0,551.0,312.0,0.0,985.0,1852.0,76.6
31,PINCKNEYVILLE Y,Gwinnett,3272.0,93.0,172.0,94.0,0.0,359.0,350.0,635.0,339.0,1.0,1325.0,1684.0,51.5
32,BERKSHIRE Q,Gwinnett,1802.0,155.0,296.0,142.0,1.0,594.0,107.0,296.0,249.0,1.0,653.0,1247.0,69.2
0,ROCKBRIDGE A,Gwinnett,3987.0,96.0,266.0,150.0,0.0,512.0,261.0,1268.0,653.0,0.0,2182.0,2694.0,67.6
33,BAYCREEK J,Gwinnett,4567.0,189.0,498.0,218.0,0.0,905.0,312.0,1288.0,661.0,4.0,2265.0,3170.0,69.4
34,City Pond,Newton,1833.0,162.0,141.0,87.0,0.0,390.0,195.0,183.0,259.0,0.0,637.0,1027.0,56.0
49,Crowell,Newton,4977.0,110.0,152.0,98.0,0.0,360.0,558.0,1303.0,860.0,2.0,2723.0,3083.0,61.9
48,Fairview,Newton,2953.0,63.0,91.0,62.0,1.0,217.0,392.0,657.0,501.0,2.0,1552.0,1769.0,59.9
47,Stansells,Newton,4969.0,222.0,293.0,203.0,0.0,718.0,513.0,1131.0,786.0,0.0,2430.0,3148.0,63.4
46,Buck Creek,Newton,4839.0,489.0,552.0,278.0,1.0,1320.0,445.0,709.0,710.0,1.0,1865.0,3185.0,65.8
45,Rocky Plains,Newton,3658.0,85.0,46.0,21.0,1.0,153.0,55.0,72.0,59.0,0.0,186.0,339.0,9.3
44,Oxford,Newton,2418.0,522.0,371.0,256.0,0.0,1149.0,169.0,166.0,267.0,1.0,603.0,1752.0,72.5
41,Downs,Newton,6215.0,740.0,839.0,314.0,1.0,1894.0,505.0,1064.0,832.0,0.0,2401.0,4295.0,69.1
42,Gum Creek,Newton,4135.0,901.0,770.0,506.0,1.0,2178.0,175.0,418.0,365.0,0.0,958.0,3136.0,75.8
40,Livingston,Newton,4593.0,314.0,315.0,157.0,3.0,789.0,442.0,917.0,738.0,4.0,2101.0,2890.0,62.9
39,Cedar Shoals,Newton,2838.0,343.0,218.0,139.0,0.0,700.0,292.0,361.0,344.0,1.0,998.0,1698.0,59.8
38,Covington Mills,Newton,3111.0,343.0,334.0,219.0,1.0,897.0,290.0,427.0,389.0,0.0,1106.0,2003.0,64.4
37,Alcovy,Newton,4620.0,481.0,552.0,332.0,1.0,1366.0,314.0,741.0,555.0,2.0,1612.0,2978.0,64.5
36,Almon,Newton,5009.0,257.0,271.0,175.0,0.0,703.0,531.0,1232.0,927.0,3.0,2693.0,3396.0,67.8
35,Town,Newton,4378.0,196.0,208.0,159.0,0.0,563.0,528.0,627.0,791.0,1.0,1947.0,2510.0,57.3
43,Beaverdam,Newton,5428.0,212.0,282.0,161.0,0.0,655.0,597.0,1366.0,904.0,2.0,2869.0,3524.0,64.9
65,ST,Rockdale,3334.0,115.0,527.0,225.0,1.0,868.0,137.0,862.0,473.0,2.0,1474.0,2342.0,70.2
64,SP,Rockdale,4781.0,95.0,439.0,186.0,0.0,720.0,269.0,1635.0,675.0,1.0,2580.0,3300.0,69.0
63,SM,Rockdale,4308.0,88.0,469.0,167.0,2.0,726.0,208.0,1433.0,681.0,3.0,2325.0,3051.0,70.8
62,RO,Rockdale,4633.0,113.0,481.0,183.0,0.0,777.0,268.0,1395.0,677.0,2.0,2342.0,3119.0,67.3
61,OT,Rockdale,6135.0,58.0,286.0,161.0,1.0,506.0,396.0,1814.0,866.0,5.0,3081.0,3587.0,58.5
60,MI,Rockdale,4226.0,99.0,320.0,107.0,0.0,526.0,250.0,1207.0,598.0,5.0,2060.0,2586.0,61.2
59,MA,Rockdale,3180.0,224.0,517.0,196.0,0.0,937.0,168.0,692.0,379.0,1.0,1240.0,2177.0,68.5
55,HC,Rockdale,2411.0,141.0,437.0,160.0,0.0,738.0,123.0,548.0,300.0,0.0,971.0,1709.0,70.9
57,LA,Rockdale,2001.0,80.0,170.0,94.0,0.0,344.0,120.0,395.0,345.0,0.0,860.0,1204.0,60.2
56,HI,Rockdale,3515.0,129.0,490.0,168.0,0.0,787.0,166.0,969.0,485.0,0.0,1620.0,2407.0,68.5
54,FS,Rockdale,4038.0,78.0,299.0,157.0,0.0,534.0,220.0,1279.0,666.0,0.0,2165.0,2699.0,66.8
53,FI,Rockdale,6328.0,72.0,351.0,159.0,0.0,582.0,373.0,2160.0,1117.0,0.0,3650.0,4232.0,66.9
52,CO,Rockdale,3862.0,102.0,229.0,104.0,3.0,438.0,288.0,960.0,450.0,1.0,1699.0,2137.0,55.3
50,BA,Rockdale,4803.0,220.0,740.0,268.0,0.0,1228.0,253.0,1304.0,650.0,1.0,2208.0,3436.0,71.5
58,LO,Rockdale,3943.0,336.0,580.0,228.0,1.0,1145.0,221.0,994.0,588.0,0.0,1803.0,2948.0,74.8
51,BT,Rockdale,4007.0,430.0,789.0,304.0,3.0,1526.0,187.0,558.0,388.0,1.0,1134.0,2660.0,66.4
