,Precinct,County,Registered Voters,Tommy Waldrop (I)_Election Day Votes,Tommy Waldrop (I)_Advanced Voting Votes,Tommy Waldrop (I)_Absentee by Mail Votes,Tommy Waldrop (I)_Provisional Votes,Tommy Waldrop (I)_Choice Total,Total,"William E. """"Bill"""" Cline (I)_Election Day Votes","William E. """"Bill"""" Cline (I)_Advanced Voting Votes","William E. """"Bill"""" Cline (I)_Absentee by Mail Votes","William E. """"Bill"""" Cline (I)_Provisional Votes","William E. """"Bill"""" Cline (I)_Choice Total",calc_participation
46,Cannongate,Coweta,3653.0,,,,,,2467.0,850.0,1121.0,496.0,0.0,2467.0,67.5
47,Westside,Coweta,838.0,,,,,,351.0,171.0,90.0,90.0,0.0,351.0,41.9
48,Northside,Coweta,2285.0,,,,,,1424.0,642.0,433.0,349.0,0.0,1424.0,62.3
38,Turin,Coweta,4477.0,,,,,,3066.0,1074.0,1429.0,563.0,0.0,3066.0,68.5
49,Thomas Crossroads,Coweta,4962.0,,,,,,3243.0,873.0,1774.0,596.0,0.0,3243.0,65.4
50,Coweta Central Library,Coweta,1723.0,,,,,,1143.0,304.0,637.0,202.0,0.0,1143.0,66.3
23,Factory Shoals,Douglas,4359.0,283.0,1551.0,739.0,0.0,2573.0,2573.0,,,,,,59.0
1,Winston,Douglas,1911.0,211.0,589.0,240.0,1.0,1041.0,1041.0,,,,,,54.5
2,Dog River Library,Douglas,4915.0,417.0,2104.0,656.0,0.0,3177.0,3177.0,,,,,,64.6
3,Atlanta West Pentecostal,Douglas,4076.0,393.0,918.0,480.0,1.0,1792.0,1792.0,,,,,,44.0
4,Ephesus Baptist Church,Douglas,3930.0,573.0,1452.0,565.0,0.0,2590.0,2590.0,,,,,,65.9
5,Prays Mill Gym,Douglas,5459.0,496.0,1918.0,848.0,0.0,3262.0,3262.0,,,,,,59.8
6,Turner,Douglas,3847.0,421.0,1026.0,565.0,0.0,2012.0,2012.0,,,,,,52.3
7,First Baptist Lithia Springs,Douglas,1966.0,222.0,480.0,300.0,7.0,1009.0,1009.0,,,,,,51.3
8,Lithia Springs High School,Douglas,6033.0,392.0,1888.0,1054.0,0.0,3334.0,3334.0,,,,,,55.3
9,Deer Lick,Douglas,3042.0,223.0,881.0,383.0,1.0,1488.0,1488.0,,,,,,48.9
10,Golden Methodist Church,Douglas,5634.0,454.0,1546.0,867.0,3.0,2870.0,2870.0,,,,,,50.9
24,Boundary Waters,Douglas,4220.0,255.0,1582.0,587.0,0.0,2424.0,2424.0,,,,,,57.4
11,Old Courthouse,Douglas,5675.0,414.0,1455.0,836.0,2.0,2707.0,2707.0,,,,,,47.7
13,Stewart,Douglas,3208.0,327.0,856.0,472.0,0.0,1655.0,1655.0,,,,,,51.6
14,Arbor Station,Douglas,2990.0,320.0,831.0,414.0,6.0,1571.0,1571.0,,,,,,52.5
15,Bright Star,Douglas,2703.0,324.0,753.0,403.0,1.0,1481.0,1481.0,,,,,,54.8
16,Dorsett Shoals,Douglas,3901.0,437.0,1069.0,575.0,0.0,2081.0,2081.0,,,,,,53.3
17,Chapel Hill,Douglas,4016.0,325.0,1410.0,681.0,6.0,2422.0,2422.0,,,,,,60.3
18,Church At Chapel Hill,Douglas,6353.0,452.0,2294.0,1023.0,0.0,3769.0,3769.0,,,,,,59.3
19,Chestnut Log,Douglas,5177.0,358.0,1271.0,633.0,4.0,2266.0,2266.0,,,,,,43.8
20,St Julians Episcopal,Douglas,2253.0,264.0,603.0,364.0,0.0,1231.0,1231.0,,,,,,54.6
21,Lutheran Church-GS,Douglas,4149.0,313.0,1412.0,703.0,2.0,2430.0,2430.0,,,,,,58.6
22,First Baptist Douglasville,Douglas,2478.0,186.0,834.0,519.0,0.0,1539.0,1539.0,,,,,,62.1
12,Beulah Baptist Church,Douglas,3500.0,388.0,976.0,523.0,1.0,1888.0,1888.0,,,,,,53.9
0,Mirror Lake Elementary,Douglas,6745.0,718.0,1871.0,1072.0,4.0,3665.0,3665.0,,,,,,54.3
