,Precinct,County,Registered Voters,Travys Harper_Election Day Votes,Travys Harper_Advanced Voting Votes,Travys Harper_Absentee by Mail Votes,Travys Harper_Provisional Votes,Travys Harper_Choice Total,Ellis R. Lamme (I)_Election Day Votes,Ellis R. Lamme (I)_Advanced Voting Votes,Ellis R. Lamme (I)_Absentee by Mail Votes,Ellis R. Lamme (I)_Provisional Votes,Ellis R. Lamme (I)_Choice Total,Matthew R. Retter (I)_Election Day Votes,Matthew R. Retter (I)_Advanced Voting Votes,Matthew R. Retter (I)_Absentee by Mail Votes,Matthew R. Retter (I)_Provisional Votes,Matthew R. Retter (I)_Choice Total,Total,calc_participation
109,MARTINS G,Gwinnett,2425.0,144.0,252.0,143.0,0.0,539.0,258.0,463.0,223.0,1.0,945.0,201.0,356.0,208.0,0.0,765.0,2249.0,92.7
110,DULUTH H,Gwinnett,2813.0,105.0,285.0,306.0,1.0,697.0,213.0,627.0,485.0,2.0,1327.0,176.0,530.0,411.0,2.0,1119.0,3143.0,111.7
111,BERKSHIRE N,Gwinnett,3128.0,63.0,350.0,291.0,0.0,704.0,124.0,962.0,562.0,1.0,1649.0,120.0,847.0,546.0,1.0,1514.0,3867.0,123.6
112,PINCKNEYVILLE V,Gwinnett,1706.0,83.0,179.0,121.0,1.0,384.0,127.0,314.0,176.0,1.0,618.0,98.0,243.0,162.0,0.0,503.0,1505.0,88.2
113,PINCKNEYVILLE W,Gwinnett,4253.0,180.0,433.0,362.0,3.0,978.0,335.0,841.0,593.0,5.0,1774.0,272.0,705.0,489.0,1.0,1467.0,4219.0,99.2
114,MARTINS H,Gwinnett,5037.0,220.0,575.0,429.0,7.0,1231.0,380.0,998.0,568.0,5.0,1951.0,334.0,797.0,557.0,7.0,1695.0,4877.0,96.8
99,SUWANEE B,Gwinnett,4656.0,112.0,621.0,399.0,0.0,1132.0,261.0,1454.0,612.0,0.0,2327.0,217.0,1234.0,552.0,0.0,2003.0,5462.0,117.3
98,PINCKNEYVILLE T,Gwinnett,3201.0,155.0,353.0,255.0,2.0,765.0,292.0,595.0,403.0,2.0,1292.0,241.0,480.0,372.0,1.0,1094.0,3151.0,98.4
97,GOODWINS F,Gwinnett,3212.0,121.0,350.0,314.0,0.0,785.0,241.0,681.0,397.0,0.0,1319.0,200.0,598.0,395.0,0.0,1193.0,3297.0,102.6
96,GOODWINS E,Gwinnett,5491.0,268.0,634.0,437.0,1.0,1340.0,495.0,1283.0,717.0,0.0,2495.0,438.0,1104.0,596.0,0.0,2138.0,5973.0,108.8
80,CATES L,Gwinnett,4185.0,194.0,530.0,332.0,2.0,1058.0,320.0,1041.0,523.0,2.0,1886.0,247.0,854.0,474.0,1.0,1576.0,4520.0,108.0
81,DULUTH E,Gwinnett,4814.0,228.0,649.0,401.0,4.0,1282.0,439.0,1160.0,549.0,1.0,2149.0,370.0,940.0,515.0,3.0,1828.0,5259.0,109.2
82,GOODWINS D,Gwinnett,4406.0,217.0,436.0,341.0,1.0,995.0,484.0,892.0,542.0,1.0,1919.0,420.0,775.0,470.0,2.0,1667.0,4581.0,104.0
83,LAWRENCEVILLE G,Gwinnett,3046.0,120.0,390.0,243.0,1.0,754.0,229.0,681.0,294.0,0.0,1204.0,196.0,555.0,291.0,1.0,1043.0,3001.0,98.5
84,LAWRENCEVILLE H,Gwinnett,4296.0,164.0,483.0,354.0,1.0,1002.0,337.0,1029.0,583.0,3.0,1952.0,282.0,917.0,534.0,3.0,1736.0,4690.0,109.2
85,MARTINS F,Gwinnett,2570.0,161.0,304.0,189.0,3.0,657.0,221.0,391.0,236.0,1.0,849.0,195.0,296.0,219.0,3.0,713.0,2219.0,86.3
86,PINCKNEYVILLE S,Gwinnett,3374.0,225.0,346.0,260.0,2.0,833.0,329.0,614.0,372.0,2.0,1317.0,240.0,485.0,342.0,2.0,1069.0,3219.0,95.4
115,MARTINS I,Gwinnett,4078.0,212.0,432.0,302.0,3.0,949.0,307.0,713.0,410.0,4.0,1434.0,238.0,521.0,362.0,2.0,1123.0,3506.0,86.0
87,ROCKBRIDGE E,Gwinnett,4638.0,216.0,576.0,431.0,1.0,1224.0,356.0,945.0,478.0,2.0,1781.0,266.0,809.0,399.0,1.0,1475.0,4480.0,96.6
89,LAWRENCEVILLE I,Gwinnett,3312.0,205.0,344.0,247.0,1.0,797.0,317.0,695.0,386.0,0.0,1398.0,245.0,568.0,341.0,0.0,1154.0,3349.0,101.1
90,BAYCREEK D,Gwinnett,4609.0,155.0,636.0,344.0,0.0,1135.0,355.0,1286.0,582.0,0.0,2223.0,296.0,1125.0,542.0,0.0,1963.0,5321.0,115.4
91,BERKSHIRE J,Gwinnett,2731.0,79.0,305.0,249.0,1.0,634.0,202.0,800.0,500.0,2.0,1504.0,170.0,697.0,429.0,0.0,1296.0,3434.0,125.7
92,CATES M,Gwinnett,3988.0,114.0,486.0,327.0,2.0,929.0,317.0,1205.0,703.0,3.0,2228.0,290.0,1072.0,634.0,1.0,1997.0,5154.0,129.2
93,CATES N,Gwinnett,2567.0,104.0,280.0,196.0,1.0,581.0,258.0,645.0,419.0,0.0,1322.0,233.0,594.0,404.0,0.0,1231.0,3134.0,122.1
94,DULUTH F,Gwinnett,6161.0,290.0,756.0,539.0,6.0,1591.0,430.0,1174.0,636.0,9.0,2249.0,368.0,936.0,549.0,9.0,1862.0,5702.0,92.5
95,DULUTH G,Gwinnett,3067.0,137.0,316.0,275.0,1.0,729.0,304.0,685.0,482.0,3.0,1474.0,262.0,618.0,442.0,2.0,1324.0,3527.0,115.0
88,SUGAR HILL E,Gwinnett,3589.0,150.0,425.0,269.0,2.0,846.0,339.0,992.0,469.0,3.0,1803.0,287.0,848.0,410.0,4.0,1549.0,4198.0,117.0
79,BAYCREEK C,Gwinnett,6499.0,250.0,1034.0,546.0,1.0,1831.0,460.0,1856.0,715.0,0.0,3031.0,409.0,1589.0,674.0,0.0,2672.0,7534.0,115.9
116,MARTINS J,Gwinnett,3923.0,285.0,500.0,313.0,5.0,1103.0,395.0,740.0,297.0,4.0,1436.0,299.0,551.0,279.0,4.0,1133.0,3672.0,93.6
118,BERKSHIRE O,Gwinnett,2589.0,96.0,257.0,221.0,2.0,576.0,210.0,612.0,425.0,2.0,1249.0,189.0,565.0,387.0,1.0,1142.0,2967.0,114.6
139,SUWANEE H,Gwinnett,3785.0,123.0,382.0,269.0,1.0,775.0,305.0,1275.0,602.0,1.0,2183.0,294.0,1179.0,560.0,0.0,2033.0,4991.0,131.9
140,SUGAR HILL G,Gwinnett,2814.0,103.0,322.0,215.0,1.0,641.0,258.0,849.0,396.0,0.0,1503.0,234.0,768.0,345.0,1.0,1348.0,3492.0,124.1
141,SUWANEE F,Gwinnett,3966.0,127.0,470.0,363.0,4.0,964.0,317.0,1021.0,530.0,0.0,1868.0,295.0,913.0,453.0,1.0,1662.0,4494.0,113.3
142,LAWRENCEVILLE L,Gwinnett,4802.0,185.0,651.0,405.0,1.0,1242.0,330.0,1274.0,635.0,0.0,2239.0,299.0,1061.0,579.0,0.0,1939.0,5420.0,112.9
143,LAWRENCEVILLE M,Gwinnett,7255.0,305.0,1076.0,620.0,2.0,2003.0,474.0,1640.0,682.0,2.0,2798.0,359.0,1256.0,630.0,6.0,2251.0,7052.0,97.2
144,BAYCREEK G,Gwinnett,6241.0,205.0,1009.0,464.0,0.0,1678.0,386.0,1629.0,579.0,0.0,2594.0,324.0,1320.0,542.0,0.0,2186.0,6458.0,103.5
145,BAYCREEK H,Gwinnett,6811.0,248.0,1029.0,536.0,1.0,1814.0,454.0,2004.0,803.0,3.0,3264.0,421.0,1821.0,769.0,1.0,3012.0,8090.0,118.8
146,BAYCREEK I,Gwinnett,5899.0,206.0,850.0,463.0,2.0,1521.0,388.0,1535.0,649.0,6.0,2578.0,326.0,1273.0,596.0,2.0,2197.0,6296.0,106.7
147,BERKSHIRE Q,Gwinnett,1802.0,68.0,173.0,118.0,0.0,359.0,178.0,393.0,245.0,2.0,818.0,156.0,360.0,226.0,1.0,743.0,1920.0,106.5
148,GOODWINS I,Gwinnett,2501.0,109.0,242.0,223.0,0.0,574.0,274.0,590.0,401.0,0.0,1265.0,243.0,522.0,363.0,0.0,1128.0,2967.0,118.6
149,DULUTH K,Gwinnett,2786.0,129.0,303.0,207.0,0.0,639.0,205.0,461.0,200.0,2.0,868.0,158.0,358.0,176.0,2.0,694.0,2201.0,79.0
150,HARBINS C,Gwinnett,2850.0,162.0,382.0,159.0,1.0,704.0,381.0,850.0,258.0,1.0,1490.0,365.0,756.0,239.0,1.0,1361.0,3555.0,124.7
151,ROCKYCREEK C,Gwinnett,4806.0,189.0,710.0,331.0,1.0,1231.0,383.0,1493.0,528.0,4.0,2408.0,336.0,1305.0,485.0,1.0,2127.0,5766.0,120.0
152,LAWRENCEVILLE N,Gwinnett,2573.0,145.0,276.0,163.0,3.0,587.0,250.0,505.0,271.0,2.0,1028.0,217.0,405.0,251.0,3.0,876.0,2491.0,96.8
153,PUCKETTS D,Gwinnett,3622.0,122.0,387.0,265.0,0.0,774.0,273.0,1074.0,452.0,2.0,1801.0,258.0,946.0,420.0,3.0,1627.0,4202.0,116.0
138,MARTINS K,Gwinnett,5352.0,270.0,700.0,469.0,2.0,1441.0,449.0,1152.0,563.0,3.0,2167.0,338.0,871.0,524.0,1.0,1734.0,5342.0,99.8
137,DULUTH I,Gwinnett,5105.0,152.0,468.0,568.0,0.0,1188.0,308.0,1174.0,934.0,0.0,2416.0,298.0,1035.0,805.0,1.0,2139.0,5743.0,112.5
136,ROCKYCREEK B,Gwinnett,5061.0,199.0,674.0,345.0,0.0,1218.0,409.0,1510.0,521.0,2.0,2442.0,346.0,1334.0,480.0,0.0,2160.0,5820.0,115.0
135,HOG MOUNTAIN C,Gwinnett,4292.0,171.0,516.0,340.0,0.0,1027.0,353.0,1059.0,476.0,2.0,1890.0,327.0,911.0,477.0,1.0,1716.0,4633.0,107.9
119,BERKSHIRE P,Gwinnett,1476.0,71.0,140.0,112.0,0.0,323.0,139.0,240.0,140.0,2.0,521.0,136.0,217.0,137.0,0.0,490.0,1334.0,90.4
120,PINCKNEYVILLE X,Gwinnett,3412.0,128.0,373.0,340.0,9.0,850.0,271.0,829.0,644.0,8.0,1752.0,240.0,730.0,537.0,6.0,1513.0,4115.0,120.6
121,ROCKBRIDGE G,Gwinnett,5799.0,211.0,913.0,552.0,10.0,1686.0,356.0,1483.0,622.0,8.0,2469.0,260.0,1182.0,502.0,5.0,1949.0,6104.0,105.3
122,PINCKNEYVILLE Y,Gwinnett,3272.0,189.0,361.0,198.0,1.0,749.0,294.0,506.0,225.0,0.0,1025.0,232.0,395.0,179.0,1.0,807.0,2581.0,78.9
123,GOODWINS G,Gwinnett,2661.0,166.0,337.0,197.0,1.0,701.0,263.0,565.0,243.0,2.0,1073.0,217.0,437.0,213.0,3.0,870.0,2644.0,99.4
124,PINCKNEYVILLE Z,Gwinnett,1898.0,76.0,106.0,179.0,0.0,361.0,280.0,427.0,444.0,0.0,1151.0,269.0,386.0,376.0,0.0,1031.0,2543.0,134.0
125,PINCKNEYVILLE A1,Gwinnett,2694.0,67.0,206.0,261.0,0.0,534.0,289.0,688.0,610.0,0.0,1587.0,271.0,632.0,558.0,0.0,1461.0,3582.0,133.0
117,GARNERS F,Gwinnett,1796.0,60.0,217.0,145.0,1.0,423.0,137.0,450.0,261.0,3.0,851.0,122.0,402.0,254.0,2.0,780.0,2054.0,114.4
126,LAWRENCEVILLE J,Gwinnett,2249.0,109.0,267.0,151.0,1.0,528.0,225.0,529.0,204.0,0.0,958.0,185.0,434.0,194.0,2.0,815.0,2301.0,102.3
128,DUNCANS B,Gwinnett,5387.0,216.0,655.0,348.0,4.0,1223.0,543.0,1669.0,628.0,2.0,2842.0,480.0,1505.0,551.0,2.0,2538.0,6603.0,122.6
129,SUWANEE D,Gwinnett,4732.0,156.0,527.0,354.0,1.0,1038.0,438.0,1408.0,746.0,1.0,2593.0,389.0,1331.0,686.0,2.0,2408.0,6039.0,127.6
130,SUWANEE E,Gwinnett,4256.0,121.0,542.0,359.0,1.0,1023.0,357.0,1291.0,626.0,1.0,2275.0,312.0,1146.0,578.0,0.0,2036.0,5334.0,125.3
131,LAWRENCEVILLE K,Gwinnett,3282.0,126.0,358.0,285.0,0.0,769.0,289.0,839.0,516.0,0.0,1644.0,256.0,699.0,448.0,0.0,1403.0,3816.0,116.3
132,HARBINS B,Gwinnett,4845.0,201.0,657.0,284.0,2.0,1144.0,369.0,1475.0,440.0,2.0,2286.0,309.0,1293.0,422.0,0.0,2024.0,5454.0,112.6
133,BAYCREEK F,Gwinnett,4608.0,170.0,679.0,391.0,2.0,1242.0,358.0,1273.0,487.0,3.0,2121.0,291.0,1046.0,464.0,5.0,1806.0,5169.0,112.2
134,PUCKETTS C,Gwinnett,3367.0,124.0,386.0,230.0,1.0,741.0,234.0,937.0,353.0,0.0,1524.0,230.0,884.0,288.0,0.0,1402.0,3667.0,108.9
127,GOODWINS H,Gwinnett,2796.0,124.0,328.0,226.0,2.0,680.0,248.0,702.0,342.0,1.0,1293.0,246.0,636.0,298.0,0.0,1180.0,3153.0,112.8
78,CATES K,Gwinnett,2810.0,114.0,305.0,211.0,0.0,630.0,275.0,753.0,407.0,3.0,1438.0,255.0,651.0,403.0,3.0,1312.0,3380.0,120.3
77,BAYCREEK K,Gwinnett,3824.0,112.0,551.0,309.0,0.0,972.0,216.0,1140.0,568.0,0.0,1924.0,186.0,978.0,514.0,0.0,1678.0,4574.0,119.6
76,GOODWINS C,Gwinnett,5804.0,274.0,702.0,529.0,0.0,1505.0,436.0,1248.0,742.0,0.0,2426.0,418.0,1007.0,635.0,1.0,2061.0,5992.0,103.2
21,PINCKNEYVILLE C,Gwinnett,2082.0,114.0,168.0,193.0,0.0,475.0,246.0,436.0,400.0,2.0,1084.0,209.0,384.0,355.0,2.0,950.0,2509.0,120.5
22,PINCKNEYVILLE D,Gwinnett,2264.0,147.0,248.0,121.0,1.0,517.0,216.0,351.0,176.0,2.0,745.0,161.0,272.0,146.0,3.0,582.0,1844.0,81.4
23,SUGAR HILL A,Gwinnett,4654.0,191.0,435.0,289.0,1.0,916.0,433.0,1035.0,484.0,3.0,1955.0,380.0,934.0,454.0,3.0,1771.0,4642.0,99.7
24,SUGAR HILL B,Gwinnett,5596.0,256.0,693.0,362.0,4.0,1315.0,548.0,1475.0,588.0,4.0,2615.0,491.0,1279.0,542.0,7.0,2319.0,6249.0,111.7
25,HOG MOUNTAIN A,Gwinnett,5011.0,208.0,638.0,373.0,1.0,1220.0,439.0,1253.0,556.0,0.0,2248.0,354.0,1013.0,515.0,0.0,1882.0,5350.0,106.8
26,HOG MOUNTAIN B,Gwinnett,4583.0,152.0,522.0,420.0,2.0,1096.0,388.0,1263.0,667.0,2.0,2320.0,343.0,1057.0,580.0,0.0,1980.0,5396.0,117.7
27,ROCKYCREEK A,Gwinnett,5939.0,241.0,805.0,415.0,2.0,1463.0,518.0,1819.0,622.0,1.0,2960.0,452.0,1586.0,560.0,0.0,2598.0,7021.0,118.2
28,CATES B,Gwinnett,1587.0,62.0,154.0,107.0,0.0,323.0,164.0,383.0,224.0,0.0,771.0,140.0,355.0,221.0,1.0,717.0,1811.0,114.1
29,CATES C,Gwinnett,2903.0,128.0,401.0,228.0,1.0,758.0,223.0,711.0,351.0,2.0,1287.0,184.0,587.0,329.0,1.0,1101.0,3146.0,108.4
30,HOG MOUNTAIN D,Gwinnett,3179.0,139.0,352.0,255.0,1.0,747.0,280.0,786.0,414.0,2.0,1482.0,258.0,698.0,364.0,0.0,1320.0,3549.0,111.6
31,BERKSHIRE D,Gwinnett,2945.0,86.0,316.0,274.0,2.0,678.0,175.0,803.0,542.0,1.0,1521.0,154.0,672.0,510.0,2.0,1338.0,3537.0,120.1
32,BERKSHIRE E,Gwinnett,1997.0,67.0,200.0,179.0,0.0,446.0,166.0,597.0,337.0,0.0,1100.0,146.0,515.0,287.0,0.0,948.0,2494.0,124.9
33,BERKSHIRE F,Gwinnett,2254.0,129.0,200.0,203.0,0.0,532.0,208.0,372.0,264.0,0.0,844.0,183.0,296.0,230.0,1.0,710.0,2086.0,92.5
34,CATES D,Gwinnett,3755.0,137.0,501.0,344.0,0.0,982.0,281.0,978.0,555.0,1.0,1815.0,234.0,830.0,520.0,0.0,1584.0,4381.0,116.7
35,CATES E,Gwinnett,2942.0,102.0,342.0,284.0,1.0,729.0,253.0,807.0,533.0,0.0,1593.0,224.0,701.0,498.0,1.0,1424.0,3746.0,127.3
20,PINCKNEYVILLE B,Gwinnett,3485.0,205.0,408.0,207.0,2.0,822.0,256.0,616.0,300.0,3.0,1175.0,194.0,450.0,261.0,4.0,909.0,2906.0,83.4
19,PINCKNEYVILLE A,Gwinnett,2791.0,196.0,316.0,202.0,2.0,716.0,282.0,468.0,214.0,5.0,969.0,225.0,363.0,193.0,2.0,783.0,2468.0,88.4
18,MARTINS C,Gwinnett,2549.0,142.0,291.0,178.0,1.0,612.0,262.0,544.0,361.0,5.0,1172.0,206.0,456.0,331.0,2.0,995.0,2779.0,109.0
17,MARTINS B,Gwinnett,3001.0,157.0,342.0,182.0,1.0,682.0,243.0,642.0,325.0,2.0,1212.0,195.0,529.0,301.0,1.0,1026.0,2920.0,97.3
1,ROCKBRIDGE A,Gwinnett,3987.0,151.0,635.0,378.0,0.0,1164.0,249.0,1038.0,405.0,0.0,1692.0,206.0,797.0,366.0,1.0,1370.0,4226.0,106.0
2,DACULA,Gwinnett,4777.0,194.0,694.0,392.0,0.0,1280.0,325.0,1309.0,487.0,1.0,2122.0,282.0,1169.0,413.0,2.0,1866.0,5268.0,110.3
3,SUWANEE A,Gwinnett,1737.0,70.0,230.0,138.0,1.0,439.0,152.0,478.0,234.0,0.0,864.0,133.0,375.0,179.0,0.0,687.0,1990.0,114.6
4,BAYCREEK A,Gwinnett,2720.0,101.0,322.0,264.0,0.0,687.0,266.0,713.0,398.0,0.0,1377.0,243.0,620.0,356.0,0.0,1219.0,3283.0,120.7
5,GOODWINS A,Gwinnett,3921.0,176.0,428.0,315.0,1.0,920.0,345.0,894.0,466.0,1.0,1706.0,315.0,771.0,408.0,1.0,1495.0,4121.0,105.1
6,DULUTH A,Gwinnett,5042.0,142.0,650.0,523.0,0.0,1315.0,308.0,1294.0,858.0,1.0,2461.0,273.0,1150.0,745.0,2.0,2170.0,5946.0,117.9
7,DUNCANS A,Gwinnett,4729.0,112.0,579.0,335.0,0.0,1026.0,345.0,1636.0,604.0,2.0,2587.0,328.0,1496.0,576.0,1.0,2401.0,6014.0,127.2
36,PINCKNEYVILLE E,Gwinnett,2184.0,137.0,234.0,145.0,8.0,524.0,225.0,416.0,194.0,2.0,837.0,194.0,359.0,164.0,3.0,720.0,2081.0,95.3
8,PUCKETTS A,Gwinnett,5692.0,138.0,674.0,342.0,0.0,1154.0,312.0,1902.0,793.0,0.0,3007.0,281.0,1769.0,737.0,0.0,2787.0,6948.0,122.1
10,BERKSHIRE A,Gwinnett,2555.0,163.0,225.0,185.0,2.0,575.0,263.0,444.0,238.0,0.0,945.0,221.0,350.0,233.0,0.0,804.0,2324.0,91.0
11,BERKSHIRE B,Gwinnett,5338.0,153.0,690.0,484.0,4.0,1331.0,252.0,1219.0,736.0,4.0,2211.0,204.0,1017.0,645.0,0.0,1866.0,5408.0,101.3
12,DUNCANS C,Gwinnett,3040.0,80.0,309.0,169.0,0.0,558.0,298.0,1044.0,353.0,1.0,1696.0,283.0,942.0,359.0,1.0,1585.0,3839.0,126.3
13,GARNERS A,Gwinnett,3520.0,98.0,402.0,284.0,0.0,784.0,232.0,1062.0,602.0,1.0,1897.0,207.0,937.0,555.0,1.0,1700.0,4381.0,124.5
14,LAWRENCEVILLE A,Gwinnett,3635.0,164.0,351.0,229.0,1.0,745.0,265.0,727.0,375.0,2.0,1369.0,216.0,654.0,363.0,0.0,1233.0,3347.0,92.1
15,LAWRENCEVILLE B,Gwinnett,5097.0,141.0,849.0,409.0,1.0,1400.0,220.0,1338.0,579.0,2.0,2139.0,193.0,1056.0,517.0,1.0,1767.0,5306.0,104.1
16,MARTINS A,Gwinnett,3303.0,170.0,418.0,248.0,3.0,839.0,294.0,649.0,270.0,1.0,1214.0,223.0,492.0,245.0,2.0,962.0,3015.0,91.3
9,CATES A,Gwinnett,2387.0,85.0,235.0,180.0,0.0,500.0,193.0,530.0,369.0,0.0,1092.0,172.0,464.0,369.0,1.0,1006.0,2598.0,108.8
37,PINCKNEYVILLE F,Gwinnett,2546.0,152.0,250.0,184.0,1.0,587.0,210.0,436.0,244.0,0.0,890.0,185.0,356.0,208.0,1.0,750.0,2227.0,87.5
38,DUNCANS D,Gwinnett,7153.0,280.0,797.0,471.0,0.0,1548.0,650.0,2064.0,855.0,2.0,3571.0,543.0,1922.0,827.0,1.0,3293.0,8412.0,117.6
39,PINCKNEYVILLE H,Gwinnett,4536.0,145.0,518.0,468.0,1.0,1132.0,391.0,1119.0,788.0,2.0,2300.0,354.0,924.0,668.0,1.0,1947.0,5379.0,118.6
60,LAWRENCEVILLE E,Gwinnett,2355.0,99.0,224.0,162.0,0.0,485.0,199.0,502.0,370.0,2.0,1073.0,185.0,454.0,359.0,1.0,999.0,2557.0,108.6
61,PINCKNEYVILLE L,Gwinnett,2330.0,73.0,146.0,231.0,0.0,450.0,279.0,522.0,588.0,1.0,1390.0,281.0,475.0,515.0,1.0,1272.0,3112.0,133.6
62,PINCKNEYVILLE M,Gwinnett,2673.0,71.0,184.0,240.0,0.0,495.0,318.0,719.0,542.0,0.0,1579.0,307.0,660.0,497.0,0.0,1464.0,3538.0,132.4
63,GARNERS D,Gwinnett,3490.0,147.0,482.0,335.0,0.0,964.0,212.0,785.0,447.0,0.0,1444.0,156.0,636.0,397.0,0.0,1189.0,3597.0,103.1
64,BERKSHIRE H,Gwinnett,1987.0,101.0,189.0,159.0,3.0,452.0,161.0,313.0,209.0,0.0,683.0,139.0,274.0,219.0,2.0,634.0,1769.0,89.0
65,PINCKNEYVILLE O,Gwinnett,3359.0,167.0,426.0,205.0,3.0,801.0,262.0,669.0,248.0,4.0,1183.0,197.0,520.0,221.0,3.0,941.0,2925.0,87.1
66,PUCKETTS E,Gwinnett,5660.0,175.0,710.0,419.0,3.0,1307.0,366.0,1432.0,646.0,3.0,2447.0,308.0,1220.0,596.0,1.0,2125.0,5879.0,103.9
59,LAWRENCEVILLE D,Gwinnett,5012.0,227.0,540.0,297.0,6.0,1070.0,388.0,858.0,385.0,4.0,1635.0,300.0,675.0,376.0,3.0,1354.0,4059.0,81.0
67,CATES I,Gwinnett,3537.0,121.0,432.0,329.0,1.0,883.0,312.0,957.0,576.0,0.0,1845.0,288.0,843.0,466.0,1.0,1598.0,4326.0,122.3
69,GOODWINS B,Gwinnett,3960.0,147.0,409.0,317.0,1.0,874.0,351.0,1061.0,561.0,0.0,1973.0,323.0,979.0,511.0,0.0,1813.0,4660.0,117.7
70,LAWRENCEVILLE F,Gwinnett,4061.0,182.0,531.0,368.0,1.0,1082.0,296.0,904.0,409.0,1.0,1610.0,256.0,775.0,385.0,3.0,1419.0,4111.0,101.2
71,MARTINS E,Gwinnett,6193.0,382.0,752.0,391.0,2.0,1527.0,483.0,1094.0,401.0,2.0,1980.0,362.0,788.0,335.0,2.0,1487.0,4994.0,80.6
72,PINCKNEYVILLE P,Gwinnett,2185.0,107.0,223.0,200.0,1.0,531.0,232.0,464.0,366.0,1.0,1063.0,205.0,362.0,354.0,1.0,922.0,2516.0,115.1
73,PINCKNEYVILLE Q,Gwinnett,1915.0,147.0,209.0,124.0,1.0,481.0,218.0,336.0,141.0,2.0,697.0,183.0,251.0,126.0,0.0,560.0,1738.0,90.8
74,ROCKBRIDGE C,Gwinnett,5125.0,154.0,823.0,559.0,4.0,1540.0,274.0,1378.0,579.0,1.0,2232.0,204.0,1121.0,540.0,3.0,1868.0,5640.0,110.0
75,ROCKBRIDGE D,Gwinnett,3642.0,118.0,614.0,340.0,3.0,1075.0,187.0,1030.0,418.0,3.0,1638.0,146.0,836.0,419.0,1.0,1402.0,4115.0,113.0
68,CATES J,Gwinnett,3478.0,139.0,439.0,303.0,1.0,882.0,299.0,797.0,514.0,1.0,1611.0,252.0,686.0,495.0,1.0,1434.0,3927.0,112.9
154,SUWANEE G,Gwinnett,3904.0,161.0,532.0,316.0,0.0,1009.0,365.0,1103.0,508.0,0.0,1976.0,321.0,925.0,460.0,0.0,1706.0,4691.0,120.2
58,PINCKNEYVILLE N,Gwinnett,3819.0,243.0,472.0,286.0,2.0,1003.0,405.0,776.0,276.0,4.0,1461.0,325.0,599.0,257.0,2.0,1183.0,3647.0,95.5
56,DULUTH D,Gwinnett,5077.0,198.0,634.0,377.0,5.0,1214.0,374.0,1104.0,564.0,8.0,2050.0,310.0,915.0,492.0,10.0,1727.0,4991.0,98.3
40,BAYCREEK B,Gwinnett,5969.0,279.0,912.0,465.0,4.0,1660.0,460.0,1530.0,540.0,4.0,2534.0,378.0,1300.0,542.0,4.0,2224.0,6418.0,107.5
