,Precinct,County,Registered Voters,Kay Kirkpatrick (I) (Rep)_Election Day Votes,Kay Kirkpatrick (I) (Rep)_Advanced Voting Votes,Kay Kirkpatrick (I) (Rep)_Absentee by Mail Votes,Kay Kirkpatrick (I) (Rep)_Provisional Votes,Kay Kirkpatrick (I) (Rep)_Choice Total,Christine Triebsch (Dem)_Election Day Votes,Christine Triebsch (Dem)_Advanced Voting Votes,Christine Triebsch (Dem)_Absentee by Mail Votes,Christine Triebsch (Dem)_Provisional Votes,Christine Triebsch (Dem)_Choice Total,Total,calc_participation
50,Timber Ridge 01,Cobb,2448.0,281.0,476.0,427.0,0.0,1184.0,68.0,275.0,516.0,1.0,860.0,2044.0,83.5
13,Chestnut Ridge 01,Cobb,3162.0,337.0,631.0,643.0,0.0,1611.0,116.0,347.0,583.0,0.0,1046.0,2657.0,84.0
14,Dickerson 01,Cobb,2828.0,281.0,588.0,514.0,2.0,1385.0,77.0,325.0,568.0,1.0,971.0,2356.0,83.3
15,Dodgen 01,Cobb,2100.0,268.0,396.0,397.0,2.0,1063.0,78.0,242.0,363.0,1.0,684.0,1747.0,83.2
12,Blackwell 01,Cobb,2698.0,229.0,450.0,295.0,1.0,975.0,173.0,360.0,504.0,1.0,1038.0,2013.0,74.6
17,Eastside 01,Cobb,3040.0,348.0,579.0,598.0,1.0,1526.0,86.0,311.0,596.0,1.0,994.0,2520.0,82.9
18,Eastside 02,Cobb,4074.0,230.0,447.0,548.0,0.0,1225.0,74.0,270.0,499.0,0.0,843.0,2068.0,50.8
19,Elizabeth 03,Cobb,2767.0,317.0,462.0,532.0,2.0,1313.0,116.0,363.0,433.0,0.0,912.0,2225.0,80.4
20,Elizabeth 04,Cobb,3011.0,165.0,209.0,169.0,0.0,543.0,124.0,307.0,372.0,0.0,803.0,1346.0,44.7
21,Elizabeth 05,Cobb,2884.0,347.0,473.0,400.0,0.0,1220.0,137.0,358.0,538.0,1.0,1034.0,2254.0,78.2
22,Fullers Park 01,Cobb,3452.0,365.0,663.0,618.0,0.0,1646.0,131.0,382.0,642.0,0.0,1155.0,2801.0,81.1
23,Garrison Mill 01,Cobb,2872.0,341.0,587.0,390.0,1.0,1319.0,132.0,371.0,488.0,0.0,991.0,2310.0,80.4
16,Davis 01,Cobb,2093.0,332.0,354.0,262.0,0.0,948.0,129.0,273.0,334.0,0.0,736.0,1684.0,80.5
1,SS03,Fulton,1577.0,80.0,346.0,128.0,3.0,557.0,38.0,396.0,210.0,1.0,645.0,1202.0,76.2
2,SS04,Fulton,3763.0,150.0,571.0,251.0,7.0,979.0,129.0,991.0,525.0,5.0,1650.0,2629.0,69.9
3,SS05,Fulton,1853.0,108.0,498.0,207.0,0.0,813.0,26.0,420.0,290.0,0.0,736.0,1549.0,83.6
7,SS18B,Fulton,241.0,14.0,60.0,23.0,1.0,98.0,2.0,49.0,41.0,0.0,92.0,190.0,78.8
5,SS16,Fulton,2116.0,99.0,617.0,290.0,4.0,1010.0,24.0,363.0,324.0,2.0,713.0,1723.0,81.4
6,SS18A,Fulton,657.0,42.0,171.0,74.0,0.0,287.0,9.0,136.0,105.0,0.0,250.0,537.0,81.7
8,SS29A,Fulton,2842.0,137.0,465.0,225.0,5.0,832.0,81.0,722.0,377.0,2.0,1182.0,2014.0,70.9
4,SS09A,Fulton,3193.0,180.0,857.0,464.0,0.0,1501.0,48.0,534.0,468.0,0.0,1050.0,2551.0,79.9
0,SS02B,Fulton,1318.0,33.0,161.0,63.0,4.0,261.0,45.0,395.0,178.0,2.0,620.0,881.0,66.8
