,Precinct,County,Registered Voters,Khadijah Abdur-Rahman (Dem)_Election Day Votes,Khadijah Abdur-Rahman (Dem)_Advanced Voting Votes,Khadijah Abdur-Rahman (Dem)_Absentee by Mail Votes,Khadijah Abdur-Rahman (Dem)_Provisional Votes,Khadijah Abdur-Rahman (Dem)_Choice Total,Total,Johnny Hardin (I) (Rep)_Election Day Votes,Johnny Hardin (I) (Rep)_Advanced Voting Votes,Johnny Hardin (I) (Rep)_Absentee by Mail Votes,Johnny Hardin (I) (Rep)_Provisional Votes,Johnny Hardin (I) (Rep)_Choice Total,Eddie J. Walden (I) (Dem)_Election Day Votes,Eddie J. Walden (I) (Dem)_Advanced Voting Votes,Eddie J. Walden (I) (Dem)_Absentee by Mail Votes,Eddie J. Walden (I) (Dem)_Provisional Votes,Eddie J. Walden (I) (Dem)_Choice Total,Kirklyn L. Dixon (I) (Rep)_Election Day Votes,Kirklyn L. Dixon (I) (Rep)_Advanced Voting Votes,Kirklyn L. Dixon (I) (Rep)_Absentee by Mail Votes,Kirklyn L. Dixon (I) (Rep)_Provisional Votes,Kirklyn L. Dixon (I) (Rep)_Choice Total,Lidia Garrett (Dem)_Election Day Votes,Lidia Garrett (Dem)_Advanced Voting Votes,Lidia Garrett (Dem)_Absentee by Mail Votes,Lidia Garrett (Dem)_Provisional Votes,Lidia Garrett (Dem)_Choice Total,Allison Powell Willis (Rep)_Election Day Votes,Allison Powell Willis (Rep)_Advanced Voting Votes,Allison Powell Willis (Rep)_Absentee by Mail Votes,Allison Powell Willis (Rep)_Provisional Votes,Allison Powell Willis (Rep)_Choice Total,Michael McBride (I) (Dem)_Election Day Votes,Michael McBride (I) (Dem)_Advanced Voting Votes,Michael McBride (I) (Dem)_Absentee by Mail Votes,Michael McBride (I) (Dem)_Provisional Votes,Michael McBride (I) (Dem)_Choice Total,William C. Dyal (Rep)_Election Day Votes,William C. Dyal (Rep)_Advanced Voting Votes,William C. Dyal (Rep)_Absentee by Mail Votes,William C. Dyal (Rep)_Provisional Votes,William C. Dyal (Rep)_Choice Total,"Aaron """"Adot"""" Whitely (Dem)_Election Day Votes","Aaron """"Adot"""" Whitely (Dem)_Advanced Voting Votes","Aaron """"Adot"""" Whitely (Dem)_Absentee by Mail Votes","Aaron """"Adot"""" Whitely (Dem)_Provisional Votes","Aaron """"Adot"""" Whitely (Dem)_Choice Total",Wiley E. Grady (I) (Rep)_Election Day Votes,Wiley E. Grady (I) (Rep)_Advanced Voting Votes,Wiley E. Grady (I) (Rep)_Absentee by Mail Votes,Wiley E. Grady (I) (Rep)_Provisional Votes,Wiley E. Grady (I) (Rep)_Choice Total,"Edward """"Ted"""" Terry (Dem)_Election Day Votes","Edward """"Ted"""" Terry (Dem)_Advanced Voting Votes","Edward """"Ted"""" Terry (Dem)_Absentee by Mail Votes","Edward """"Ted"""" Terry (Dem)_Provisional Votes","Edward """"Ted"""" Terry (Dem)_Choice Total",Michael Wayne Kubeck (Rep)_Election Day Votes,Michael Wayne Kubeck (Rep)_Advanced Voting Votes,Michael Wayne Kubeck (Rep)_Absentee by Mail Votes,Michael Wayne Kubeck (Rep)_Provisional Votes,Michael Wayne Kubeck (Rep)_Choice Total,Irene Y. Burney (I) (Dem)_Election Day Votes,Irene Y. Burney (I) (Dem)_Advanced Voting Votes,Irene Y. Burney (I) (Dem)_Absentee by Mail Votes,Irene Y. Burney (I) (Dem)_Provisional Votes,Irene Y. Burney (I) (Dem)_Choice Total,calc_participation
135,Clifton,DeKalb,1731.0,,,,,,974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,525.0,322.0,4.0,974.0,,,,,,,,,,,56.3
136,Coan Recreation Center,DeKalb,4230.0,,,,,,2694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,1589.0,896.0,3.0,2694.0,,,,,,,,,,,63.7
137,Cross Keys High,DeKalb,2260.0,,,,,,1276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,620.0,493.0,3.0,1276.0,,,,,,,,,,,56.5
138,Candler,DeKalb,3537.0,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,91.0,74.0,1.0,175.0,,,,,,,,,,,4.9
139,Cedar Grove Middle,DeKalb,1896.0,,,,,,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,505.0,264.0,2.0,906.0,,,,,,,,,,,47.8
140,Cedar Grove South,DeKalb,3962.0,,,,,,2591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,1577.0,737.0,6.0,2591.0,,,,,,,,,,,65.4
141,Covington Hwy,DeKalb,995.0,,,,,,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,100.0,58.0,2.0,214.0,,,,,,,,,,,21.5
142,Covington,DeKalb,2376.0,,,,,,1189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,690.0,362.0,5.0,1189.0,,,,,,,,,,,50.0
143,Clairemont East,DeKalb,3226.0,,,,,,2383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,1142.0,1128.0,4.0,2383.0,,,,,,,,,,,73.9
144,Coralwood,DeKalb,3153.0,,,,,,2125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,1036.0,931.0,2.0,2125.0,,,,,,,,,,,67.4
145,Candler Park,DeKalb,4018.0,,,,,,3074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1714.0,1239.0,1.0,3074.0,,,,,,,,,,,76.5
146,Clarkston Community Center,DeKalb,2495.0,,,,,,1182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,597.0,363.0,7.0,1182.0,,,,,,,,,,,47.4
147,Chamblee 2,DeKalb,3137.0,,,,,,1953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,1169.0,618.0,0.0,1953.0,,,,,,,,,,,62.3
148,Doraville North,DeKalb,3065.0,,,,,,413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,217.0,94.0,0.0,413.0,,,,,,,,,,,13.5
149,Dresden Elem,DeKalb,5141.0,,,,,,2207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.0,1170.0,719.0,5.0,2207.0,,,,,,,,,,,42.9
150,Decatur,DeKalb,1937.0,,,,,,1457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,888.0,483.0,0.0,1457.0,,,,,,,,,,,75.2
151,Dunaire Elem,DeKalb,2268.0,,,,,,1248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,633.0,421.0,4.0,1248.0,,,,,,,,,,,55.0
152,Dunwoody,DeKalb,3003.0,,,,,,1715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,976.0,563.0,7.0,1715.0,,,,,,,,,,,57.1
133,Clairmont Road,DeKalb,3223.0,,,,,,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,900.0,914.0,5.0,2007.0,,,,,,,,,,,62.3
132,Clairemont West,DeKalb,3264.0,,,,,,2385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,1187.0,1054.0,3.0,2385.0,,,,,,,,,,,73.1
129,Cedar Grove Elem,DeKalb,4097.0,,,,,,2560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0,1488.0,762.0,7.0,2560.0,,,,,,,,,,,62.5
130,Chamblee,DeKalb,2231.0,,,,,,1315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,753.0,404.0,2.0,1315.0,,,,,,,,,,,58.9
212,Winters Chapel,DeKalb,1434.0,,,,,,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,432.0,317.0,2.0,855.0,,,,,,,,,,,59.6
211,Woodward,DeKalb,3193.0,,,,,,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,993.0,798.0,2.0,1965.0,,,,,,,,,,,61.5
210,Winnona Park,DeKalb,2020.0,,,,,,1496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,874.0,570.0,2.0,1496.0,,,,,,,,,,,74.1
209,Valley Brook,DeKalb,1037.0,,,,,,669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,304.0,239.0,6.0,669.0,,,,,,,,,,,64.5
208,Tilly Mill Road,DeKalb,1552.0,,,,,,898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,493.0,289.0,0.0,898.0,,,,,,,,,,,57.9
207,Terry Mill,DeKalb,2808.0,,,,,,1785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,958.0,600.0,4.0,1785.0,,,,,,,,,,,63.6
116,Ashford Park Elem,DeKalb,2432.0,,,,,,1383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,748.0,449.0,1.0,1383.0,,,,,,,,,,,56.9
117,Austin,DeKalb,2538.0,,,,,,1486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,772.0,517.0,1.0,1486.0,,,,,,,,,,,58.6
118,Avondale,DeKalb,2906.0,,,,,,2032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0,975.0,758.0,1.0,2032.0,,,,,,,,,,,69.9
131,Chesnut Elem,DeKalb,2363.0,,,,,,1410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,812.0,376.0,2.0,1410.0,,,,,,,,,,,59.7
119,Ashford Dunwoody Rd,DeKalb,2966.0,,,,,,1822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,1064.0,591.0,3.0,1822.0,,,,,,,,,,,61.4
121,Avondale High,DeKalb,3151.0,,,,,,2180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,1143.0,904.0,4.0,2180.0,,,,,,,,,,,69.2
122,Boulevard,DeKalb,4675.0,,,,,,3299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,1859.0,1179.0,3.0,3299.0,,,,,,,,,,,70.6
123,Briar Vista Elem,DeKalb,2965.0,,,,,,1876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,857.0,821.0,1.0,1876.0,,,,,,,,,,,63.3
124,Briarwood,DeKalb,2428.0,,,,,,1428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,794.0,464.0,1.0,1428.0,,,,,,,,,,,58.8
125,Briarcliff,DeKalb,3122.0,,,,,,1724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,778.0,781.0,6.0,1724.0,,,,,,,,,,,55.2
126,Brookhaven,DeKalb,3444.0,,,,,,2109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,1197.0,645.0,2.0,2109.0,,,,,,,,,,,61.2
127,Bouldercrest Road,DeKalb,2004.0,,,,,,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,768.0,353.0,2.0,1280.0,,,,,,,,,,,63.9
128,Burgess Elem,DeKalb,3493.0,,,,,,2407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,1347.0,856.0,7.0,2407.0,,,,,,,,,,,68.9
153,Dunwoody 2,DeKalb,2044.0,,,,,,1164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,682.0,374.0,3.0,1164.0,,,,,,,,,,,56.9
120,Ashford Parkside,DeKalb,3664.0,,,,,,2074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,1053.0,810.0,6.0,2074.0,,,,,,,,,,,56.6
205,Skyland,DeKalb,2100.0,,,,,,1240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,679.0,379.0,6.0,1240.0,,,,,,,,,,,59.0
154,Druid Hills High,DeKalb,2725.0,,,,,,1430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,656.0,638.0,2.0,1430.0,,,,,,,,,,,52.5
156,East Lake,DeKalb,4139.0,,,,,,2690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,1541.0,907.0,6.0,2690.0,,,,,,,,,,,65.0
183,Medlock,DeKalb,2208.0,,,,,,1508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,698.0,667.0,2.0,1508.0,,,,,,,,,,,68.3
184,Montclair Elem,DeKalb,2194.0,,,,,,1121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,655.0,240.0,7.0,1121.0,,,,,,,,,,,51.1
185,Meadowview,DeKalb,3511.0,,,,,,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,992.0,759.0,11.0,1990.0,,,,,,,,,,,56.7
186,Memorial South,DeKalb,3138.0,,,,,,1365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,724.0,373.0,16.0,1365.0,,,,,,,,,,,43.5
187,McNair Academy,DeKalb,1900.0,,,,,,1192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,616.0,437.0,3.0,1192.0,,,,,,,,,,,62.7
188,Mount Vernon East,DeKalb,2651.0,,,,,,1521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,879.0,470.0,2.0,1521.0,,,,,,,,,,,57.4
189,Mount Vernon West,DeKalb,2303.0,,,,,,1378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,850.0,415.0,8.0,1378.0,,,,,,,,,,,59.8
190,Metropolitan,DeKalb,3405.0,,,,,,2285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,1357.0,740.0,7.0,2285.0,,,,,,,,,,,67.1
191,Montgomery Elem,DeKalb,2446.0,,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,812.0,522.0,5.0,1500.0,,,,,,,,,,,61.3
192,North Decatur,DeKalb,2166.0,,,,,,1270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,630.0,509.0,12.0,1270.0,,,,,,,,,,,58.6
193,Northlake,DeKalb,1509.0,,,,,,978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,453.0,400.0,1.0,978.0,,,,,,,,,,,64.8
194,North Peachtree,DeKalb,1916.0,,,,,,989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,524.0,304.0,5.0,989.0,,,,,,,,,,,51.6
195,Oak Grove Elem,DeKalb,2253.0,,,,,,1439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,690.0,583.0,0.0,1439.0,,,,,,,,,,,63.9
196,Oakhurst,DeKalb,2398.0,,,,,,1860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,1048.0,700.0,2.0,1860.0,,,,,,,,,,,77.6
197,Oak View Elem,DeKalb,5011.0,,,,,,2838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.0,1727.0,744.0,10.0,2838.0,,,,,,,,,,,56.6
198,Peachtree Middle,DeKalb,3502.0,,,,,,2033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,1189.0,598.0,2.0,2033.0,,,,,,,,,,,58.1
199,Ponce de Leon,DeKalb,3766.0,,,,,,1839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,898.0,813.0,11.0,1839.0,,,,,,,,,,,48.8
200,Piney Grove,DeKalb,2018.0,,,,,,1026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,522.0,336.0,5.0,1026.0,,,,,,,,,,,50.8
201,Sagamore Hills Elem,DeKalb,2925.0,,,,,,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,923.0,832.0,0.0,1946.0,,,,,,,,,,,66.5
202,Scott,DeKalb,2805.0,,,,,,1816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,821.0,876.0,1.0,1816.0,,,,,,,,,,,64.7
203,Shaw-Robert Shaw Elem,DeKalb,2892.0,,,,,,1674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,849.0,572.0,3.0,1674.0,,,,,,,,,,,57.9
182,McLendon,DeKalb,3607.0,,,,,,2093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,1040.0,856.0,9.0,2093.0,,,,,,,,,,,58.0
181,McNair,DeKalb,2794.0,,,,,,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,168.0,102.0,1.0,311.0,,,,,,,,,,,11.1
180,McNair High,DeKalb,4160.0,,,,,,2628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,1409.0,943.0,5.0,2628.0,,,,,,,,,,,63.2
179,Lin-Mary Lin Elem,DeKalb,3009.0,,,,,,2136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,1095.0,895.0,8.0,2136.0,,,,,,,,,,,71.0
157,Emory South,DeKalb,3241.0,,,,,,2125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,1042.0,888.0,6.0,2125.0,,,,,,,,,,,65.6
206,Shamrock,DeKalb,1600.0,,,,,,1078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,466.0,471.0,4.0,1078.0,,,,,,,,,,,67.4
159,Fernbank Elem,DeKalb,2125.0,,,,,,1522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,693.0,706.0,1.0,1522.0,,,,,,,,,,,71.6
160,Flat Shoals Elem,DeKalb,2409.0,,,,,,1241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,632.0,406.0,4.0,1241.0,,,,,,,,,,,51.5
161,Flat Shoals,DeKalb,2649.0,,,,,,1298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,650.0,454.0,5.0,1298.0,,,,,,,,,,,49.0
162,Glennwood,DeKalb,2715.0,,,,,,1767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,875.0,802.0,5.0,1767.0,,,,,,,,,,,65.1
163,Gresham Road,DeKalb,3601.0,,,,,,2169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,1160.0,776.0,16.0,2169.0,,,,,,,,,,,60.2
164,Georgetown Sq,DeKalb,4155.0,,,,,,2275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0,1367.0,638.0,7.0,2275.0,,,,,,,,,,,54.8
