,Precinct,County,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,calc_participation
2233,Pearson City,Atkinson,944.0,2.0,3.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,5.0,29.0,58.0,8.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,9.0,1.0,2.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,10.0,13.0,33.0,9.0,0.0,55.0,7.0,8.0,1.0,0.0,16.0,4.0,8.0,1.0,0.0,13.0,7.0,15.0,4.0,0.0,26.0,2.0,9.0,0.0,0.0,11.0,24.0,61.0,15.0,0.0,100.0,3.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,27.0,104.0,26.0,0.0,157.0,2.0,2.0,0.0,0.0,4.0,526.0,55.7
2232,Willacoochee,Atkinson,1311.0,1.0,0.0,2.0,0.0,3.0,3.0,2.0,2.0,0.0,7.0,93.0,143.0,13.0,0.0,249.0,1.0,1.0,0.0,0.0,2.0,6.0,7.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,10.0,17.0,30.0,4.0,0.0,51.0,4.0,11.0,0.0,0.0,15.0,4.0,4.0,0.0,0.0,8.0,6.0,9.0,1.0,0.0,16.0,9.0,7.0,6.0,0.0,22.0,95.0,116.0,27.0,0.0,238.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,10.0,9.0,1.0,0.0,20.0,60.0,77.0,19.0,0.0,156.0,3.0,5.0,1.0,0.0,9.0,828.0,63.2
2231,Axson,Atkinson,742.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,94.0,132.0,17.0,1.0,244.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,5.0,3.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,7.0,75.0,82.0,9.0,0.0,166.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,9.0,0.0,0.0,14.0,9.0,10.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,1.0,496.0,66.8
2123,Douglas,Bacon,6720.0,4.0,4.0,0.0,0.0,8.0,5.0,8.0,0.0,0.0,13.0,157.0,1292.0,196.0,1.0,1646.0,5.0,3.0,2.0,0.0,10.0,11.0,64.0,18.0,0.0,93.0,4.0,2.0,3.0,0.0,9.0,5.0,38.0,3.0,0.0,46.0,28.0,49.0,28.0,0.0,105.0,9.0,16.0,14.0,0.0,39.0,18.0,64.0,4.0,0.0,86.0,12.0,17.0,5.0,1.0,35.0,10.0,26.0,13.0,0.0,49.0,142.0,1173.0,232.0,0.0,1547.0,3.0,9.0,0.0,0.0,12.0,4.0,8.0,0.0,0.0,12.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,7.0,65.0,370.0,27.0,0.0,462.0,57.0,148.0,110.0,0.0,315.0,5.0,7.0,3.0,0.0,15.0,4512.0,67.1
1225,Newton,Baker,1070.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,32.0,128.0,23.0,0.0,183.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,7.0,17.0,7.0,0.0,31.0,1.0,4.0,2.0,0.0,7.0,2.0,5.0,1.0,0.0,8.0,3.0,7.0,6.0,0.0,16.0,0.0,2.0,1.0,0.0,3.0,29.0,119.0,38.0,0.0,186.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,35.0,115.0,82.0,0.0,232.0,1.0,1.0,2.0,0.0,4.0,691.0,64.6
1224,Milford,Baker,270.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,29.0,8.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,0.0,13.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,31.0,20.0,11.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,11.0,15.0,0.0,46.0,1.0,0.0,0.0,0.0,1.0,199.0,73.7
1223,Hoggards Mill,Baker,351.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,14.0,21.0,9.0,0.0,44.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,11.0,5.0,7.0,0.0,23.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,3.0,25.0,24.0,3.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,16.0,29.0,24.0,0.0,69.0,0.0,1.0,0.0,0.0,1.0,218.0,62.1
1222,Elmodel,Baker,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,34.0,9.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0,11.0,0.0,20.0,0.0,4.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,6.0,0.0,7.0,1.0,0.0,8.0,24.0,23.0,13.0,1.0,61.0,1.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,17.0,39.0,38.0,0.0,94.0,2.0,3.0,1.0,0.0,6.0,285.0,71.1
1221,Anna,Baker,166.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,2.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,42.0,8.0,2.0,0.0,52.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,7.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,121.0,72.9
948,City Hall Annex,Baldwin,957.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,12.0,30.0,13.0,0.0,55.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,13.0,33.0,12.0,0.0,58.0,6.0,5.0,1.0,0.0,12.0,0.0,3.0,1.0,0.0,4.0,4.0,10.0,3.0,0.0,17.0,5.0,13.0,5.0,0.0,23.0,22.0,39.0,26.0,0.0,87.0,2.0,5.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,31.0,74.0,84.0,1.0,190.0,0.0,1.0,2.0,0.0,3.0,477.0,49.8
949,Boddie,Baldwin,1381.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,3.0,18.0,35.0,12.0,0.0,65.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,7.0,29.0,40.0,13.0,0.0,82.0,7.0,10.0,8.0,0.0,25.0,1.0,4.0,0.0,0.0,5.0,11.0,15.0,4.0,0.0,30.0,2.0,10.0,1.0,0.0,13.0,11.0,37.0,10.0,0.0,58.0,1.0,5.0,0.0,0.0,6.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,81.0,145.0,127.0,0.0,353.0,1.0,3.0,3.0,0.0,7.0,676.0,49.0
