,Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
513,Waleska,Cherokee,2875.0,552.0,761.0,392.0,0.0,1705.0,74.0,162.0,240.0,0.0,476.0,19.0,26.0,9.0,0.0,54.0,2235.0,77.7
514,Wildcat,Cherokee,3215.0,489.0,1000.0,235.0,0.0,1724.0,115.0,277.0,178.0,0.0,570.0,29.0,36.0,20.0,0.0,85.0,2379.0,74.0
515,Woodlands,Cherokee,3456.0,594.0,657.0,310.0,0.0,1561.0,268.0,372.0,368.0,0.0,1008.0,40.0,27.0,20.0,0.0,87.0,2656.0,76.9
516,Woodstock,Cherokee,7345.0,604.0,1722.0,683.0,1.0,3010.0,296.0,984.0,673.0,2.0,1955.0,61.0,71.0,36.0,0.0,168.0,5133.0,69.9
508,Teasley,Cherokee,7981.0,1042.0,2542.0,689.0,0.0,4273.0,281.0,751.0,534.0,1.0,1567.0,72.0,89.0,43.0,0.0,204.0,6044.0,75.7
507,Sutallee,Cherokee,2540.0,678.0,741.0,245.0,0.0,1664.0,101.0,125.0,92.0,1.0,319.0,16.0,16.0,16.0,0.0,48.0,2031.0,80.0
485,Carmel,Cherokee,4581.0,491.0,849.0,372.0,0.0,1712.0,270.0,510.0,455.0,2.0,1237.0,42.0,26.0,34.0,1.0,103.0,3052.0,66.6
487,Conns Creek,Cherokee,895.0,263.0,285.0,60.0,0.0,608.0,18.0,19.0,24.0,0.0,61.0,7.0,2.0,0.0,0.0,9.0,678.0,75.8
505,Salacoa,Cherokee,727.0,264.0,118.0,57.0,0.0,439.0,24.0,15.0,26.0,0.0,65.0,7.0,4.0,3.0,0.0,14.0,518.0,71.3
503,R T Jones,Cherokee,2525.0,181.0,661.0,175.0,1.0,1018.0,91.0,243.0,158.0,0.0,492.0,14.0,20.0,12.0,0.0,46.0,1556.0,61.6
502,R M Moore,Cherokee,3468.0,654.0,1188.0,371.0,0.0,2213.0,68.0,115.0,124.0,0.0,307.0,26.0,30.0,11.0,0.0,67.0,2587.0,74.6
