,Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
108,03H,Fulton,1091.0,9.0,7.0,2.0,0.0,18.0,81.0,212.0,91.0,1.0,385.0,5.0,9.0,1.0,0.0,15.0,418.0,38.3
107,03G,Fulton,1033.0,5.0,4.0,2.0,0.0,11.0,76.0,146.0,41.0,4.0,267.0,6.0,3.0,2.0,0.0,11.0,289.0,28.0
106,03F,Fulton,2328.0,45.0,161.0,47.0,1.0,254.0,109.0,754.0,342.0,3.0,1208.0,7.0,23.0,6.0,0.0,36.0,1498.0,64.3
105,03E,Fulton,2894.0,20.0,24.0,5.0,5.0,54.0,289.0,477.0,205.0,36.0,1007.0,8.0,13.0,6.0,3.0,30.0,1091.0,37.7
104,03D,Fulton,1235.0,11.0,8.0,9.0,1.0,29.0,77.0,215.0,99.0,20.0,411.0,7.0,6.0,4.0,1.0,18.0,458.0,37.1
103,03C,Fulton,1879.0,10.0,7.0,10.0,0.0,27.0,145.0,337.0,216.0,6.0,704.0,5.0,14.0,4.0,1.0,24.0,755.0,40.2
102,03B,Fulton,777.0,5.0,7.0,5.0,0.0,17.0,52.0,92.0,51.0,0.0,195.0,5.0,6.0,6.0,0.0,17.0,229.0,29.5
101,03A,Fulton,2230.0,10.0,18.0,9.0,1.0,38.0,137.0,381.0,216.0,21.0,755.0,8.0,8.0,1.0,0.0,17.0,810.0,36.3
100,02W,Fulton,978.0,21.0,58.0,22.0,0.0,101.0,46.0,374.0,118.0,0.0,538.0,3.0,7.0,6.0,0.0,16.0,655.0,67.0
99,02S,Fulton,790.0,12.0,16.0,13.0,0.0,41.0,37.0,284.0,122.0,0.0,443.0,5.0,2.0,4.0,0.0,11.0,495.0,62.7
98,02L2,Fulton,2249.0,45.0,164.0,58.0,2.0,269.0,102.0,793.0,343.0,4.0,1242.0,4.0,13.0,4.0,0.0,21.0,1532.0,68.1
97,02L1A,Fulton,1477.0,27.0,84.0,16.0,2.0,129.0,69.0,542.0,87.0,6.0,704.0,3.0,7.0,1.0,0.0,11.0,844.0,57.1
96,02L1,Fulton,5546.0,101.0,416.0,223.0,6.0,746.0,166.0,1933.0,1200.0,9.0,3308.0,8.0,40.0,32.0,0.0,80.0,4134.0,74.5
95,02K,Fulton,1461.0,29.0,92.0,24.0,0.0,145.0,35.0,569.0,283.0,0.0,887.0,5.0,21.0,6.0,0.0,32.0,1064.0,72.8
94,02J,Fulton,2273.0,33.0,103.0,61.0,2.0,199.0,87.0,868.0,414.0,10.0,1379.0,7.0,21.0,9.0,0.0,37.0,1615.0,71.1
92,02F2,Fulton,851.0,17.0,38.0,14.0,3.0,72.0,39.0,246.0,134.0,2.0,421.0,3.0,5.0,1.0,0.0,9.0,502.0,59.0
447,UC01B,Fulton,428.0,1.0,6.0,0.0,2.0,9.0,45.0,138.0,29.0,3.0,215.0,1.0,4.0,1.0,0.0,6.0,230.0,53.7
210,11C,Fulton,3149.0,11.0,26.0,9.0,0.0,46.0,155.0,1333.0,569.0,13.0,2070.0,6.0,24.0,3.0,0.0,33.0,2149.0,68.2
445,SS31,Fulton,1703.0,51.0,343.0,140.0,0.0,534.0,46.0,421.0,261.0,0.0,728.0,3.0,15.0,9.0,0.0,27.0,1289.0,75.7
393,SC17C,Fulton,1293.0,9.0,23.0,10.0,0.0,42.0,62.0,482.0,181.0,0.0,725.0,6.0,7.0,3.0,0.0,16.0,783.0,60.6
159,07D,Fulton,4879.0,198.0,874.0,242.0,12.0,1326.0,173.0,1170.0,517.0,17.0,1877.0,11.0,28.0,7.0,0.0,46.0,3249.0,66.6
158,07C,Fulton,4512.0,166.0,700.0,513.0,10.0,1389.0,135.0,874.0,757.0,5.0,1771.0,8.0,16.0,13.0,0.0,37.0,3197.0,70.9
157,07B,Fulton,2952.0,187.0,964.0,345.0,1.0,1497.0,44.0,491.0,406.0,0.0,941.0,6.0,17.0,14.0,0.0,37.0,2475.0,83.8
156,07A,Fulton,7691.0,347.0,1377.0,494.0,8.0,2226.0,298.0,1706.0,1053.0,13.0,3070.0,16.0,55.0,28.0,0.0,99.0,5395.0,70.1
155,06R,Fulton,2015.0,40.0,188.0,86.0,2.0,316.0,47.0,611.0,358.0,1.0,1017.0,5.0,14.0,7.0,1.0,27.0,1360.0,67.5
394,SC18A,Fulton,570.0,3.0,10.0,2.0,0.0,15.0,39.0,213.0,111.0,0.0,363.0,1.0,6.0,3.0,0.0,10.0,388.0,68.1
395,SC18B,Fulton,915.0,2.0,13.0,8.0,0.0,23.0,41.0,452.0,152.0,0.0,645.0,0.0,8.0,2.0,0.0,10.0,678.0,74.1
396,SC18C,Fulton,2100.0,6.0,38.0,16.0,0.0,60.0,75.0,1000.0,420.0,0.0,1495.0,3.0,10.0,1.0,0.0,14.0,1569.0,74.7
397,SC19A,Fulton,213.0,3.0,1.0,4.0,0.0,8.0,3.0,88.0,41.0,1.0,133.0,0.0,0.0,1.0,0.0,1.0,142.0,66.7
398,SC19B,Fulton,1628.0,5.0,14.0,14.0,0.0,33.0,135.0,421.0,209.0,8.0,773.0,5.0,13.0,4.0,1.0,23.0,829.0,50.9
399,SC20,Fulton,2562.0,5.0,36.0,8.0,4.0,53.0,107.0,1464.0,359.0,27.0,1957.0,3.0,18.0,1.0,0.0,22.0,2032.0,79.3
400,SC211,Fulton,1828.0,7.0,30.0,21.0,0.0,58.0,98.0,818.0,280.0,0.0,1196.0,4.0,13.0,9.0,0.0,26.0,1280.0,70.0
401,SC212,Fulton,4244.0,20.0,80.0,49.0,1.0,150.0,253.0,1686.0,578.0,12.0,2529.0,4.0,35.0,5.0,0.0,44.0,2723.0,64.2
402,SC23A,Fulton,3854.0,20.0,31.0,22.0,0.0,73.0,322.0,1111.0,610.0,11.0,2054.0,14.0,22.0,13.0,0.0,49.0,2176.0,56.5
403,SC23B,Fulton,557.0,4.0,5.0,13.0,0.0,22.0,49.0,163.0,101.0,2.0,315.0,3.0,5.0,2.0,0.0,10.0,347.0,62.3
404,SC23C,Fulton,2606.0,16.0,26.0,7.0,0.0,49.0,198.0,868.0,390.0,2.0,1458.0,7.0,10.0,5.0,0.0,22.0,1529.0,58.7
405,SC27,Fulton,2361.0,8.0,24.0,14.0,0.0,46.0,151.0,719.0,456.0,0.0,1326.0,5.0,14.0,6.0,0.0,25.0,1397.0,59.2
406,SC29A,Fulton,3154.0,13.0,44.0,14.0,0.0,71.0,270.0,935.0,520.0,9.0,1734.0,7.0,23.0,10.0,1.0,41.0,1846.0,58.5
407,SC30A,Fulton,157.0,1.0,2.0,0.0,2.0,5.0,4.0,44.0,59.0,5.0,112.0,0.0,0.0,0.0,1.0,1.0,118.0,75.2
408,SC30B,Fulton,1110.0,3.0,11.0,6.0,0.0,20.0,57.0,356.0,143.0,0.0,556.0,2.0,11.0,7.0,0.0,20.0,596.0,53.7
409,SS01,Fulton,4846.0,255.0,1386.0,570.0,2.0,2213.0,52.0,847.0,696.0,4.0,1599.0,6.0,34.0,28.0,0.0,68.0,3880.0,80.1
446,UC01A,Fulton,4234.0,23.0,55.0,14.0,0.0,92.0,311.0,1178.0,322.0,13.0,1824.0,9.0,34.0,8.0,0.0,51.0,1967.0,46.5
411,SS02B,Fulton,1318.0,31.0,145.0,57.0,3.0,236.0,44.0,416.0,195.0,3.0,658.0,5.0,17.0,4.0,0.0,26.0,920.0,69.8
412,SS03,Fulton,1577.0,75.0,336.0,109.0,3.0,523.0,42.0,412.0,230.0,1.0,685.0,4.0,9.0,5.0,0.0,18.0,1226.0,77.7
160,07E,Fulton,2247.0,54.0,338.0,166.0,3.0,561.0,43.0,586.0,478.0,3.0,1110.0,7.0,20.0,9.0,1.0,37.0,1708.0,76.0
413,SS04,Fulton,3763.0,137.0,544.0,230.0,9.0,920.0,136.0,1029.0,532.0,13.0,1710.0,18.0,31.0,17.0,0.0,66.0,2696.0,71.6
161,07F,Fulton,3790.0,171.0,739.0,274.0,25.0,1209.0,105.0,962.0,528.0,9.0,1604.0,13.0,21.0,16.0,0.0,50.0,2863.0,75.5
163,07J,Fulton,3041.0,126.0,505.0,196.0,5.0,832.0,105.0,835.0,457.0,5.0,1402.0,7.0,25.0,9.0,2.0,43.0,2277.0,74.9
185,09E,Fulton,3261.0,35.0,71.0,20.0,2.0,128.0,245.0,921.0,305.0,3.0,1474.0,9.0,21.0,7.0,0.0,37.0,1639.0,50.3
184,09D,Fulton,2299.0,11.0,18.0,12.0,0.0,41.0,218.0,428.0,277.0,10.0,933.0,7.0,10.0,9.0,0.0,26.0,1000.0,43.5
183,09C,Fulton,3353.0,18.0,28.0,14.0,1.0,61.0,250.0,857.0,441.0,26.0,1574.0,12.0,15.0,13.0,0.0,40.0,1675.0,50.0
182,09B,Fulton,464.0,2.0,2.0,2.0,0.0,6.0,27.0,80.0,65.0,0.0,172.0,1.0,2.0,0.0,0.0,3.0,181.0,39.0
181,09A,Fulton,3856.0,82.0,464.0,119.0,3.0,668.0,143.0,1334.0,533.0,5.0,2015.0,12.0,31.0,25.0,1.0,69.0,2752.0,71.4
180,08P,Fulton,1887.0,39.0,115.0,54.0,4.0,212.0,105.0,577.0,207.0,6.0,895.0,7.0,23.0,4.0,1.0,35.0,1142.0,60.5
179,08N2,Fulton,1616.0,48.0,303.0,161.0,1.0,513.0,43.0,377.0,246.0,1.0,667.0,4.0,8.0,10.0,0.0,22.0,1202.0,74.4
178,08N1,Fulton,824.0,29.0,270.0,103.0,1.0,403.0,9.0,150.0,101.0,2.0,262.0,1.0,4.0,1.0,0.0,6.0,671.0,81.4
177,08M,Fulton,2295.0,144.0,712.0,226.0,5.0,1087.0,54.0,408.0,223.0,3.0,688.0,5.0,10.0,5.0,0.0,20.0,1795.0,78.2
176,08L,Fulton,4505.0,159.0,692.0,207.0,6.0,1064.0,133.0,1243.0,739.0,17.0,2132.0,17.0,37.0,24.0,0.0,78.0,3274.0,72.7
175,08K,Fulton,1049.0,70.0,176.0,63.0,0.0,309.0,29.0,301.0,178.0,0.0,508.0,3.0,14.0,5.0,0.0,22.0,839.0,80.0
174,08J,Fulton,3344.0,152.0,823.0,228.0,4.0,1207.0,80.0,916.0,388.0,5.0,1389.0,12.0,23.0,12.0,0.0,47.0,2643.0,79.0
173,08H,Fulton,2556.0,104.0,763.0,306.0,3.0,1176.0,33.0,474.0,394.0,0.0,901.0,4.0,16.0,4.0,0.0,24.0,2101.0,82.2
172,08G,Fulton,3086.0,112.0,463.0,232.0,0.0,807.0,103.0,586.0,470.0,5.0,1164.0,3.0,22.0,20.0,0.0,45.0,2016.0,65.3
171,08F1,Fulton,2187.0,121.0,803.0,256.0,3.0,1183.0,24.0,390.0,249.0,1.0,664.0,3.0,17.0,2.0,0.0,22.0,1869.0,85.5
170,08E,Fulton,2568.0,120.0,831.0,295.0,3.0,1249.0,36.0,475.0,392.0,0.0,903.0,0.0,14.0,8.0,0.0,22.0,2174.0,84.7
390,SC16A,Fulton,5175.0,17.0,52.0,22.0,0.0,91.0,286.0,2433.0,854.0,0.0,3573.0,3.0,22.0,7.0,0.0,32.0,3696.0,71.4
391,SC17A,Fulton,60.0,0.0,1.0,1.0,0.0,2.0,1.0,29.0,9.0,0.0,39.0,0.0,2.0,1.0,0.0,3.0,44.0,73.3
392,SC17B,Fulton,10.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0
169,08D,Fulton,1073.0,39.0,403.0,124.0,12.0,578.0,6.0,162.0,122.0,6.0,296.0,2.0,6.0,5.0,0.0,13.0,887.0,82.7
168,08C,Fulton,1500.0,65.0,561.0,169.0,0.0,795.0,20.0,216.0,164.0,0.0,400.0,1.0,5.0,6.0,0.0,12.0,1207.0,80.5
167,08B,Fulton,3498.0,164.0,1042.0,313.0,1.0,1520.0,52.0,756.0,400.0,0.0,1208.0,11.0,27.0,12.0,0.0,50.0,2778.0,79.4
166,08A,Fulton,3084.0,170.0,730.0,271.0,5.0,1176.0,92.0,735.0,352.0,5.0,1184.0,4.0,25.0,11.0,0.0,40.0,2400.0,77.8
165,07N,Fulton,2139.0,40.0,128.0,50.0,2.0,220.0,111.0,594.0,335.0,7.0,1047.0,7.0,17.0,9.0,0.0,33.0,1300.0,60.8
164,07M,Fulton,2401.0,70.0,304.0,96.0,0.0,470.0,107.0,535.0,345.0,0.0,987.0,6.0,17.0,7.0,0.0,30.0,1487.0,61.9
162,07H,Fulton,2060.0,98.0,448.0,152.0,0.0,698.0,46.0,507.0,368.0,0.0,921.0,4.0,18.0,7.0,0.0,29.0,1648.0,80.0
414,SS05,Fulton,1853.0,100.0,470.0,197.0,4.0,771.0,34.0,448.0,306.0,1.0,789.0,2.0,14.0,3.0,0.0,19.0,1579.0,85.2
410,SS02A,Fulton,1206.0,33.0,234.0,100.0,0.0,367.0,28.0,298.0,188.0,5.0,519.0,5.0,11.0,4.0,0.0,20.0,906.0,75.1
437,SS18A,Fulton,657.0,42.0,164.0,64.0,0.0,270.0,9.0,145.0,113.0,0.0,267.0,1.0,4.0,3.0,0.0,8.0,545.0,83.0
425,SS11A,Fulton,4026.0,152.0,596.0,257.0,4.0,1009.0,195.0,1003.0,484.0,9.0,1691.0,12.0,38.0,19.0,0.0,69.0,2769.0,68.8
426,SS11B,Fulton,1412.0,34.0,162.0,42.0,0.0,238.0,89.0,361.0,187.0,1.0,638.0,1.0,8.0,6.0,0.0,15.0,891.0,63.1
428,SS11D,Fulton,397.0,22.0,98.0,38.0,0.0,158.0,6.0,89.0,62.0,0.0,157.0,0.0,4.0,3.0,0.0,7.0,322.0,81.1
429,SS12,Fulton,2897.0,128.0,615.0,318.0,5.0,1066.0,63.0,652.0,426.0,5.0,1146.0,10.0,22.0,5.0,0.0,37.0,2249.0,77.6
430,SS13A,Fulton,2103.0,87.0,469.0,149.0,3.0,708.0,81.0,454.0,246.0,3.0,784.0,4.0,20.0,5.0,0.0,29.0,1521.0,72.3
431,SS13B,Fulton,1278.0,42.0,289.0,63.0,0.0,394.0,52.0,328.0,128.0,1.0,509.0,4.0,11.0,5.0,0.0,20.0,923.0,72.2
432,SS14,Fulton,1412.0,87.0,505.0,162.0,1.0,755.0,11.0,237.0,156.0,0.0,404.0,3.0,5.0,5.0,0.0,13.0,1172.0,83.0
433,SS15A,Fulton,2756.0,65.0,134.0,34.0,1.0,234.0,207.0,770.0,256.0,4.0,1237.0,9.0,21.0,10.0,1.0,41.0,1512.0,54.9
424,SS09B,Fulton,3611.0,124.0,1012.0,411.0,4.0,1551.0,54.0,751.0,560.0,1.0,1366.0,2.0,25.0,8.0,0.0,35.0,2952.0,81.8
434,SS15B,Fulton,1730.0,83.0,199.0,68.0,1.0,351.0,120.0,433.0,172.0,1.0,726.0,14.0,21.0,6.0,0.0,41.0,1118.0,64.6
436,SS17,Fulton,3686.0,207.0,791.0,330.0,5.0,1333.0,136.0,752.0,457.0,8.0,1353.0,7.0,26.0,8.0,1.0,42.0,2728.0,74.0
444,SS29A,Fulton,2842.0,129.0,452.0,204.0,5.0,790.0,89.0,739.0,392.0,1.0,1221.0,9.0,27.0,7.0,0.0,43.0,2054.0,72.3
443,SS26,Fulton,3824.0,47.0,236.0,82.0,5.0,370.0,210.0,1163.0,336.0,11.0,1720.0,23.0,62.0,17.0,2.0,104.0,2194.0,57.4
442,SS22,Fulton,2834.0,101.0,390.0,213.0,0.0,704.0,118.0,526.0,374.0,4.0,1022.0,8.0,18.0,14.0,0.0,40.0,1766.0,62.3
441,SS20,Fulton,2404.0,59.0,300.0,108.0,4.0,471.0,125.0,576.0,311.0,8.0,1020.0,11.0,10.0,8.0,0.0,29.0,1520.0,63.2
440,SS19B,Fulton,2342.0,52.0,285.0,105.0,31.0,473.0,88.0,716.0,285.0,72.0,1161.0,5.0,24.0,8.0,6.0,43.0,1677.0,71.6
439,SS19A,Fulton,3299.0,60.0,333.0,104.0,7.0,504.0,137.0,965.0,361.0,7.0,1470.0,17.0,39.0,18.0,0.0,74.0,2048.0,62.1
438,SS18B,Fulton,241.0,14.0,64.0,22.0,1.0,101.0,2.0,50.0,39.0,1.0,92.0,0.0,0.0,2.0,0.0,2.0,195.0,80.9
435,SS16,Fulton,2116.0,94.0,597.0,250.0,5.0,946.0,28.0,391.0,358.0,2.0,779.0,7.0,10.0,7.0,0.0,24.0,1749.0,82.7
423,SS09A,Fulton,3193.0,170.0,831.0,420.0,0.0,1421.0,55.0,566.0,509.0,0.0,1130.0,11.0,18.0,12.0,0.0,41.0,2592.0,81.2
427,SS11C,Fulton,361.0,5.0,22.0,4.0,0.0,31.0,27.0,106.0,26.0,1.0,160.0,2.0,3.0,2.0,0.0,7.0,198.0,54.8
421,SS08C,Fulton,716.0,24.0,92.0,35.0,0.0,151.0,17.0,198.0,125.0,0.0,340.0,0.0,8.0,4.0,0.0,12.0,503.0,70.3
415,SS06,Fulton,1667.0,57.0,429.0,181.0,27.0,694.0,29.0,381.0,253.0,33.0,696.0,6.0,11.0,7.0,3.0,27.0,1417.0,85.0
416,SS07A,Fulton,1254.0,35.0,291.0,195.0,0.0,521.0,17.0,270.0,176.0,0.0,463.0,1.0,5.0,4.0,0.0,10.0,994.0,79.3
422,SS08D,Fulton,1555.0,47.0,208.0,79.0,0.0,334.0,54.0,409.0,215.0,0.0,678.0,6.0,12.0,6.0,0.0,24.0,1036.0,66.6
418,SS07C,Fulton,809.0,18.0,140.0,85.0,6.0,249.0,14.0,111.0,134.0,11.0,270.0,3.0,4.0,6.0,0.0,13.0,532.0,65.8
211,11E1,Fulton,1340.0,13.0,19.0,6.0,3.0,41.0,110.0,382.0,161.0,17.0,670.0,5.0,6.0,3.0,0.0,14.0,725.0,54.1
417,SS07B,Fulton,793.0,23.0,123.0,62.0,0.0,208.0,33.0,201.0,110.0,1.0,345.0,1.0,7.0,3.0,0.0,11.0,564.0,71.1
152,06L2,Fulton,726.0,33.0,115.0,44.0,0.0,192.0,16.0,230.0,128.0,1.0,375.0,2.0,2.0,5.0,0.0,9.0,576.0,79.3
419,SS08A,Fulton,1891.0,85.0,226.0,66.0,8.0,385.0,100.0,577.0,208.0,7.0,892.0,3.0,14.0,8.0,1.0,26.0,1303.0,68.9
420,SS08B,Fulton,696.0,18.0,168.0,78.0,0.0,264.0,14.0,150.0,115.0,0.0,279.0,1.0,10.0,5.0,0.0,16.0,559.0,80.3
153,06N,Fulton,1770.0,60.0,266.0,113.0,4.0,443.0,58.0,411.0,245.0,8.0,722.0,4.0,9.0,9.0,0.0,22.0,1187.0,67.1
28,Ellijay South,Gilmer,3172.0,360.0,1074.0,288.0,2.0,1724.0,55.0,199.0,221.0,0.0,475.0,8.0,20.0,16.0,0.0,44.0,2243.0,70.7
29,Cartecay,Gilmer,1598.0,400.0,467.0,173.0,2.0,1042.0,19.0,59.0,75.0,0.0,153.0,10.0,10.0,5.0,0.0,25.0,1220.0,76.3
30,Tails Creek,Gilmer,1782.0,432.0,443.0,125.0,0.0,1000.0,46.0,66.0,45.0,0.0,157.0,19.0,13.0,6.0,0.0,38.0,1195.0,67.1
40,Ellijay Northeast,Gilmer,1851.0,245.0,666.0,182.0,0.0,1093.0,12.0,121.0,116.0,0.0,249.0,5.0,13.0,8.0,0.0,26.0,1368.0,73.9
39,Big Creek,Gilmer,1479.0,360.0,389.0,148.0,0.0,897.0,28.0,63.0,98.0,0.0,189.0,12.0,12.0,9.0,0.0,33.0,1119.0,75.7
38,Yukon,Gilmer,1288.0,354.0,341.0,104.0,0.0,799.0,24.0,44.0,57.0,0.0,125.0,8.0,7.0,5.0,0.0,20.0,944.0,73.3
35,Mountaintown,Gilmer,1139.0,258.0,337.0,105.0,1.0,701.0,31.0,64.0,41.0,0.0,136.0,6.0,7.0,8.0,0.0,21.0,858.0,75.3
36,East Ellijay,Gilmer,1655.0,235.0,596.0,194.0,0.0,1025.0,32.0,101.0,60.0,0.0,193.0,7.0,11.0,2.0,0.0,20.0,1238.0,74.8
34,Boardtown,Gilmer,1391.0,288.0,480.0,164.0,3.0,935.0,33.0,66.0,99.0,0.0,198.0,10.0,6.0,10.0,1.0,27.0,1160.0,83.4
31,Town Creek,Gilmer,1234.0,291.0,326.0,86.0,0.0,703.0,41.0,27.0,49.0,0.0,117.0,12.0,6.0,6.0,0.0,24.0,844.0,68.4
32,Leaches,Gilmer,2939.0,515.0,892.0,293.0,2.0,1702.0,52.0,176.0,144.0,1.0,373.0,25.0,20.0,11.0,0.0,56.0,2131.0,72.5
33,Cherry Log,Gilmer,926.0,246.0,209.0,104.0,0.0,559.0,39.0,62.0,55.0,0.0,156.0,11.0,3.0,1.0,0.0,15.0,730.0,78.8
37,Ellijay North,Gilmer,1810.0,287.0,567.0,171.0,1.0,1026.0,23.0,103.0,68.0,0.0,194.0,7.0,23.0,7.0,0.0,37.0,1257.0,69.4
1945,Mitchell,Glascock,448.0,98.0,136.0,58.0,0.0,292.0,15.0,16.0,16.0,0.0,47.0,2.0,4.0,1.0,0.0,7.0,346.0,77.2
1944,Mill,Glascock,778.0,144.0,331.0,67.0,0.0,542.0,9.0,18.0,15.0,0.0,42.0,3.0,3.0,0.0,0.0,6.0,590.0,75.8
1943,Gibson,Glascock,677.0,103.0,263.0,59.0,0.0,425.0,18.0,16.0,16.0,0.0,50.0,2.0,9.0,0.0,0.0,11.0,486.0,71.8
1942,Edgehill,Glascock,136.0,51.0,45.0,11.0,0.0,107.0,0.0,9.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,118.0,86.8
456,Brookman,Glynn,3460.0,394.0,1085.0,204.0,2.0,1685.0,83.0,344.0,206.0,1.0,634.0,13.0,35.0,5.0,0.0,53.0,2372.0,68.6
455,Sterling Elementary,Glynn,4578.0,401.0,1486.0,361.0,2.0,2250.0,97.0,353.0,256.0,1.0,707.0,20.0,23.0,8.0,0.0,51.0,3008.0,65.7
457,Satilla Marshes,Glynn,2824.0,311.0,909.0,208.0,0.0,1428.0,78.0,293.0,209.0,0.0,580.0,20.0,19.0,8.0,0.0,47.0,2055.0,72.8
470,The Chapel,Glynn,2971.0,139.0,407.0,141.0,1.0,688.0,113.0,461.0,316.0,0.0,890.0,8.0,26.0,12.0,1.0,47.0,1625.0,54.7
459,Christian Renewal,Glynn,3699.0,263.0,1424.0,436.0,3.0,2126.0,68.0,465.0,338.0,1.0,872.0,13.0,29.0,8.0,0.0,50.0,3048.0,82.4
474,Selden Park,Glynn,1439.0,45.0,116.0,27.0,1.0,189.0,80.0,195.0,159.0,3.0,437.0,7.0,12.0,3.0,0.0,22.0,648.0,45.0
473,Urbana-Perry Parks,Glynn,3638.0,59.0,89.0,50.0,0.0,198.0,287.0,696.0,473.0,3.0,1459.0,15.0,31.0,20.0,0.0,66.0,1723.0,47.4
458,Blythe Island Baptist,Glynn,2529.0,255.0,956.0,214.0,2.0,1427.0,53.0,168.0,90.0,0.0,311.0,17.0,20.0,14.0,0.0,51.0,1789.0,70.7
471,College Place UMC,Glynn,2367.0,95.0,332.0,116.0,0.0,543.0,135.0,397.0,285.0,2.0,819.0,9.0,22.0,10.0,0.0,41.0,1403.0,59.3
469,Northside Baptist,Glynn,3313.0,173.0,440.0,162.0,0.0,775.0,198.0,582.0,368.0,1.0,1149.0,20.0,18.0,21.0,0.0,59.0,1983.0,59.9
468,Ballard,Glynn,3286.0,191.0,806.0,262.0,4.0,1263.0,127.0,352.0,194.0,1.0,674.0,9.0,25.0,12.0,0.0,46.0,1983.0,60.3
467,C B Greer School,Glynn,3288.0,312.0,967.0,245.0,3.0,1527.0,72.0,338.0,270.0,1.0,681.0,17.0,23.0,13.0,0.0,53.0,2261.0,68.8
472,Howard Coffin Park,Glynn,3320.0,149.0,354.0,123.0,1.0,627.0,173.0,561.0,374.0,2.0,1110.0,18.0,29.0,15.0,0.0,62.0,1799.0,54.2
465,SE Baptist Bldg,Glynn,2109.0,207.0,558.0,125.0,1.0,891.0,75.0,192.0,102.0,1.0,370.0,7.0,19.0,8.0,0.0,34.0,1295.0,61.4
464,Sterling Church of God,Glynn,3925.0,371.0,1079.0,218.0,3.0,1671.0,119.0,442.0,242.0,1.0,804.0,21.0,30.0,18.0,0.0,69.0,2544.0,64.8
463,Jekyll Island,Glynn,774.0,196.0,79.0,66.0,2.0,343.0,73.0,61.0,128.0,0.0,262.0,8.0,4.0,0.0,0.0,12.0,617.0,79.7
462,First Baptist,Glynn,4316.0,272.0,1626.0,449.0,0.0,2347.0,85.0,543.0,378.0,2.0,1008.0,17.0,44.0,3.0,0.0,64.0,3419.0,79.2
461,St William Catholic Church,Glynn,4333.0,280.0,1758.0,416.0,1.0,2455.0,52.0,576.0,387.0,1.0,1016.0,6.0,29.0,17.0,0.0,52.0,3523.0,81.3
460,Hampton River,Glynn,2823.0,213.0,1180.0,337.0,2.0,1732.0,32.0,295.0,287.0,0.0,614.0,4.0,14.0,6.0,0.0,24.0,2370.0,84.0
466,Career Academy,Glynn,2960.0,294.0,846.0,253.0,2.0,1395.0,84.0,275.0,182.0,0.0,541.0,17.0,36.0,14.0,0.0,67.0,2003.0,67.7
1731,Gordon County,Gordon,6423.0,816.0,1877.0,459.0,1.0,3153.0,161.0,363.0,214.0,0.0,738.0,22.0,45.0,17.0,1.0,85.0,3976.0,61.9
1732,Calhoun City,Gordon,9532.0,920.0,2600.0,651.0,1.0,4172.0,337.0,779.0,497.0,0.0,1613.0,52.0,76.0,26.0,1.0,155.0,5940.0,62.3
1733,Lily Pond,Gordon,1914.0,353.0,578.0,140.0,0.0,1071.0,43.0,72.0,79.0,0.0,194.0,12.0,19.0,9.0,0.0,40.0,1305.0,68.2
1734,Fairmount,Gordon,1991.0,668.0,346.0,158.0,2.0,1174.0,53.0,37.0,51.0,0.0,141.0,21.0,13.0,11.0,0.0,45.0,1360.0,68.3
1735,Red Bud,Gordon,2965.0,637.0,881.0,155.0,1.0,1674.0,81.0,147.0,92.0,0.0,320.0,14.0,23.0,7.0,0.0,44.0,2038.0,68.7
1727,Sonoraville,Gordon,5380.0,1118.0,1691.0,375.0,2.0,3186.0,129.0,204.0,146.0,0.0,479.0,39.0,29.0,14.0,0.0,82.0,3747.0,69.6
1728,Pine Chapel,Gordon,1071.0,318.0,257.0,57.0,0.0,632.0,20.0,26.0,34.0,0.0,80.0,7.0,4.0,3.0,0.0,14.0,726.0,67.8
1726,Plainville,Gordon,2044.0,519.0,454.0,125.0,3.0,1101.0,62.0,64.0,67.0,0.0,193.0,12.0,8.0,4.0,0.0,24.0,1318.0,64.5
1725,Sugar Valley,Gordon,1471.0,427.0,356.0,92.0,1.0,876.0,29.0,40.0,37.0,0.0,106.0,14.0,5.0,1.0,0.0,20.0,1002.0,68.1
1729,Oostanaula,Gordon,667.0,213.0,113.0,67.0,0.0,393.0,27.0,30.0,30.0,0.0,87.0,7.0,2.0,2.0,0.0,11.0,491.0,73.6
1736,Resaca,Gordon,1532.0,392.0,316.0,108.0,2.0,818.0,40.0,48.0,36.0,0.0,124.0,10.0,17.0,0.0,0.0,27.0,969.0,63.3
