,Precinct,County,Registered Voters,Karen Handel (Rep)_Election Day Votes,Karen Handel (Rep)_Advanced Voting Votes,Karen Handel (Rep)_Absentee by Mail Votes,Karen Handel (Rep)_Provisional Votes,Karen Handel (Rep)_Choice Total,Lucy McBath (I) (Dem)_Election Day Votes,Lucy McBath (I) (Dem)_Advanced Voting Votes,Lucy McBath (I) (Dem)_Absentee by Mail Votes,Lucy McBath (I) (Dem)_Provisional Votes,Lucy McBath (I) (Dem)_Choice Total,Total,calc_participation
161,Dodgen 01,Cobb,2100.0,241.0,368.0,353.0,2.0,964.0,106.0,273.0,415.0,1.0,795.0,1759.0,83.8
160,Dickerson 01,Cobb,2828.0,257.0,549.0,434.0,2.0,1242.0,103.0,365.0,662.0,1.0,1131.0,2373.0,83.9
159,Chestnut Ridge 01,Cobb,3162.0,324.0,606.0,572.0,0.0,1502.0,133.0,384.0,667.0,0.0,1184.0,2686.0,84.9
158,Chattahoochee 01,Cobb,5969.0,123.0,207.0,88.0,0.0,418.0,275.0,835.0,483.0,0.0,1593.0,2011.0,33.7
157,Blackwell 01,Cobb,2698.0,210.0,439.0,264.0,2.0,915.0,200.0,377.0,543.0,1.0,1121.0,2036.0,75.5
156,Bells Ferry 04,Cobb,3646.0,460.0,612.0,366.0,1.0,1439.0,218.0,479.0,527.0,3.0,1227.0,2666.0,73.1
155,Bells Ferry 03,Cobb,2436.0,272.0,324.0,181.0,0.0,777.0,195.0,316.0,370.0,0.0,881.0,1658.0,68.1
154,Bells Ferry 02,Cobb,3127.0,311.0,505.0,334.0,0.0,1150.0,174.0,431.0,514.0,0.0,1119.0,2269.0,72.6
153,Addison 01,Cobb,2444.0,235.0,361.0,346.0,0.0,942.0,139.0,340.0,515.0,2.0,996.0,1938.0,79.3
163,Eastside 01,Cobb,3040.0,326.0,547.0,520.0,2.0,1395.0,115.0,352.0,685.0,2.0,1154.0,2549.0,83.8
176,Mabry 01,Cobb,1656.0,237.0,360.0,258.0,3.0,858.0,69.0,200.0,264.0,2.0,535.0,1393.0,84.1
202,Timber Ridge 01,Cobb,2448.0,269.0,452.0,375.0,0.0,1096.0,85.0,304.0,571.0,1.0,961.0,2057.0,84.0
178,McCleskey 01,Cobb,1736.0,247.0,337.0,226.0,0.0,810.0,83.0,213.0,328.0,1.0,625.0,1435.0,82.7
177,Murdock 01,Cobb,4059.0,437.0,661.0,676.0,0.0,1774.0,168.0,519.0,883.0,0.0,1570.0,3344.0,82.4
201,Sope Creek 03,Cobb,2886.0,331.0,515.0,422.0,0.0,1268.0,128.0,385.0,517.0,0.0,1030.0,2298.0,79.6
199,Sope Creek 01,Cobb,2163.0,280.0,372.0,372.0,0.0,1024.0,99.0,243.0,466.0,0.0,808.0,1832.0,84.7
198,Sewell Mill 03,Cobb,4759.0,366.0,446.0,444.0,3.0,1259.0,342.0,767.0,759.0,0.0,1868.0,3127.0,65.7
197,Sewell Mill 01,Cobb,3493.0,337.0,560.0,474.0,0.0,1371.0,175.0,510.0,770.0,0.0,1455.0,2826.0,80.9
196,Simpson 01,Cobb,1868.0,174.0,364.0,227.0,1.0,766.0,77.0,306.0,349.0,0.0,732.0,1498.0,80.2
195,Shallowford Falls 01,Cobb,3387.0,397.0,627.0,531.0,0.0,1555.0,139.0,428.0,710.0,0.0,1277.0,2832.0,83.6
194,Sandy Plains 01,Cobb,2933.0,313.0,451.0,367.0,0.0,1131.0,160.0,454.0,596.0,1.0,1211.0,2342.0,79.8
193,Roswell 02,Cobb,3701.0,384.0,649.0,606.0,3.0,1642.0,153.0,423.0,885.0,0.0,1461.0,3103.0,83.8
192,Roswell 01,Cobb,5374.0,485.0,1028.0,926.0,0.0,2439.0,188.0,625.0,1299.0,1.0,2113.0,4552.0,84.7
191,Rocky Mount 01,Cobb,3390.0,470.0,623.0,384.0,1.0,1478.0,158.0,408.0,642.0,2.0,1210.0,2688.0,79.3
200,Sope Creek 02,Cobb,4729.0,355.0,754.0,626.0,1.0,1736.0,218.0,731.0,958.0,2.0,1909.0,3645.0,77.1
189,Pope 01,Cobb,3153.0,253.0,645.0,475.0,0.0,1373.0,134.0,407.0,635.0,0.0,1176.0,2549.0,80.8
179,Marietta 5A,Cobb,3324.0,30.0,35.0,16.0,0.0,81.0,116.0,220.0,119.0,1.0,456.0,537.0,16.2
190,Palmer 01,Cobb,2760.0,165.0,258.0,185.0,0.0,608.0,100.0,158.0,181.0,0.0,439.0,1047.0,37.9
181,Marietta 6B,Cobb,2910.0,242.0,420.0,317.0,0.0,979.0,167.0,519.0,630.0,0.0,1316.0,2295.0,78.9
182,Marietta 7A,Cobb,3745.0,33.0,60.0,51.0,0.0,144.0,45.0,111.0,101.0,0.0,257.0,401.0,10.7
183,Mt Bethel 01,Cobb,4125.0,402.0,751.0,714.0,4.0,1871.0,120.0,471.0,971.0,2.0,1564.0,3435.0,83.3
180,Marietta 6A,Cobb,2647.0,54.0,77.0,45.0,1.0,177.0,80.0,168.0,132.0,0.0,380.0,557.0,21.0
185,Mt Bethel 04,Cobb,2981.0,254.0,562.0,536.0,0.0,1352.0,92.0,322.0,662.0,0.0,1076.0,2428.0,81.4
186,Nicholson 01,Cobb,2455.0,291.0,393.0,286.0,1.0,971.0,137.0,324.0,399.0,0.0,860.0,1831.0,74.6
187,Powers Ferry 01,Cobb,3504.0,14.0,19.0,11.0,0.0,44.0,11.0,25.0,31.0,0.0,67.0,111.0,3.2
188,Post Oak 01,Cobb,3660.0,378.0,783.0,553.0,3.0,1717.0,140.0,472.0,645.0,1.0,1258.0,2975.0,81.3
184,Mt Bethel 03,Cobb,3294.0,211.0,664.0,462.0,0.0,1337.0,102.0,465.0,752.0,0.0,1319.0,2656.0,80.6
128,Evansdale Elem,DeKalb,3441.0,146.0,418.0,232.0,1.0,797.0,174.0,856.0,672.0,3.0,1705.0,2502.0,72.7
121,Doraville North,DeKalb,3065.0,133.0,192.0,122.0,3.0,450.0,253.0,709.0,419.0,4.0,1385.0,1835.0,59.9
127,Embry Hills,DeKalb,1721.0,65.0,249.0,133.0,0.0,447.0,73.0,437.0,404.0,0.0,914.0,1361.0,79.1
126,Dunwoody Library,DeKalb,2570.0,106.0,767.0,280.0,2.0,1155.0,37.0,605.0,414.0,1.0,1057.0,2212.0,86.1
125,Dunwoody 2,DeKalb,2044.0,132.0,490.0,225.0,3.0,850.0,39.0,519.0,329.0,2.0,889.0,1739.0,85.1
124,Dunwoody,DeKalb,3003.0,110.0,442.0,195.0,1.0,748.0,120.0,792.0,545.0,7.0,1464.0,2212.0,73.7
123,Dresden Elem,DeKalb,5141.0,191.0,460.0,228.0,3.0,882.0,304.0,1217.0,903.0,3.0,2427.0,3309.0,64.4
122,Doraville South,DeKalb,1255.0,69.0,105.0,58.0,1.0,233.0,93.0,291.0,201.0,2.0,587.0,820.0,65.3
120,Chamblee 2,DeKalb,3137.0,135.0,540.0,219.0,0.0,894.0,99.0,923.0,571.0,0.0,1593.0,2487.0,79.3
115,Briarwood,DeKalb,2428.0,125.0,403.0,135.0,1.0,664.0,103.0,589.0,418.0,1.0,1111.0,1775.0,73.1
118,Chesnut Elem,DeKalb,2363.0,105.0,237.0,77.0,2.0,421.0,181.0,710.0,363.0,0.0,1254.0,1675.0,70.9
117,Chamblee,DeKalb,2231.0,106.0,310.0,88.0,1.0,505.0,119.0,610.0,387.0,2.0,1118.0,1623.0,72.7
116,Brookhaven,DeKalb,3444.0,248.0,705.0,237.0,1.0,1191.0,152.0,845.0,573.0,2.0,1572.0,2763.0,80.2
114,Briarlake Elem,DeKalb,1752.0,136.0,227.0,161.0,0.0,524.0,79.0,462.0,412.0,1.0,954.0,1478.0,84.4
113,Ashford Parkside,DeKalb,3664.0,188.0,619.0,303.0,1.0,1111.0,100.0,809.0,724.0,5.0,1638.0,2749.0,75.0
112,Ashford Dunwoody Rd,DeKalb,2966.0,201.0,636.0,236.0,4.0,1077.0,67.0,794.0,541.0,2.0,1404.0,2481.0,83.6
111,Austin,DeKalb,2538.0,239.0,606.0,323.0,2.0,1170.0,65.0,527.0,438.0,1.0,1031.0,2201.0,86.7
110,Ashford Park Elem,DeKalb,2432.0,205.0,573.0,176.0,0.0,954.0,99.0,523.0,400.0,1.0,1023.0,1977.0,81.3
129,Georgetown Sq,DeKalb,4155.0,155.0,572.0,203.0,5.0,935.0,200.0,1128.0,578.0,4.0,1910.0,2845.0,68.5
119,Cross Keys High,DeKalb,2260.0,103.0,268.0,146.0,1.0,518.0,107.0,502.0,467.0,2.0,1078.0,1596.0,70.6
130,Hawthorne Elem,DeKalb,3884.0,143.0,347.0,161.0,1.0,652.0,228.0,1106.0,673.0,4.0,2011.0,2663.0,68.6
139,Mount Vernon West,DeKalb,2303.0,117.0,546.0,189.0,5.0,857.0,51.0,632.0,362.0,6.0,1051.0,1908.0,82.8
132,Huntley Hills Elem,DeKalb,3508.0,145.0,341.0,124.0,1.0,611.0,260.0,1051.0,509.0,4.0,1824.0,2435.0,69.4
151,Warren Tech,DeKalb,1364.0,78.0,112.0,65.0,0.0,255.0,132.0,317.0,212.0,3.0,664.0,919.0,67.4
150,Tucker,DeKalb,2932.0,63.0,338.0,202.0,0.0,603.0,103.0,842.0,557.0,6.0,1508.0,2111.0,72.0
149,Tilly Mill Road,DeKalb,1552.0,119.0,353.0,151.0,1.0,624.0,63.0,353.0,249.0,0.0,665.0,1289.0,83.1
148,Tucker Library,DeKalb,3506.0,133.0,589.0,276.0,1.0,999.0,87.0,994.0,659.0,2.0,1742.0,2741.0,78.2
131,Henderson Mill,DeKalb,3104.0,115.0,387.0,249.0,1.0,752.0,139.0,824.0,657.0,1.0,1621.0,2373.0,76.4
146,Silver Lake,DeKalb,4979.0,197.0,1031.0,396.0,2.0,1626.0,144.0,1093.0,836.0,4.0,2077.0,3703.0,74.4
145,Pleasantdale Road,DeKalb,4538.0,76.0,205.0,96.0,1.0,378.0,404.0,1095.0,577.0,4.0,2080.0,2458.0,54.2
144,Peachtree Middle,DeKalb,3502.0,108.0,348.0,183.0,2.0,641.0,198.0,1051.0,545.0,4.0,1798.0,2439.0,69.6
143,Oakcliff Elem,DeKalb,2125.0,93.0,156.0,92.0,1.0,342.0,239.0,388.0,269.0,7.0,903.0,1245.0,58.6
147,Skyland,DeKalb,2100.0,148.0,382.0,158.0,3.0,691.0,100.0,522.0,335.0,4.0,961.0,1652.0,78.7
141,Midvale Road,DeKalb,1832.0,48.0,118.0,57.0,0.0,223.0,127.0,601.0,326.0,1.0,1055.0,1278.0,69.8
142,North Peachtree,DeKalb,1916.0,80.0,178.0,89.0,2.0,349.0,120.0,450.0,280.0,4.0,854.0,1203.0,62.8
133,Kingsley Elem,DeKalb,2490.0,201.0,593.0,327.0,4.0,1125.0,80.0,452.0,463.0,5.0,1000.0,2125.0,85.3
134,Kittredge Elem,DeKalb,2161.0,139.0,471.0,193.0,2.0,805.0,65.0,532.0,431.0,2.0,1030.0,1835.0,84.9
135,Lakeside High,DeKalb,3216.0,170.0,422.0,298.0,2.0,892.0,142.0,923.0,649.0,0.0,1714.0,2606.0,81.0
152,Winters Chapel,DeKalb,1434.0,120.0,291.0,144.0,0.0,555.0,62.0,313.0,259.0,2.0,636.0,1191.0,83.1
137,Midvale Elem,DeKalb,2747.0,172.0,520.0,311.0,0.0,1003.0,88.0,648.0,566.0,3.0,1305.0,2308.0,84.0
138,Mount Vernon East,DeKalb,2651.0,199.0,694.0,270.0,1.0,1164.0,85.0,600.0,395.0,3.0,1083.0,2247.0,84.8
140,Montgomery Elem,DeKalb,2446.0,164.0,461.0,227.0,3.0,855.0,93.0,622.0,482.0,3.0,1200.0,2055.0,84.0
136,Livsey Elem,DeKalb,1350.0,71.0,228.0,112.0,0.0,411.0,56.0,375.0,280.0,0.0,711.0,1122.0,83.1
109,SS31,Fulton,1703.0,51.0,331.0,133.0,0.0,515.0,49.0,443.0,285.0,0.0,777.0,1292.0,75.9
108,SS29A,Fulton,2842.0,129.0,433.0,195.0,5.0,762.0,97.0,773.0,418.0,2.0,1290.0,2052.0,72.2
107,SS26,Fulton,3824.0,52.0,256.0,78.0,6.0,392.0,221.0,1189.0,365.0,12.0,1787.0,2179.0,57.0
106,SS22,Fulton,2834.0,100.0,373.0,224.0,0.0,697.0,119.0,543.0,396.0,4.0,1062.0,1759.0,62.1
105,SS20,Fulton,2404.0,60.0,292.0,98.0,4.0,454.0,130.0,588.0,332.0,7.0,1057.0,1511.0,62.9
104,SS19B,Fulton,2342.0,51.0,278.0,105.0,32.0,466.0,93.0,744.0,303.0,68.0,1208.0,1674.0,71.5
103,SS19A,Fulton,3299.0,61.0,329.0,102.0,6.0,498.0,150.0,989.0,385.0,9.0,1533.0,2031.0,61.6
102,SS18B,Fulton,241.0,12.0,60.0,24.0,1.0,97.0,4.0,52.0,41.0,1.0,98.0,195.0,80.9
0,AP01A,Fulton,5236.0,176.0,1281.0,429.0,0.0,1886.0,124.0,1253.0,789.0,4.0,2170.0,4056.0,77.5
99,SS16,Fulton,2116.0,87.0,564.0,250.0,4.0,905.0,38.0,428.0,381.0,2.0,849.0,1754.0,82.9
27,JC04B,Fulton,334.0,8.0,51.0,20.0,0.0,79.0,6.0,92.0,48.0,0.0,146.0,225.0,67.4
28,JC04C,Fulton,1251.0,43.0,273.0,77.0,0.0,393.0,25.0,340.0,211.0,0.0,576.0,969.0,77.5
29,JC05,Fulton,2350.0,95.0,509.0,114.0,1.0,719.0,71.0,642.0,314.0,3.0,1030.0,1749.0,74.4
30,JC06,Fulton,2840.0,156.0,595.0,237.0,4.0,992.0,114.0,527.0,401.0,4.0,1046.0,2038.0,71.8
31,JC07,Fulton,4670.0,141.0,911.0,328.0,17.0,1397.0,107.0,1162.0,828.0,15.0,2112.0,3509.0,75.1
32,JC08,Fulton,2931.0,107.0,716.0,197.0,1.0,1021.0,73.0,748.0,422.0,4.0,1247.0,2268.0,77.4
33,JC09,Fulton,3250.0,128.0,612.0,196.0,4.0,940.0,122.0,835.0,478.0,2.0,1437.0,2377.0,73.1
34,JC10,Fulton,2641.0,108.0,447.0,150.0,8.0,713.0,86.0,708.0,439.0,10.0,1243.0,1956.0,74.1
35,JC11,Fulton,3497.0,173.0,940.0,276.0,0.0,1389.0,111.0,718.0,448.0,0.0,1277.0,2666.0,76.2
36,JC12,Fulton,2832.0,98.0,910.0,358.0,4.0,1370.0,35.0,447.0,380.0,1.0,863.0,2233.0,78.8
37,JC13A,Fulton,2317.0,89.0,774.0,212.0,0.0,1075.0,47.0,423.0,275.0,1.0,746.0,1821.0,78.6
38,JC13B,Fulton,282.0,7.0,113.0,32.0,1.0,153.0,2.0,44.0,28.0,0.0,74.0,227.0,80.5
39,JC14,Fulton,2608.0,82.0,786.0,208.0,1.0,1077.0,54.0,613.0,335.0,2.0,1004.0,2081.0,79.8
40,JC15,Fulton,959.0,30.0,177.0,46.0,0.0,253.0,39.0,275.0,121.0,0.0,435.0,688.0,71.7
41,JC16,Fulton,2707.0,132.0,666.0,171.0,0.0,969.0,66.0,669.0,382.0,1.0,1118.0,2087.0,77.1
42,JC18,Fulton,2857.0,95.0,857.0,240.0,1.0,1193.0,57.0,681.0,377.0,2.0,1117.0,2310.0,80.9
43,JC19,Fulton,4174.0,129.0,993.0,268.0,5.0,1395.0,97.0,1035.0,632.0,7.0,1771.0,3166.0,75.9
44,ML01A,Fulton,2795.0,141.0,922.0,203.0,23.0,1289.0,70.0,646.0,298.0,8.0,1022.0,2311.0,82.7
45,ML01B,Fulton,708.0,40.0,235.0,70.0,0.0,345.0,10.0,126.0,73.0,0.0,209.0,554.0,78.2
46,ML02A,Fulton,2580.0,244.0,938.0,245.0,2.0,1429.0,73.0,322.0,266.0,0.0,661.0,2090.0,81.0
47,ML02B,Fulton,1914.0,136.0,655.0,204.0,1.0,996.0,48.0,310.0,184.0,1.0,543.0,1539.0,80.4
26,JC04A,Fulton,3177.0,90.0,798.0,210.0,10.0,1108.0,48.0,865.0,534.0,8.0,1455.0,2563.0,80.7
25,JC03B,Fulton,1616.0,82.0,288.0,60.0,0.0,430.0,70.0,449.0,273.0,0.0,792.0,1222.0,75.6
24,JC03A,Fulton,594.0,33.0,137.0,27.0,2.0,199.0,16.0,198.0,64.0,3.0,281.0,480.0,80.8
23,JC02,Fulton,3001.0,124.0,509.0,243.0,2.0,878.0,108.0,650.0,526.0,4.0,1288.0,2166.0,72.2
1,AP01B,Fulton,1281.0,50.0,251.0,93.0,4.0,398.0,47.0,284.0,154.0,6.0,491.0,889.0,69.4
2,AP01C,Fulton,2409.0,83.0,666.0,170.0,5.0,924.0,58.0,555.0,332.0,6.0,951.0,1875.0,77.8
3,AP01D,Fulton,1015.0,32.0,185.0,68.0,0.0,285.0,39.0,217.0,139.0,0.0,395.0,680.0,67.0
4,AP021,Fulton,3408.0,162.0,910.0,225.0,0.0,1297.0,108.0,788.0,354.0,3.0,1253.0,2550.0,74.8
5,AP022,Fulton,2507.0,84.0,490.0,184.0,0.0,758.0,101.0,513.0,380.0,0.0,994.0,1752.0,69.9
6,AP02B,Fulton,677.0,26.0,91.0,83.0,5.0,205.0,9.0,130.0,123.0,3.0,265.0,470.0,69.4
7,AP03,Fulton,775.0,26.0,51.0,11.0,1.0,89.0,77.0,188.0,62.0,5.0,332.0,421.0,54.3
8,AP04A,Fulton,1760.0,78.0,481.0,212.0,3.0,774.0,50.0,372.0,234.0,2.0,658.0,1432.0,81.4
9,AP04B,Fulton,473.0,39.0,150.0,25.0,2.0,216.0,8.0,112.0,60.0,4.0,184.0,400.0,84.6
10,AP05,Fulton,4776.0,275.0,1205.0,438.0,2.0,1920.0,96.0,1058.0,679.0,6.0,1839.0,3759.0,78.7
48,ML03,Fulton,3718.0,255.0,1291.0,403.0,4.0,1953.0,83.0,616.0,366.0,3.0,1068.0,3021.0,81.3
11,AP06,Fulton,1967.0,121.0,619.0,156.0,12.0,908.0,35.0,397.0,237.0,0.0,669.0,1577.0,80.2
13,AP07B,Fulton,1882.0,79.0,519.0,165.0,11.0,774.0,61.0,438.0,235.0,9.0,743.0,1517.0,80.6
14,AP09A,Fulton,4437.0,208.0,974.0,332.0,6.0,1520.0,150.0,1094.0,672.0,5.0,1921.0,3441.0,77.6
15,AP09B,Fulton,925.0,36.0,157.0,49.0,0.0,242.0,25.0,255.0,165.0,0.0,445.0,687.0,74.3
16,AP10,Fulton,992.0,47.0,325.0,86.0,21.0,479.0,25.0,184.0,112.0,18.0,339.0,818.0,82.5
17,AP12A,Fulton,746.0,27.0,115.0,34.0,3.0,179.0,41.0,182.0,89.0,12.0,324.0,503.0,67.4
18,AP12B,Fulton,947.0,22.0,98.0,66.0,5.0,191.0,53.0,215.0,125.0,2.0,395.0,586.0,61.9
19,AP12C,Fulton,2367.0,95.0,673.0,190.0,7.0,965.0,64.0,487.0,215.0,9.0,775.0,1740.0,73.5
20,AP14,Fulton,3232.0,97.0,827.0,256.0,5.0,1185.0,74.0,777.0,538.0,2.0,1391.0,2576.0,79.7
21,JC01,Fulton,4128.0,192.0,746.0,298.0,6.0,1242.0,132.0,1098.0,934.0,6.0,2170.0,3412.0,82.7
22,JC01A,Fulton,1738.0,94.0,227.0,36.0,5.0,362.0,90.0,457.0,113.0,2.0,662.0,1024.0,58.9
12,AP07A,Fulton,3910.0,182.0,875.0,294.0,13.0,1364.0,120.0,825.0,501.0,9.0,1455.0,2819.0,72.1
100,SS17,Fulton,3686.0,201.0,765.0,316.0,6.0,1288.0,143.0,782.0,488.0,9.0,1422.0,2710.0,73.5
49,ML03A,Fulton,301.0,15.0,118.0,16.0,2.0,151.0,4.0,49.0,10.0,0.0,63.0,214.0,71.1
51,ML05,Fulton,4843.0,248.0,1176.0,386.0,9.0,1819.0,141.0,1038.0,639.0,5.0,1823.0,3642.0,75.2
78,RW22A,Fulton,4788.0,140.0,740.0,231.0,10.0,1121.0,198.0,1299.0,507.0,7.0,2011.0,3132.0,65.4
79,SS01,Fulton,4846.0,240.0,1341.0,541.0,2.0,2124.0,68.0,897.0,763.0,3.0,1731.0,3855.0,79.6
80,SS02A,Fulton,1206.0,29.0,220.0,95.0,0.0,344.0,37.0,323.0,203.0,5.0,568.0,912.0,75.6
81,SS02B,Fulton,1318.0,32.0,148.0,55.0,3.0,238.0,45.0,418.0,200.0,4.0,667.0,905.0,68.7
82,SS03,Fulton,1577.0,74.0,312.0,103.0,3.0,492.0,45.0,431.0,248.0,1.0,725.0,1217.0,77.2
83,SS04,Fulton,3763.0,138.0,516.0,221.0,9.0,884.0,147.0,1068.0,575.0,12.0,1802.0,2686.0,71.4
84,SS05,Fulton,1853.0,96.0,454.0,176.0,4.0,730.0,36.0,477.0,329.0,1.0,843.0,1573.0,84.9
85,SS06,Fulton,1667.0,55.0,417.0,174.0,26.0,672.0,35.0,396.0,275.0,37.0,743.0,1415.0,84.9
86,SS07A,Fulton,1254.0,35.0,267.0,182.0,0.0,484.0,15.0,294.0,195.0,0.0,504.0,988.0,78.8
87,SS07B,Fulton,793.0,20.0,119.0,61.0,0.0,200.0,34.0,209.0,118.0,1.0,362.0,562.0,70.9
88,SS07C,Fulton,809.0,20.0,135.0,83.0,5.0,243.0,15.0,115.0,148.0,11.0,289.0,532.0,65.8
89,SS08A,Fulton,1891.0,82.0,216.0,68.0,10.0,376.0,103.0,586.0,222.0,7.0,918.0,1294.0,68.4
90,SS08B,Fulton,696.0,17.0,161.0,72.0,0.0,250.0,15.0,164.0,128.0,0.0,307.0,557.0,80.0
91,SS08C,Fulton,716.0,20.0,92.0,38.0,0.0,150.0,19.0,198.0,124.0,0.0,341.0,491.0,68.6
92,SS08D,Fulton,1555.0,48.0,202.0,76.0,0.0,326.0,57.0,424.0,229.0,0.0,710.0,1036.0,66.6
93,SS11A,Fulton,4026.0,146.0,580.0,256.0,1.0,983.0,207.0,1040.0,514.0,11.0,1772.0,2755.0,68.4
94,SS11B,Fulton,1412.0,33.0,160.0,46.0,0.0,239.0,84.0,366.0,196.0,1.0,647.0,886.0,62.7
95,SS11C,Fulton,361.0,6.0,24.0,4.0,0.0,34.0,26.0,105.0,29.0,1.0,161.0,195.0,54.0
96,SS12,Fulton,2897.0,122.0,596.0,301.0,5.0,1024.0,74.0,685.0,452.0,5.0,1216.0,2240.0,77.3
97,SS15A,Fulton,2756.0,65.0,133.0,32.0,1.0,231.0,215.0,784.0,275.0,5.0,1279.0,1510.0,54.8
98,SS15B,Fulton,1730.0,87.0,198.0,66.0,0.0,351.0,127.0,451.0,183.0,2.0,763.0,1114.0,64.4
77,RW21,Fulton,3362.0,90.0,1053.0,298.0,11.0,1452.0,74.0,689.0,395.0,9.0,1167.0,2619.0,77.9
76,RW20,Fulton,2701.0,81.0,769.0,221.0,4.0,1075.0,45.0,684.0,361.0,3.0,1093.0,2168.0,80.3
75,RW19,Fulton,2147.0,120.0,666.0,196.0,1.0,983.0,50.0,436.0,281.0,0.0,767.0,1750.0,81.5
74,RW17,Fulton,3100.0,142.0,497.0,136.0,1.0,776.0,165.0,796.0,396.0,4.0,1361.0,2137.0,68.9
52,ML06A,Fulton,2181.0,96.0,255.0,85.0,2.0,438.0,106.0,597.0,240.0,6.0,949.0,1387.0,63.6
53,ML06B,Fulton,3119.0,128.0,494.0,136.0,3.0,761.0,126.0,835.0,466.0,3.0,1430.0,2191.0,70.2
54,ML07A,Fulton,836.0,119.0,221.0,75.0,0.0,415.0,25.0,129.0,77.0,0.0,231.0,646.0,77.3
55,ML07B,Fulton,1675.0,211.0,482.0,159.0,0.0,852.0,57.0,254.0,154.0,1.0,466.0,1318.0,78.7
56,MP01,Fulton,472.0,118.0,34.0,21.0,4.0,177.0,94.0,37.0,60.0,2.0,193.0,370.0,78.4
57,RW01,Fulton,5010.0,193.0,1468.0,655.0,9.0,2325.0,90.0,985.0,798.0,5.0,1878.0,4203.0,83.9
58,RW02,Fulton,4061.0,234.0,1006.0,365.0,8.0,1613.0,113.0,906.0,653.0,6.0,1678.0,3291.0,81.0
59,RW03,Fulton,5041.0,234.0,846.0,295.0,6.0,1381.0,213.0,1114.0,667.0,7.0,2001.0,3382.0,67.1
60,RW04,Fulton,1861.0,71.0,472.0,150.0,1.0,694.0,34.0,488.0,324.0,0.0,846.0,1540.0,82.8
61,RW05,Fulton,2910.0,101.0,355.0,146.0,4.0,606.0,197.0,669.0,346.0,10.0,1222.0,1828.0,62.8
50,ML04,Fulton,3322.0,196.0,1035.0,325.0,20.0,1576.0,82.0,622.0,362.0,10.0,1076.0,2652.0,79.8
62,RW06,Fulton,3071.0,152.0,652.0,177.0,2.0,983.0,94.0,790.0,413.0,6.0,1303.0,2286.0,74.4
64,RW07B,Fulton,449.0,15.0,35.0,12.0,5.0,67.0,49.0,81.0,59.0,14.0,203.0,270.0,60.1
65,RW08,Fulton,2429.0,135.0,571.0,331.0,5.0,1042.0,74.0,369.0,342.0,4.0,789.0,1831.0,75.4
66,RW09,Fulton,4450.0,282.0,1375.0,645.0,1.0,2303.0,81.0,762.0,752.0,2.0,1597.0,3900.0,87.6
67,RW09A,Fulton,1892.0,127.0,629.0,66.0,6.0,828.0,42.0,346.0,78.0,2.0,468.0,1296.0,68.5
68,RW10,Fulton,3653.0,190.0,1072.0,408.0,7.0,1677.0,58.0,709.0,512.0,3.0,1282.0,2959.0,81.0
