,Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation
1225,Newton,Baker,1070.0,70.0,267.0,69.0,0.0,406.0,50.0,141.0,102.0,0.0,293.0,0.0,2.0,1.0,0.0,3.0,702.0,65.6
1224,Milford,Baker,270.0,64.0,53.0,20.0,0.0,137.0,29.0,17.0,23.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,206.0,76.3
1223,Hoggards Mill,Baker,351.0,45.0,56.0,19.0,0.0,120.0,34.0,37.0,40.0,0.0,111.0,2.0,0.0,1.0,0.0,3.0,234.0,66.7
1222,Elmodel,Baker,401.0,52.0,63.0,25.0,1.0,141.0,24.0,67.0,57.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,289.0,72.1
1221,Anna,Baker,166.0,60.0,27.0,5.0,1.0,93.0,12.0,7.0,12.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,124.0,74.7
948,City Hall Annex,Baldwin,957.0,40.0,72.0,41.0,0.0,153.0,63.0,150.0,117.0,1.0,331.0,3.0,2.0,1.0,0.0,6.0,490.0,51.2
949,Boddie,Baldwin,1381.0,36.0,77.0,21.0,0.0,134.0,131.0,247.0,169.0,0.0,547.0,5.0,1.0,0.0,0.0,6.0,687.0,49.7
950,Courthouse,Baldwin,506.0,29.0,70.0,14.0,0.0,113.0,27.0,75.0,67.0,0.0,169.0,1.0,4.0,1.0,0.0,6.0,288.0,56.9
947,South Milledgeville,Baldwin,1259.0,36.0,108.0,35.0,0.0,179.0,91.0,306.0,186.0,0.0,583.0,6.0,1.0,2.0,0.0,9.0,771.0,61.2
959,West Hardwick,Baldwin,2903.0,68.0,260.0,72.0,0.0,400.0,261.0,660.0,500.0,0.0,1421.0,6.0,11.0,5.0,0.0,22.0,1843.0,63.5
951,Fire Dept,Baldwin,1481.0,41.0,140.0,31.0,0.0,212.0,92.0,365.0,254.0,0.0,711.0,3.0,1.0,6.0,0.0,10.0,933.0,63.0
952,North Milledgeville,Baldwin,2211.0,128.0,519.0,145.0,1.0,793.0,136.0,468.0,255.0,0.0,859.0,6.0,11.0,5.0,0.0,22.0,1674.0,75.7
953,Meriweather,Baldwin,2832.0,257.0,892.0,217.0,0.0,1366.0,114.0,479.0,238.0,0.0,831.0,6.0,17.0,3.0,0.0,26.0,2223.0,78.5
954,East Baldwin,Baldwin,3826.0,292.0,1074.0,215.0,0.0,1581.0,175.0,651.0,333.0,0.0,1159.0,7.0,12.0,9.0,0.0,28.0,2768.0,72.3
955,Scottsboro,Baldwin,1101.0,135.0,238.0,50.0,3.0,426.0,60.0,120.0,95.0,0.0,275.0,1.0,7.0,0.0,0.0,8.0,709.0,64.4
956,North Baldwin,Baldwin,3515.0,311.0,1324.0,256.0,0.0,1891.0,89.0,431.0,290.0,0.0,810.0,5.0,19.0,0.0,0.0,24.0,2725.0,77.5
957,West Baldwin,Baldwin,1862.0,170.0,461.0,100.0,0.0,731.0,108.0,298.0,198.0,0.0,604.0,5.0,12.0,2.0,0.0,19.0,1354.0,72.7
958,East Hardwick,Baldwin,1313.0,46.0,69.0,25.0,0.0,140.0,124.0,213.0,183.0,0.0,520.0,6.0,3.0,3.0,0.0,12.0,672.0,51.2
960,Coopers,Baldwin,1574.0,284.0,432.0,68.0,0.0,784.0,56.0,149.0,115.0,0.0,320.0,3.0,6.0,1.0,0.0,10.0,1114.0,70.8
2160,Columbia,Banks,363.0,65.0,163.0,30.0,0.0,258.0,4.0,9.0,6.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,278.0,76.6
2165,Homer,Banks,1544.0,176.0,666.0,114.0,1.0,957.0,20.0,52.0,36.0,0.0,108.0,2.0,2.0,2.0,0.0,6.0,1071.0,69.4
2164,Hollingsworth,Banks,667.0,86.0,293.0,52.0,1.0,432.0,5.0,19.0,29.0,0.0,53.0,0.0,3.0,0.0,0.0,3.0,488.0,73.2
2163,Grove River,Banks,600.0,90.0,232.0,65.0,0.0,387.0,10.0,14.0,9.0,0.0,33.0,1.0,3.0,0.0,0.0,4.0,424.0,70.7
2162,Golden Hill,Banks,1008.0,126.0,341.0,71.0,0.0,538.0,14.0,32.0,32.0,2.0,80.0,2.0,5.0,0.0,0.0,7.0,625.0,62.0
2156,Anderson,Banks,1533.0,224.0,575.0,102.0,0.0,901.0,8.0,46.0,46.0,0.0,100.0,3.0,9.0,0.0,0.0,12.0,1013.0,66.1
2166,Poplar Springs,Banks,1775.0,224.0,732.0,164.0,1.0,1121.0,20.0,52.0,41.0,0.0,113.0,4.0,8.0,3.0,0.0,15.0,1249.0,70.4
2157,Baldwin,Banks,876.0,87.0,317.0,124.0,0.0,528.0,19.0,42.0,42.0,0.0,103.0,2.0,4.0,0.0,0.0,6.0,637.0,72.7
2158,Berlin,Banks,415.0,45.0,194.0,26.0,1.0,266.0,2.0,19.0,8.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,295.0,71.1
2159,Bushville,Banks,816.0,121.0,300.0,46.0,1.0,468.0,9.0,22.0,11.0,0.0,42.0,0.0,2.0,1.0,0.0,3.0,513.0,62.9
2161,Davids,Banks,1977.0,243.0,732.0,128.0,4.0,1107.0,25.0,85.0,56.0,0.0,166.0,3.0,8.0,0.0,0.0,11.0,1284.0,64.9
2168,Wilmonts,Banks,620.0,76.0,265.0,53.0,0.0,394.0,5.0,16.0,11.0,0.0,32.0,1.0,0.0,2.0,0.0,3.0,429.0,69.2
2167,Washington,Banks,704.0,81.0,306.0,50.0,1.0,438.0,9.0,27.0,17.0,0.0,53.0,2.0,1.0,1.0,0.0,4.0,495.0,70.3
1137,04 Covenant Life Sanctuary,Barrow,4012.0,443.0,1178.0,283.0,0.0,1904.0,111.0,292.0,221.0,0.0,624.0,17.0,29.0,8.0,0.0,54.0,2582.0,64.4
1141,16 The Church at Winder,Barrow,10348.0,966.0,2769.0,658.0,2.0,4395.0,394.0,1261.0,810.0,2.0,2467.0,54.0,67.0,39.0,0.0,160.0,7022.0,67.9
1140,13 Winder Community Center,Barrow,9393.0,675.0,2392.0,597.0,0.0,3664.0,348.0,1065.0,623.0,0.0,2036.0,34.0,56.0,18.0,0.0,108.0,5808.0,61.8
1139,08 First Baptist Church Winder,Barrow,7009.0,725.0,2506.0,553.0,0.0,3784.0,170.0,568.0,376.0,0.0,1114.0,20.0,46.0,20.0,0.0,86.0,4984.0,71.1
1138,05 Fire Station 1 (Statham),Barrow,8336.0,946.0,2635.0,617.0,0.0,4198.0,265.0,843.0,635.0,0.0,1743.0,25.0,30.0,15.0,0.0,70.0,6011.0,72.1
1136,03 Hmong New Hope Alliance Church,Barrow,6364.0,886.0,1717.0,494.0,1.0,3098.0,187.0,416.0,340.0,0.0,943.0,22.0,35.0,17.0,0.0,74.0,4115.0,64.7
1135,02 Bethlehem Church - 211,Barrow,6784.0,753.0,2585.0,695.0,0.0,4033.0,137.0,430.0,398.0,1.0,966.0,33.0,27.0,12.0,0.0,72.0,5071.0,74.7
1134,01 Bethlehem Community Center,Barrow,3359.0,491.0,1000.0,237.0,0.0,1728.0,105.0,275.0,180.0,0.0,560.0,21.0,17.0,2.0,0.0,40.0,2328.0,69.3
2116,Kingston,Bartow,2674.0,638.0,683.0,229.0,0.0,1550.0,97.0,106.0,102.0,0.0,305.0,15.0,9.0,3.0,0.0,27.0,1882.0,70.4
2120,White,Bartow,2723.0,660.0,752.0,235.0,1.0,1648.0,71.0,105.0,99.0,0.0,275.0,14.0,11.0,7.0,0.0,32.0,1955.0,71.8
2121,Zena Drive,Bartow,6431.0,520.0,1444.0,454.0,4.0,2422.0,268.0,617.0,427.0,2.0,1314.0,23.0,24.0,16.0,1.0,64.0,3800.0,59.1
2122,Woodland,Bartow,1865.0,311.0,493.0,156.0,1.0,961.0,46.0,133.0,118.0,0.0,297.0,9.0,7.0,5.0,0.0,21.0,1279.0,68.6
2118,Pine Log,Bartow,2132.0,653.0,513.0,202.0,1.0,1369.0,54.0,69.0,66.0,0.0,189.0,11.0,10.0,4.0,0.0,25.0,1583.0,74.2
2115,Hamilton Crossing,Bartow,6598.0,710.0,2164.0,354.0,0.0,3228.0,174.0,493.0,253.0,1.0,921.0,11.0,23.0,11.0,0.0,45.0,4194.0,63.6
2119,Taylorsville,Bartow,2829.0,794.0,813.0,254.0,0.0,1861.0,60.0,67.0,79.0,0.0,206.0,16.0,6.0,3.0,0.0,25.0,2092.0,73.9
2117,Mission Road,Bartow,4012.0,437.0,1291.0,338.0,4.0,2070.0,107.0,344.0,259.0,1.0,711.0,9.0,11.0,5.0,0.0,25.0,2806.0,69.9
2113,Euharlee,Bartow,5322.0,853.0,1661.0,343.0,2.0,2859.0,162.0,373.0,318.0,0.0,853.0,27.0,28.0,14.0,0.0,69.0,3781.0,71.0
2112,Emerson,Bartow,3122.0,582.0,741.0,258.0,1.0,1582.0,96.0,147.0,171.0,0.0,414.0,18.0,6.0,5.0,0.0,29.0,2025.0,64.9
2111,Center,Bartow,4007.0,680.0,1235.0,395.0,2.0,2312.0,103.0,247.0,218.0,0.0,568.0,20.0,21.0,7.0,0.0,48.0,2928.0,73.1
2110,Cassville,Bartow,4588.0,424.0,1267.0,566.0,2.0,2259.0,133.0,391.0,493.0,2.0,1019.0,17.0,21.0,14.0,1.0,53.0,3331.0,72.6
2109,Cartersville West,Bartow,8129.0,571.0,2722.0,737.0,0.0,4030.0,238.0,882.0,655.0,1.0,1776.0,17.0,29.0,15.0,0.0,61.0,5867.0,72.2
2108,Cartersville East,Bartow,6805.0,539.0,1726.0,544.0,1.0,2810.0,284.0,675.0,568.0,0.0,1527.0,25.0,27.0,13.0,0.0,65.0,4402.0,64.7
2107,Allatoona,Bartow,4729.0,569.0,1158.0,270.0,0.0,1997.0,124.0,297.0,275.0,0.0,696.0,12.0,13.0,6.0,0.0,31.0,2724.0,57.6
2106,Adairsville,Bartow,6995.0,819.0,2476.0,523.0,1.0,3819.0,135.0,429.0,343.0,1.0,908.0,28.0,27.0,18.0,0.0,73.0,4800.0,68.6
2114,Folsom,Bartow,1448.0,419.0,360.0,118.0,0.0,897.0,23.0,48.0,42.0,0.0,113.0,4.0,2.0,2.0,0.0,8.0,1018.0,70.3
1536,West,Ben Hill,5898.0,285.0,2204.0,372.0,0.0,2861.0,176.0,686.0,348.0,0.0,1210.0,13.0,20.0,5.0,0.0,38.0,4109.0,69.7
1535,East,Ben Hill,3956.0,156.0,936.0,156.0,1.0,1249.0,160.0,656.0,366.0,0.0,1182.0,5.0,12.0,3.0,0.0,20.0,2451.0,62.0
702,Alapaha,Berrien,1140.0,287.0,267.0,67.0,1.0,622.0,87.0,76.0,43.0,0.0,206.0,2.0,3.0,0.0,0.0,5.0,833.0,73.1
701,Enigma,Berrien,1111.0,323.0,237.0,71.0,5.0,636.0,38.0,25.0,23.0,0.0,86.0,2.0,2.0,2.0,0.0,6.0,728.0,65.5
700,Nashville,Berrien,6079.0,551.0,2444.0,396.0,2.0,3393.0,118.0,361.0,214.0,1.0,694.0,7.0,16.0,2.0,0.0,25.0,4112.0,67.6
699,Ray City,Berrien,1946.0,337.0,599.0,125.0,1.0,1062.0,72.0,77.0,67.0,0.0,216.0,7.0,3.0,2.0,0.0,12.0,1290.0,66.3
698,West Berrien,Berrien,999.0,337.0,278.0,90.0,1.0,706.0,18.0,29.0,20.0,0.0,67.0,3.0,1.0,3.0,0.0,7.0,780.0,78.1
1154,Godfrey 2,Bibb,2158.0,36.0,43.0,19.0,0.0,98.0,202.0,336.0,256.0,1.0,795.0,3.0,2.0,3.0,0.0,8.0,901.0,41.8
1152,East Macon 5,Bibb,2552.0,116.0,169.0,93.0,1.0,379.0,249.0,569.0,445.0,1.0,1264.0,8.0,5.0,3.0,0.0,16.0,1659.0,65.0
1151,East Macon 4,Bibb,2280.0,36.0,35.0,23.0,1.0,95.0,342.0,497.0,465.0,5.0,1309.0,5.0,2.0,2.0,0.0,9.0,1413.0,62.0
1149,East Macon 2,Bibb,3932.0,40.0,60.0,56.0,1.0,157.0,431.0,984.0,746.0,8.0,2169.0,13.0,11.0,3.0,0.0,27.0,2353.0,59.8
1148,East Macon 1,Bibb,2108.0,15.0,13.0,19.0,0.0,47.0,228.0,369.0,326.0,6.0,929.0,3.0,5.0,3.0,0.0,11.0,987.0,46.8
1153,Godfrey 1,Bibb,6283.0,93.0,165.0,66.0,2.0,326.0,546.0,1436.0,1001.0,4.0,2987.0,10.0,12.0,7.0,0.0,29.0,3342.0,53.2
1150,East Macon 3,Bibb,3494.0,127.0,303.0,140.0,0.0,570.0,296.0,723.0,538.0,6.0,1563.0,6.0,11.0,5.0,1.0,23.0,2156.0,61.7
1166,Howard 5,Bibb,2272.0,175.0,261.0,98.0,1.0,535.0,227.0,474.0,213.0,3.0,917.0,10.0,3.0,1.0,0.0,14.0,1466.0,64.5
1169,Rutland 1,Bibb,5704.0,917.0,1146.0,494.0,2.0,2559.0,276.0,958.0,549.0,1.0,1784.0,9.0,14.0,4.0,1.0,28.0,4371.0,76.6
1156,Godfrey 4,Bibb,2231.0,41.0,69.0,29.0,0.0,139.0,243.0,319.0,262.0,2.0,826.0,1.0,3.0,3.0,0.0,7.0,972.0,43.6
1155,Godfrey 3,Bibb,3292.0,48.0,91.0,36.0,0.0,175.0,373.0,713.0,451.0,6.0,1543.0,3.0,2.0,3.0,0.0,8.0,1726.0,52.4
1168,Howard 7,Bibb,2897.0,371.0,770.0,279.0,1.0,1421.0,132.0,361.0,356.0,2.0,851.0,11.0,12.0,8.0,0.0,31.0,2303.0,79.5
1159,Hazzard 2,Bibb,4173.0,493.0,500.0,218.0,4.0,1215.0,382.0,797.0,423.0,4.0,1606.0,12.0,17.0,5.0,0.0,34.0,2855.0,68.4
1167,Howard 6,Bibb,2213.0,196.0,493.0,183.0,6.0,878.0,128.0,377.0,225.0,6.0,736.0,5.0,7.0,6.0,0.0,18.0,1632.0,73.7
1170,Rutland 2,Bibb,3409.0,692.0,646.0,248.0,4.0,1590.0,179.0,438.0,243.0,3.0,863.0,13.0,10.0,3.0,0.0,26.0,2479.0,72.7
1171,Vineville 1,Bibb,3572.0,179.0,351.0,137.0,3.0,670.0,272.0,701.0,534.0,2.0,1509.0,16.0,14.0,7.0,0.0,37.0,2216.0,62.0
1172,Vineville 2,Bibb,2067.0,103.0,135.0,52.0,1.0,291.0,198.0,380.0,361.0,0.0,939.0,9.0,6.0,6.0,0.0,21.0,1251.0,60.5
1173,Vineville 3,Bibb,3127.0,28.0,75.0,49.0,1.0,153.0,321.0,749.0,526.0,5.0,1601.0,4.0,10.0,5.0,0.0,19.0,1773.0,56.7
1157,Godfrey 5,Bibb,4761.0,85.0,118.0,98.0,0.0,301.0,610.0,1085.0,629.0,4.0,2328.0,13.0,7.0,10.0,0.0,30.0,2659.0,55.8
1174,Vineville 4,Bibb,4097.0,81.0,151.0,49.0,2.0,283.0,509.0,899.0,627.0,7.0,2042.0,8.0,13.0,2.0,0.0,23.0,2348.0,57.3
1176,Vineville 6,Bibb,3021.0,280.0,451.0,204.0,2.0,937.0,201.0,524.0,450.0,5.0,1180.0,21.0,9.0,9.0,0.0,39.0,2156.0,71.4
1177,Warrior 1,Bibb,2617.0,616.0,503.0,179.0,2.0,1300.0,131.0,295.0,247.0,2.0,675.0,12.0,3.0,1.0,0.0,16.0,1991.0,76.1
1178,Warrior 2,Bibb,3232.0,586.0,792.0,190.0,5.0,1573.0,98.0,465.0,313.0,1.0,877.0,8.0,5.0,9.0,1.0,23.0,2473.0,76.5
1160,Hazzard 3,Bibb,7068.0,280.0,666.0,248.0,7.0,1201.0,535.0,1701.0,1035.0,13.0,3284.0,12.0,15.0,4.0,0.0,31.0,4516.0,63.9
1161,Hazzard 4,Bibb,4745.0,556.0,1159.0,395.0,2.0,2112.0,266.0,795.0,554.0,3.0,1618.0,13.0,12.0,12.0,0.0,37.0,3767.0,79.4
1162,Howard 1,Bibb,3436.0,366.0,904.0,456.0,1.0,1727.0,141.0,447.0,401.0,3.0,992.0,10.0,5.0,6.0,0.0,21.0,2740.0,79.7
1163,Howard 2,Bibb,3394.0,405.0,905.0,423.0,1.0,1734.0,129.0,441.0,355.0,4.0,929.0,15.0,12.0,8.0,0.0,35.0,2698.0,79.5
1164,Howard 3,Bibb,6397.0,572.0,1320.0,502.0,3.0,2397.0,354.0,1108.0,769.0,2.0,2233.0,21.0,16.0,18.0,0.0,55.0,4685.0,73.2
1165,Howard 4,Bibb,1711.0,124.0,335.0,118.0,0.0,577.0,118.0,311.0,195.0,1.0,625.0,7.0,9.0,6.0,0.0,22.0,1224.0,71.5
1175,Vineville 5,Bibb,2359.0,213.0,503.0,197.0,0.0,913.0,143.0,395.0,278.0,2.0,818.0,11.0,12.0,7.0,0.0,30.0,1761.0,74.7
1158,Hazzard 1,Bibb,3377.0,52.0,102.0,77.0,1.0,232.0,444.0,737.0,491.0,4.0,1676.0,7.0,9.0,5.0,0.0,21.0,1929.0,57.1
1946,Fairground,Bleckley,0.0,942.0,2770.0,614.0,2.0,4328.0,295.0,588.0,428.0,0.0,1311.0,20.0,37.0,10.0,0.0,67.0,5706.0,
935,Waynesville,Brantley,4286.0,797.0,1272.0,187.0,3.0,2259.0,58.0,114.0,95.0,0.0,267.0,10.0,7.0,5.0,0.0,22.0,2548.0,59.4
933,Hoboken,Brantley,3394.0,642.0,1326.0,242.0,0.0,2210.0,46.0,71.0,47.0,0.0,164.0,6.0,6.0,5.0,0.0,17.0,2391.0,70.4
934,Nahunta,Brantley,4208.0,553.0,1709.0,256.0,4.0,2522.0,41.0,164.0,62.0,1.0,268.0,8.0,8.0,1.0,0.0,17.0,2807.0,66.7
1247,Quitman,Brooks,4117.0,179.0,598.0,127.0,4.0,908.0,210.0,646.0,547.0,3.0,1406.0,6.0,7.0,4.0,0.0,17.0,2331.0,56.6
1248,Barwick,Brooks,350.0,100.0,56.0,24.0,1.0,181.0,13.0,25.0,29.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,248.0,70.9
1249,Dixie,Brooks,1066.0,131.0,195.0,37.0,0.0,363.0,71.0,147.0,176.0,1.0,395.0,1.0,2.0,1.0,0.0,4.0,762.0,71.5
1250,Briggs,Brooks,2317.0,383.0,631.0,134.0,0.0,1148.0,66.0,122.0,127.0,0.0,315.0,4.0,10.0,1.0,0.0,15.0,1478.0,63.8
1251,Nankin,Brooks,735.0,171.0,211.0,38.0,1.0,421.0,22.0,32.0,32.0,0.0,86.0,1.0,1.0,0.0,0.0,2.0,509.0,69.3
1252,Morven,Brooks,1962.0,305.0,502.0,118.0,0.0,925.0,93.0,148.0,158.0,0.0,399.0,2.0,5.0,3.0,0.0,10.0,1334.0,68.0
1253,Pavo,Brooks,607.0,154.0,119.0,41.0,0.0,314.0,47.0,29.0,46.0,0.0,122.0,2.0,0.0,0.0,0.0,2.0,438.0,72.2
1502,RH Rec Complex,Bryan,3264.0,205.0,797.0,134.0,1.0,1137.0,111.0,494.0,283.0,0.0,888.0,12.0,20.0,15.0,0.0,47.0,2072.0,63.5
1504,Keller,Bryan,4270.0,307.0,1697.0,201.0,0.0,2205.0,96.0,583.0,338.0,0.0,1017.0,6.0,25.0,12.0,0.0,43.0,3265.0,76.5
1505,Hwy 144 East,Bryan,5365.0,327.0,1877.0,324.0,0.0,2528.0,120.0,865.0,407.0,1.0,1393.0,16.0,39.0,16.0,0.0,71.0,3992.0,74.4
1506,Public Safety Complex,Bryan,2570.0,203.0,639.0,94.0,1.0,937.0,91.0,356.0,188.0,0.0,635.0,20.0,17.0,4.0,0.0,41.0,1613.0,62.8
1501,Ways Station,Bryan,1974.0,181.0,469.0,66.0,1.0,717.0,64.0,272.0,199.0,1.0,536.0,5.0,9.0,7.0,0.0,21.0,1274.0,64.5
1500,Black Creek,Bryan,2995.0,346.0,934.0,161.0,1.0,1442.0,92.0,198.0,103.0,0.0,393.0,11.0,5.0,5.0,0.0,21.0,1856.0,62.0
1499,Ellabell,Bryan,2341.0,385.0,795.0,119.0,1.0,1300.0,58.0,148.0,96.0,0.0,302.0,8.0,8.0,1.0,0.0,17.0,1619.0,69.2
1498,Danielsiding,Bryan,2291.0,233.0,822.0,158.0,0.0,1213.0,53.0,210.0,172.0,0.0,435.0,13.0,14.0,2.0,0.0,29.0,1677.0,73.2
1497,Pembroke,Bryan,2653.0,240.0,742.0,129.0,0.0,1111.0,114.0,339.0,114.0,0.0,567.0,10.0,16.0,6.0,0.0,32.0,1710.0,64.5
1503,JF Gregory Park,Bryan,2885.0,152.0,1300.0,202.0,0.0,1654.0,39.0,329.0,205.0,0.0,573.0,7.0,24.0,4.0,0.0,35.0,2262.0,78.4
1754,Hagin,Bulloch,2403.0,447.0,474.0,154.0,4.0,1079.0,135.0,227.0,212.0,1.0,575.0,8.0,4.0,2.0,0.0,14.0,1668.0,69.4
1755,Brooklet,Bulloch,3351.0,687.0,945.0,246.0,2.0,1880.0,121.0,276.0,166.0,2.0,565.0,16.0,14.0,5.0,0.0,35.0,2480.0,74.0
1756,Stilson,Bulloch,2137.0,622.0,434.0,136.0,1.0,1193.0,59.0,87.0,90.0,0.0,236.0,5.0,4.0,2.0,0.0,11.0,1440.0,67.4
1750,Church,Bulloch,5793.0,383.0,999.0,354.0,1.0,1737.0,371.0,898.0,712.0,7.0,1988.0,28.0,20.0,15.0,0.0,63.0,3788.0,65.4
1758,Nevils,Bulloch,1299.0,382.0,259.0,99.0,0.0,740.0,50.0,60.0,58.0,1.0,169.0,5.0,3.0,4.0,0.0,12.0,921.0,70.9
1759,Sinkhole,Bulloch,488.0,186.0,66.0,46.0,0.0,298.0,25.0,12.0,23.0,0.0,60.0,1.0,1.0,0.0,0.0,2.0,360.0,73.8
1760,Register,Bulloch,969.0,212.0,141.0,56.0,2.0,411.0,75.0,75.0,67.0,0.0,217.0,4.0,6.0,0.0,0.0,10.0,638.0,65.8
1757,Bay,Bulloch,1610.0,530.0,346.0,111.0,0.0,987.0,65.0,70.0,68.0,0.0,203.0,8.0,1.0,3.0,0.0,12.0,1202.0,74.7
1753,Blitch,Bulloch,1947.0,449.0,511.0,167.0,2.0,1129.0,66.0,178.0,153.0,1.0,398.0,3.0,8.0,1.0,0.0,12.0,1539.0,79.0
1749,Fair,Bulloch,6335.0,479.0,1634.0,442.0,4.0,2559.0,264.0,895.0,540.0,6.0,1705.0,28.0,31.0,15.0,1.0,75.0,4339.0,68.5
1746,Emit,Bulloch,3360.0,543.0,833.0,243.0,1.0,1620.0,150.0,367.0,239.0,1.0,757.0,17.0,23.0,9.0,0.0,49.0,2426.0,72.2
1745,Lockhart,Bulloch,720.0,244.0,107.0,32.0,2.0,385.0,43.0,51.0,56.0,0.0,150.0,2.0,0.0,1.0,0.0,3.0,538.0,74.7
1751,Pittman Park,Bulloch,5279.0,303.0,517.0,172.0,0.0,992.0,438.0,930.0,353.0,4.0,1725.0,33.0,35.0,7.0,0.0,75.0,2792.0,52.9
1752,Leefield,Bulloch,1000.0,361.0,201.0,67.0,1.0,630.0,39.0,39.0,33.0,1.0,112.0,8.0,3.0,2.0,0.0,13.0,755.0,75.5
1747,Statesboro,Bulloch,6312.0,386.0,1158.0,360.0,3.0,1907.0,420.0,1002.0,641.0,11.0,2074.0,22.0,20.0,17.0,0.0,59.0,4040.0,64.0
1748,Portal,Bulloch,1735.0,439.0,285.0,115.0,0.0,839.0,94.0,96.0,119.0,0.0,309.0,4.0,2.0,4.0,0.0,10.0,1158.0,66.7
2077,Gough,Burke,434.0,39.0,61.0,16.0,0.0,116.0,48.0,40.0,101.0,0.0,189.0,2.0,0.0,0.0,0.0,2.0,307.0,70.7
2076,Girard,Burke,733.0,110.0,81.0,41.0,0.0,232.0,100.0,57.0,85.0,0.0,242.0,2.0,1.0,0.0,0.0,3.0,477.0,65.1
2074,Alexander,Burke,389.0,84.0,60.0,14.0,0.0,158.0,27.0,20.0,66.0,0.0,113.0,0.0,0.0,1.0,0.0,1.0,272.0,69.9
