County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,calc_participation,Rep_total,Dem_total,Lib_total
Chattahoochee,0.0,270.0,430.0,123.0,2.0,825.0,137.0,303.0,151.0,1.0,592.0,25.0,27.0,13.0,0.0,65.0,1482.0,0.0,825.0,592.0,65.0
Chattooga,14143.0,2265.0,4169.0,1018.0,4.0,7456.0,369.0,774.0,622.0,2.0,1767.0,89.0,145.0,63.0,0.0,297.0,9520.0,67.3,7456.0,1767.0,297.0
Cherokee,190531.0,22830.0,55090.0,19741.0,15.0,97676.0,5378.0,16548.0,14826.0,4.0,36756.0,2057.0,2477.0,1430.0,5.0,5969.0,140401.0,73.7,97676.0,36756.0,5969.0
Clarke,76504.0,3378.0,7282.0,4406.0,14.0,15080.0,4755.0,15237.0,13245.0,31.0,33268.0,602.0,669.0,456.0,6.0,1733.0,50081.0,65.5,15080.0,33268.0,1733.0
Clay,2053.0,124.0,392.0,105.0,0.0,621.0,154.0,296.0,271.0,0.0,721.0,9.0,5.0,8.0,0.0,22.0,1364.0,66.4,621.0,721.0,22.0
Clayton,193326.0,2787.0,7243.0,4028.0,40.0,14098.0,16145.0,49841.0,26116.0,418.0,92520.0,868.0,1296.0,640.0,13.0,2817.0,109435.0,56.6,14098.0,92520.0,2817.0
Clinch,4345.0,575.0,1178.0,201.0,1.0,1955.0,178.0,303.0,131.0,0.0,612.0,21.0,26.0,8.0,0.0,55.0,2622.0,60.3,1955.0,612.0,55.0
Cobb,537611.0,37025.0,77370.0,54168.0,157.0,168720.0,27032.0,88389.0,85129.0,302.0,200852.0,4555.0,5491.0,4729.0,33.0,14808.0,384380.0,71.5,168720.0,200852.0,14808.0
Coffee,25114.0,2375.0,6662.0,871.0,7.0,9915.0,1008.0,2156.0,910.0,3.0,4077.0,87.0,144.0,37.0,1.0,269.0,14261.0,56.8,9915.0,4077.0,269.0
Colquitt,25054.0,4055.0,5891.0,1352.0,10.0,11308.0,1006.0,1661.0,1067.0,3.0,3737.0,122.0,151.0,45.0,0.0,318.0,15363.0,61.3,11308.0,3737.0,318.0
Columbia,127380.0,13158.0,29565.0,7294.0,40.0,50057.0,4248.0,13204.0,8418.0,27.0,25897.0,908.0,1208.0,458.0,3.0,2577.0,78531.0,61.7,50057.0,25897.0,2577.0
Cook,10632.0,1075.0,3184.0,471.0,0.0,4730.0,485.0,934.0,482.0,0.0,1901.0,48.0,67.0,29.0,1.0,145.0,6776.0,63.7,4730.0,1901.0,145.0
Coweta,102110.0,17718.0,23360.0,9513.0,3.0,50594.0,4637.0,8615.0,8230.0,14.0,21496.0,1058.0,837.0,551.0,4.0,2450.0,74540.0,73.0,50594.0,21496.0,2450.0
Crawford,8512.0,1092.0,2596.0,525.0,1.0,4214.0,236.0,761.0,492.0,1.0,1490.0,47.0,62.0,33.0,0.0,142.0,5846.0,68.7,4214.0,1490.0,142.0
Crisp,12554.0,943.0,3162.0,784.0,3.0,4892.0,510.0,1344.0,791.0,1.0,2646.0,49.0,72.0,33.0,0.0,154.0,7692.0,61.3,4892.0,2646.0,154.0
Dade,11660.0,1849.0,3182.0,615.0,4.0,5650.0,211.0,599.0,320.0,2.0,1132.0,113.0,124.0,36.0,0.0,273.0,7055.0,60.5,5650.0,1132.0,273.0
Dawson,21529.0,2248.0,8764.0,1962.0,2.0,12976.0,201.0,956.0,870.0,0.0,2027.0,145.0,339.0,97.0,1.0,582.0,15585.0,72.4,12976.0,2027.0,582.0
DeKalb,546711.0,11758.0,31488.0,18099.0,167.0,61512.0,31335.0,153532.0,102038.0,1125.0,288030.0,2539.0,5211.0,2974.0,64.0,10788.0,360330.0,65.9,61512.0,288030.0,10788.0
Decatur,16618.0,1384.0,4232.0,793.0,4.0,6413.0,733.0,2336.0,1401.0,8.0,4478.0,56.0,113.0,45.0,0.0,214.0,11105.0,66.8,6413.0,4478.0,214.0
Dodge,11439.0,2189.0,2659.0,684.0,5.0,5537.0,500.0,917.0,512.0,0.0,1929.0,69.0,55.0,33.0,0.0,157.0,7623.0,66.6,5537.0,1929.0,157.0
Dooly,5949.0,443.0,1359.0,256.0,2.0,2060.0,431.0,877.0,446.0,2.0,1756.0,20.0,32.0,7.0,0.0,59.0,3875.0,65.1,2060.0,1756.0,59.0
Dougherty,61172.0,4097.0,3758.0,2362.0,20.0,10237.0,6889.0,8642.0,7598.0,79.0,23208.0,334.0,214.0,136.0,4.0,688.0,34133.0,55.8,10237.0,23208.0,688.0
Douglas,102540.0,4587.0,14742.0,5408.0,12.0,24749.0,5634.0,21901.0,13264.0,42.0,40841.0,582.0,889.0,462.0,2.0,1935.0,67525.0,65.9,24749.0,40841.0,1935.0
Early,7320.0,739.0,1472.0,407.0,3.0,2621.0,592.0,965.0,638.0,0.0,2195.0,29.0,37.0,15.0,0.0,81.0,4897.0,66.9,2621.0,2195.0,81.0
Echols,2156.0,204.0,879.0,115.0,0.0,1198.0,33.0,92.0,27.0,0.0,152.0,4.0,9.0,4.0,0.0,17.0,1367.0,63.4,1198.0,152.0,17.0
Effingham,44273.0,7058.0,13003.0,2463.0,15.0,22539.0,1531.0,3298.0,2099.0,10.0,6938.0,432.0,395.0,166.0,0.0,993.0,30470.0,68.8,22539.0,6938.0,993.0
Elbert,12305.0,1726.0,3309.0,959.0,0.0,5994.0,488.0,1161.0,1018.0,0.0,2667.0,67.0,81.0,29.0,0.0,177.0,8838.0,71.8,5994.0,2667.0,177.0
Emanuel,13715.0,2382.0,2953.0,875.0,1.0,6211.0,750.0,1105.0,723.0,0.0,2578.0,76.0,72.0,29.0,1.0,178.0,8967.0,65.4,6211.0,2578.0,178.0
Evans,6135.0,445.0,1834.0,474.0,0.0,2753.0,217.0,680.0,301.0,0.0,1198.0,24.0,46.0,20.0,0.0,90.0,4041.0,65.9,2753.0,1198.0,90.0
Fannin,20399.0,3860.0,5427.0,2154.0,19.0,11460.0,333.0,917.0,1010.0,1.0,2261.0,147.0,152.0,93.0,2.0,394.0,14115.0,69.2,11460.0,2261.0,394.0
Fayette,92307.0,6244.0,24116.0,7659.0,58.0,38077.0,2999.0,16739.0,9893.0,57.0,29688.0,529.0,1188.0,509.0,4.0,2230.0,69995.0,75.8,38077.0,29688.0,2230.0
Floyd,60650.0,7468.0,16234.0,4396.0,98.0,28196.0,1971.0,5161.0,3497.0,34.0,10663.0,446.0,584.0,222.0,6.0,1258.0,40117.0,66.1,28196.0,10663.0,1258.0
Forsyth,163984.0,9419.0,60248.0,15270.0,33.0,84970.0,2783.0,19921.0,13244.0,17.0,35965.0,851.0,2992.0,1038.0,3.0,4884.0,125819.0,76.7,84970.0,35965.0,4884.0
Franklin,15146.0,2201.0,5220.0,1386.0,1.0,8808.0,301.0,545.0,548.0,1.0,1395.0,77.0,129.0,40.0,0.0,246.0,10449.0,69.0,8808.0,1395.0,246.0
Fulton,806451.0,19201.0,91929.0,33992.0,851.0,145973.0,34807.0,206892.0,102871.0,2243.0,346813.0,3344.0,8992.0,3768.0,215.0,16319.0,509105.0,63.1,145973.0,346813.0,16319.0
Gilmer,22264.0,4056.0,6579.0,2122.0,11.0,12768.0,392.0,1048.0,1126.0,0.0,2566.0,166.0,178.0,81.0,1.0,426.0,15760.0,70.8,12768.0,2566.0,426.0
Glascock,2039.0,382.0,740.0,183.0,0.0,1305.0,37.0,56.0,47.0,0.0,140.0,6.0,10.0,7.0,0.0,23.0,1468.0,72.0,1305.0,140.0,23.0
Glynn,61952.0,4432.0,15992.0,4330.0,28.0,24782.0,1930.0,7159.0,5168.0,19.0,14276.0,365.0,652.0,235.0,2.0,1254.0,40312.0,65.1,24782.0,14276.0,1254.0
Gordon,36429.0,6514.0,9327.0,2401.0,11.0,18253.0,920.0,1713.0,1299.0,1.0,3933.0,278.0,325.0,127.0,1.0,731.0,22917.0,62.9,18253.0,3933.0,731.0
Grady,15442.0,1925.0,3762.0,1074.0,7.0,6768.0,592.0,1737.0,1027.0,8.0,3364.0,67.0,97.0,30.0,0.0,194.0,10326.0,66.9,6768.0,3364.0,194.0
Greene,14171.0,828.0,5000.0,1327.0,1.0,7156.0,520.0,1715.0,1346.0,7.0,3588.0,54.0,110.0,52.0,1.0,217.0,10961.0,77.3,7156.0,3588.0,217.0
Gwinnett,581467.0,33626.0,89020.0,41555.0,213.0,164414.0,32709.0,116743.0,73948.0,365.0,223765.0,4127.0,6338.0,3554.0,49.0,14068.0,402247.0,69.2,164414.0,223765.0,14068.0
Habersham,28264.0,2487.0,10676.0,2855.0,19.0,16037.0,432.0,1494.0,1128.0,2.0,3056.0,167.0,367.0,131.0,1.0,666.0,19759.0,69.9,16037.0,3056.0,666.0
Hall,0.0,10566.0,40045.0,12051.0,38.0,62700.0,3325.0,10390.0,7990.0,18.0,21723.0,911.0,1764.0,679.0,13.0,3367.0,87790.0,0.0,62700.0,21723.0,3367.0
Hancock,5827.0,248.0,599.0,235.0,0.0,1082.0,576.0,1037.0,1148.0,3.0,2764.0,26.0,26.0,18.0,0.0,70.0,3916.0,67.2,1082.0,2764.0,70.0
Haralson,20667.0,4039.0,5917.0,1703.0,4.0,11663.0,396.0,722.0,621.0,0.0,1739.0,146.0,163.0,66.0,0.0,375.0,13777.0,66.7,11663.0,1739.0,375.0
Harris,25626.0,5435.0,6484.0,2134.0,13.0,14066.0,1087.0,1910.0,1825.0,4.0,4826.0,228.0,150.0,109.0,1.0,488.0,19380.0,75.6,14066.0,4826.0,488.0
Hart,16929.0,2202.0,5458.0,1412.0,2.0,9074.0,507.0,1293.0,966.0,2.0,2768.0,90.0,138.0,39.0,0.0,267.0,12109.0,71.5,9074.0,2768.0,267.0
Heard,7762.0,1546.0,2040.0,650.0,1.0,4237.0,168.0,306.0,276.0,1.0,751.0,44.0,66.0,27.0,0.0,137.0,5125.0,66.0,4237.0,751.0,137.0
Henry,171905.0,7702.0,30887.0,7999.0,24.0,46612.0,7775.0,42371.0,19833.0,68.0,70047.0,780.0,1802.0,626.0,5.0,3213.0,119872.0,69.7,46612.0,70047.0,3213.0
Houston,105315.0,11254.0,21311.0,8154.0,43.0,40762.0,5929.0,13135.0,10949.0,44.0,30057.0,778.0,776.0,514.0,5.0,2073.0,72892.0,69.2,40762.0,30057.0,2073.0
Irwin,6113.0,620.0,2044.0,368.0,3.0,3035.0,217.0,478.0,238.0,1.0,934.0,21.0,31.0,5.0,0.0,57.0,4026.0,65.9,3035.0,934.0,57.0
Jackson,51951.0,4774.0,19605.0,4382.0,6.0,28767.0,873.0,3297.0,2432.0,1.0,6603.0,320.0,715.0,252.0,0.0,1287.0,36657.0,70.6,28767.0,6603.0,1287.0
Jasper,10432.0,1475.0,3358.0,806.0,11.0,5650.0,270.0,690.0,618.0,1.0,1579.0,58.0,91.0,40.0,1.0,190.0,7419.0,71.1,5650.0,1579.0,190.0
Jeff Davis,8478.0,1275.0,2514.0,494.0,0.0,4283.0,223.0,460.0,258.0,0.0,941.0,47.0,62.0,19.0,0.0,128.0,5352.0,63.1,4283.0,941.0,128.0
Jefferson,11334.0,1047.0,1886.0,440.0,4.0,3377.0,964.0,1577.0,1183.0,7.0,3731.0,40.0,69.0,18.0,1.0,128.0,7236.0,63.8,3377.0,3731.0,128.0
Jenkins,5066.0,535.0,1184.0,337.0,3.0,2059.0,275.0,500.0,376.0,1.0,1152.0,26.0,19.0,7.0,0.0,52.0,3263.0,64.4,2059.0,1152.0,52.0
Johnson,5611.0,724.0,1667.0,307.0,0.0,2698.0,197.0,535.0,338.0,0.0,1070.0,18.0,34.0,9.0,0.0,61.0,3829.0,68.2,2698.0,1070.0,61.0
Jones,0.0,2851.0,5495.0,1285.0,5.0,9636.0,777.0,2154.0,1546.0,0.0,4477.0,123.0,146.0,52.0,1.0,322.0,14435.0,0.0,9636.0,4477.0,322.0
Lamar,12839.0,1655.0,3635.0,792.0,7.0,6089.0,450.0,1112.0,873.0,3.0,2438.0,90.0,105.0,34.0,0.0,229.0,8756.0,68.2,6089.0,2438.0,229.0
Lanier,5462.0,455.0,1678.0,246.0,0.0,2379.0,172.0,470.0,270.0,0.0,912.0,28.0,59.0,16.0,0.0,103.0,3394.0,62.1,2379.0,912.0,103.0
Laurens,32880.0,5413.0,6304.0,2309.0,2.0,14028.0,1763.0,3194.0,2550.0,3.0,7510.0,155.0,159.0,83.0,1.0,398.0,21936.0,66.7,14028.0,7510.0,398.0
Lee,22897.0,2943.0,7570.0,1202.0,4.0,11719.0,799.0,2225.0,1133.0,2.0,4159.0,137.0,188.0,52.0,0.0,377.0,16255.0,71.0,11719.0,4159.0,377.0
Liberty,35582.0,1597.0,4690.0,1244.0,2.0,7533.0,1531.0,6740.0,4065.0,2.0,12338.0,206.0,356.0,151.0,1.0,714.0,20585.0,57.9,7533.0,12338.0,714.0
Lincoln,6176.0,862.0,1767.0,417.0,1.0,3047.0,242.0,487.0,585.0,2.0,1316.0,32.0,47.0,25.0,0.0,104.0,4467.0,72.3,3047.0,1316.0,104.0
Long,10470.0,1046.0,2001.0,274.0,9.0,3330.0,348.0,1069.0,467.0,7.0,1891.0,65.0,97.0,21.0,0.0,183.0,5404.0,51.6,3330.0,1891.0,183.0
Lowndes,75356.0,5155.0,16448.0,3357.0,163.0,25123.0,2627.0,10235.0,5442.0,237.0,18541.0,337.0,629.0,225.0,28.0,1219.0,44883.0,59.6,25123.0,18541.0,1219.0
Lumpkin,22407.0,1899.0,7817.0,1977.0,1.0,11694.0,255.0,1352.0,1084.0,0.0,2691.0,166.0,345.0,113.0,0.0,624.0,15009.0,67.0,11694.0,2691.0,624.0
Macon,6991.0,309.0,1203.0,131.0,0.0,1643.0,629.0,1309.0,672.0,0.0,2610.0,21.0,35.0,7.0,0.0,63.0,4316.0,61.7,1643.0,2610.0,63.0
Madison,20720.0,3349.0,5880.0,1693.0,1.0,10923.0,656.0,1332.0,1082.0,2.0,3072.0,168.0,173.0,71.0,0.0,412.0,14407.0,69.5,10923.0,3072.0,412.0
Marion,4913.0,696.0,1161.0,292.0,0.0,2149.0,218.0,558.0,432.0,0.0,1208.0,21.0,34.0,20.0,0.0,75.0,3432.0,69.9,2149.0,1208.0,75.0
McDuffie,15033.0,792.0,4333.0,904.0,0.0,6029.0,551.0,1889.0,1433.0,0.0,3873.0,70.0,145.0,37.0,0.0,252.0,10154.0,67.5,6029.0,3873.0,252.0
McIntosh,9292.0,771.0,2256.0,805.0,1.0,3833.0,383.0,1202.0,786.0,0.0,2371.0,64.0,74.0,36.0,0.0,174.0,6378.0,68.6,3833.0,2371.0,174.0
Meriwether,15337.0,2094.0,3148.0,958.0,2.0,6202.0,1120.0,1513.0,1395.0,5.0,4033.0,81.0,100.0,50.0,0.0,231.0,10466.0,68.2,6202.0,4033.0,231.0
Miller,3912.0,479.0,1161.0,253.0,2.0,1895.0,154.0,297.0,201.0,0.0,652.0,17.0,27.0,8.0,0.0,52.0,2599.0,66.4,1895.0,652.0,52.0
Mitchell,13474.0,1485.0,2610.0,681.0,3.0,4779.0,776.0,1547.0,1411.0,4.0,3738.0,43.0,65.0,25.0,0.0,133.0,8650.0,64.2,4779.0,3738.0,133.0
Monroe,21138.0,2957.0,6713.0,1064.0,6.0,10740.0,615.0,2081.0,1248.0,2.0,3946.0,145.0,185.0,55.0,0.0,385.0,15071.0,71.3,10740.0,3946.0,385.0
Montgomery,5463.0,1039.0,1432.0,342.0,0.0,2813.0,227.0,364.0,274.0,0.0,865.0,35.0,24.0,6.0,0.0,65.0,3743.0,68.5,2813.0,865.0,65.0
Morgan,14824.0,1829.0,5343.0,939.0,2.0,8113.0,439.0,1599.0,939.0,1.0,2978.0,92.0,134.0,49.0,2.0,277.0,11368.0,76.7,8113.0,2978.0,277.0
Murray,22284.0,3540.0,7070.0,1274.0,0.0,11884.0,476.0,951.0,614.0,0.0,2041.0,135.0,197.0,69.0,0.0,401.0,14326.0,64.3,11884.0,2041.0,401.0
Muscogee,130878.0,6212.0,16825.0,6581.0,18.0,29636.0,6072.0,23699.0,16285.0,26.0,46082.0,633.0,1038.0,537.0,3.0,2211.0,77929.0,59.5,29636.0,46082.0,2211.0
Newton,78994.0,10408.0,7852.0,4802.0,16.0,23078.0,6423.0,12041.0,9943.0,20.0,28427.0,665.0,424.0,334.0,2.0,1425.0,52930.0,67.0,23078.0,28427.0,1425.0
Oconee,30071.0,2668.0,11480.0,2897.0,1.0,17046.0,562.0,3697.0,2551.0,2.0,6812.0,206.0,454.0,162.0,1.0,823.0,24681.0,82.1,17046.0,6812.0,823.0
Oglethorpe,10844.0,996.0,3425.0,931.0,2.0,5354.0,364.0,1057.0,790.0,1.0,2212.0,77.0,146.0,49.0,0.0,272.0,7838.0,72.3,5354.0,2212.0,272.0
Paulding,114945.0,9195.0,34061.0,9289.0,56.0,52601.0,3417.0,14403.0,9664.0,30.0,27514.0,789.0,1532.0,666.0,3.0,2990.0,83105.0,72.3,52601.0,27514.0,2990.0
Peach,17996.0,897.0,4532.0,800.0,9.0,6238.0,763.0,3164.0,1603.0,4.0,5534.0,68.0,156.0,53.0,3.0,280.0,12052.0,67.0,6238.0,5534.0,280.0
Pickens,23766.0,5640.0,6008.0,1751.0,8.0,13407.0,555.0,932.0,968.0,0.0,2455.0,262.0,211.0,87.0,0.0,560.0,16422.0,69.1,13407.0,2455.0,560.0
Pierce,12717.0,1153.0,5474.0,897.0,0.0,7524.0,112.0,557.0,299.0,0.0,968.0,30.0,99.0,37.0,0.0,166.0,8658.0,68.1,7524.0,968.0,166.0
Pike,0.0,2248.0,5667.0,908.0,3.0,8826.0,237.0,638.0,476.0,1.0,1352.0,86.0,130.0,38.0,0.0,254.0,10432.0,0.0,8826.0,1352.0,254.0
Polk,24189.0,2671.0,8572.0,1616.0,13.0,12872.0,542.0,1816.0,1003.0,5.0,3366.0,140.0,238.0,63.0,2.0,443.0,16681.0,69.0,12872.0,3366.0,443.0
Pulaski,5687.0,307.0,2081.0,308.0,0.0,2696.0,149.0,619.0,304.0,0.0,1072.0,22.0,42.0,14.0,0.0,78.0,3846.0,67.6,2696.0,1072.0,78.0
Putnam,16003.0,1484.0,4874.0,1762.0,0.0,8120.0,419.0,1366.0,1359.0,0.0,3144.0,69.0,122.0,53.0,0.0,244.0,11508.0,71.9,8120.0,3144.0,244.0
Quitman,1547.0,143.0,312.0,84.0,0.0,539.0,155.0,180.0,130.0,1.0,466.0,11.0,12.0,3.0,0.0,26.0,1031.0,66.6,539.0,466.0,26.0
Rabun,13072.0,1132.0,4432.0,1650.0,0.0,7214.0,168.0,774.0,760.0,0.0,1702.0,63.0,141.0,81.0,0.0,285.0,9201.0,70.4,7214.0,1702.0,285.0
Randolph,4341.0,300.0,827.0,213.0,0.0,1340.0,380.0,742.0,430.0,3.0,1555.0,12.0,19.0,3.0,0.0,34.0,2929.0,67.5,1340.0,1555.0,34.0
Richmond,134749.0,8191.0,11753.0,6355.0,26.0,26325.0,10977.0,24216.0,19956.0,144.0,55293.0,918.0,962.0,617.0,13.0,2510.0,84128.0,62.4,26325.0,55293.0,2510.0
Rockdale,65505.0,2322.0,7215.0,2973.0,12.0,12522.0,3415.0,17589.0,8930.0,19.0,29953.0,301.0,560.0,236.0,2.0,1099.0,43574.0,66.5,12522.0,29953.0,1099.0
Schley,2882.0,292.0,1271.0,144.0,1.0,1708.0,57.0,216.0,144.0,0.0,417.0,13.0,22.0,7.0,0.0,42.0,2167.0,75.2,1708.0,417.0,42.0
Screven,0.0,1195.0,2038.0,496.0,8.0,3737.0,562.0,1169.0,740.0,7.0,2478.0,40.0,41.0,12.0,2.0,95.0,6310.0,0.0,3737.0,2478.0,95.0
Seminole,5936.0,877.0,1340.0,259.0,0.0,2476.0,262.0,625.0,241.0,0.0,1128.0,23.0,23.0,9.0,0.0,55.0,3659.0,61.6,2476.0,1128.0,55.0
Spalding,45985.0,4955.0,8456.0,3373.0,488.0,17272.0,2398.0,4284.0,3926.0,330.0,10938.0,321.0,277.0,195.0,35.0,828.0,29038.0,63.1,17272.0,10938.0,828.0
Stephens,0.0,1148.0,6505.0,1340.0,3.0,8996.0,272.0,1106.0,670.0,0.0,2048.0,73.0,200.0,60.0,0.0,333.0,11377.0,0.0,8996.0,2048.0,333.0
Stewart,2893.0,199.0,416.0,100.0,4.0,719.0,254.0,443.0,351.0,8.0,1056.0,9.0,12.0,1.0,0.0,22.0,1797.0,62.1,719.0,1056.0,22.0
Sumter,17800.0,1463.0,3288.0,824.0,11.0,5586.0,1066.0,2964.0,1905.0,7.0,5942.0,68.0,90.0,43.0,0.0,201.0,11729.0,65.9,5586.0,5942.0,201.0
Talbot,4563.0,435.0,644.0,239.0,1.0,1319.0,507.0,578.0,853.0,0.0,1938.0,34.0,22.0,18.0,0.0,74.0,3331.0,73.0,1319.0,1938.0,74.0
Taliaferro,1245.0,91.0,188.0,55.0,0.0,334.0,93.0,189.0,207.0,0.0,489.0,3.0,7.0,2.0,0.0,12.0,835.0,67.1,334.0,489.0,12.0
Tattnall,12184.0,1459.0,3508.0,792.0,0.0,5759.0,361.0,965.0,486.0,0.0,1812.0,51.0,92.0,41.0,0.0,184.0,7755.0,63.6,5759.0,1812.0,184.0
