,Precinct,County,Registered Voters,David Post (Rep)_Election Day Votes,David Post (Rep)_Advanced Voting Votes,David Post (Rep)_Absentee by Mail Votes,David Post (Rep)_Provisional Votes,David Post (Rep)_Choice Total,Nicole Love Hendrickson (Dem)_Election Day Votes,Nicole Love Hendrickson (Dem)_Advanced Voting Votes,Nicole Love Hendrickson (Dem)_Absentee by Mail Votes,Nicole Love Hendrickson (Dem)_Provisional Votes,Nicole Love Hendrickson (Dem)_Choice Total,Total,calc_participation
81,DULUTH E,Gwinnett,4814.0,213.0,518.0,247.0,0.0,978.0,410.0,1159.0,734.0,8.0,2311.0,3289.0,68.3
82,GOODWINS D,Gwinnett,4406.0,392.0,650.0,308.0,1.0,1351.0,325.0,734.0,566.0,2.0,1627.0,2978.0,67.6
83,LAWRENCEVILLE G,Gwinnett,3046.0,117.0,301.0,142.0,1.0,561.0,242.0,752.0,415.0,1.0,1410.0,1971.0,64.7
84,LAWRENCEVILLE H,Gwinnett,4296.0,299.0,774.0,366.0,4.0,1443.0,226.0,836.0,570.0,2.0,1634.0,3077.0,71.6
85,MARTINS F,Gwinnett,2570.0,135.0,155.0,102.0,2.0,394.0,239.0,481.0,343.0,3.0,1066.0,1460.0,56.8
86,PINCKNEYVILLE S,Gwinnett,3374.0,178.0,330.0,232.0,1.0,741.0,340.0,603.0,427.0,5.0,1375.0,2116.0,62.7
115,MARTINS I,Gwinnett,4078.0,153.0,347.0,219.0,3.0,722.0,365.0,808.0,522.0,3.0,1698.0,2420.0,59.3
87,ROCKBRIDGE E,Gwinnett,4638.0,145.0,340.0,137.0,1.0,623.0,391.0,1157.0,754.0,3.0,2305.0,2928.0,63.1
89,LAWRENCEVILLE I,Gwinnett,3312.0,208.0,377.0,204.0,0.0,789.0,266.0,650.0,422.0,2.0,1340.0,2129.0,64.3
90,BAYCREEK D,Gwinnett,4609.0,313.0,850.0,358.0,0.0,1521.0,196.0,1041.0,611.0,0.0,1848.0,3369.0,73.1
91,BERKSHIRE J,Gwinnett,2731.0,163.0,593.0,297.0,0.0,1053.0,112.0,538.0,411.0,2.0,1063.0,2116.0,77.5
92,CATES M,Gwinnett,3988.0,277.0,881.0,474.0,1.0,1633.0,160.0,792.0,569.0,2.0,1523.0,3156.0,79.1
93,CATES N,Gwinnett,2567.0,239.0,566.0,361.0,1.0,1167.0,126.0,380.0,285.0,0.0,791.0,1958.0,76.3
94,DULUTH F,Gwinnett,6161.0,178.0,383.0,258.0,3.0,822.0,473.0,1416.0,923.0,18.0,2830.0,3652.0,59.3
95,DULUTH G,Gwinnett,3067.0,285.0,528.0,348.0,1.0,1162.0,159.0,486.0,433.0,2.0,1080.0,2242.0,73.1
88,SUGAR HILL E,Gwinnett,3589.0,329.0,783.0,326.0,3.0,1441.0,148.0,638.0,375.0,4.0,1165.0,2606.0,72.6
79,BAYCREEK C,Gwinnett,6499.0,309.0,1035.0,377.0,3.0,1724.0,370.0,1765.0,877.0,0.0,3012.0,4736.0,72.9
116,MARTINS J,Gwinnett,3923.0,146.0,229.0,115.0,4.0,494.0,467.0,935.0,509.0,6.0,1917.0,2411.0,61.5
118,BERKSHIRE O,Gwinnett,2589.0,177.0,520.0,307.0,0.0,1004.0,126.0,426.0,355.0,3.0,910.0,1914.0,73.9
139,SUWANEE H,Gwinnett,3785.0,322.0,1178.0,490.0,0.0,1990.0,113.0,524.0,413.0,1.0,1051.0,3041.0,80.3
140,SUGAR HILL G,Gwinnett,2814.0,299.0,801.0,265.0,0.0,1365.0,70.0,383.0,361.0,1.0,815.0,2180.0,77.5
141,SUWANEE F,Gwinnett,3966.0,297.0,789.0,342.0,2.0,1430.0,166.0,728.0,546.0,2.0,1442.0,2872.0,72.4
142,LAWRENCEVILLE L,Gwinnett,4802.0,221.0,738.0,351.0,1.0,1311.0,278.0,1129.0,692.0,1.0,2100.0,3411.0,71.0
143,LAWRENCEVILLE M,Gwinnett,7255.0,234.0,559.0,276.0,2.0,1071.0,528.0,2049.0,1045.0,6.0,3628.0,4699.0,64.8
144,BAYCREEK G,Gwinnett,6241.0,272.0,781.0,302.0,0.0,1355.0,308.0,1950.0,894.0,1.0,3153.0,4508.0,72.2
145,BAYCREEK H,Gwinnett,6811.0,363.0,1340.0,537.0,3.0,2243.0,325.0,1740.0,898.0,2.0,2965.0,5208.0,76.5
146,BAYCREEK I,Gwinnett,5899.0,255.0,788.0,374.0,6.0,1423.0,322.0,1502.0,759.0,4.0,2587.0,4010.0,68.0
147,BERKSHIRE Q,Gwinnett,1802.0,157.0,298.0,169.0,1.0,625.0,108.0,293.0,230.0,1.0,632.0,1257.0,69.8
148,GOODWINS I,Gwinnett,2501.0,236.0,391.0,279.0,0.0,906.0,160.0,460.0,349.0,0.0,969.0,1875.0,75.0
149,DULUTH K,Gwinnett,2786.0,79.0,161.0,81.0,1.0,322.0,228.0,553.0,312.0,1.0,1094.0,1416.0,50.8
150,HARBINS C,Gwinnett,2850.0,384.0,598.0,181.0,2.0,1165.0,164.0,613.0,272.0,1.0,1050.0,2215.0,77.7
151,ROCKYCREEK C,Gwinnett,4806.0,336.0,1186.0,362.0,0.0,1884.0,232.0,958.0,534.0,4.0,1728.0,3612.0,75.2
152,LAWRENCEVILLE N,Gwinnett,2573.0,177.0,290.0,146.0,2.0,615.0,200.0,467.0,287.0,5.0,959.0,1574.0,61.2
153,PUCKETTS D,Gwinnett,3622.0,255.0,958.0,333.0,4.0,1550.0,142.0,565.0,394.0,1.0,1102.0,2652.0,73.2
138,MARTINS K,Gwinnett,5352.0,207.0,394.0,264.0,0.0,865.0,480.0,1358.0,778.0,4.0,2620.0,3485.0,65.1
137,DULUTH I,Gwinnett,5105.0,292.0,943.0,671.0,0.0,1906.0,190.0,737.0,856.0,1.0,1784.0,3690.0,72.3
136,ROCKYCREEK B,Gwinnett,5061.0,368.0,1231.0,383.0,1.0,1983.0,222.0,960.0,489.0,2.0,1673.0,3656.0,72.2
135,HOG MOUNTAIN C,Gwinnett,4292.0,344.0,931.0,332.0,0.0,1607.0,196.0,686.0,495.0,2.0,1379.0,2986.0,69.6
119,BERKSHIRE P,Gwinnett,1476.0,94.0,149.0,75.0,1.0,319.0,127.0,242.0,184.0,1.0,554.0,873.0,59.1
120,PINCKNEYVILLE X,Gwinnett,3412.0,229.0,572.0,408.0,9.0,1218.0,175.0,607.0,593.0,8.0,1383.0,2601.0,76.2
121,ROCKBRIDGE G,Gwinnett,5799.0,130.0,383.0,202.0,3.0,718.0,395.0,1875.0,936.0,13.0,3219.0,3937.0,67.9
122,PINCKNEYVILLE Y,Gwinnett,3272.0,100.0,164.0,89.0,0.0,353.0,358.0,659.0,340.0,2.0,1359.0,1712.0,52.3
123,GOODWINS G,Gwinnett,2661.0,140.0,265.0,97.0,3.0,505.0,254.0,588.0,358.0,1.0,1201.0,1706.0,64.1
124,PINCKNEYVILLE Z,Gwinnett,1898.0,308.0,365.0,313.0,0.0,986.0,79.0,205.0,317.0,0.0,601.0,1587.0,83.6
125,PINCKNEYVILLE A1,Gwinnett,2694.0,307.0,572.0,456.0,0.0,1335.0,90.0,350.0,467.0,0.0,907.0,2242.0,83.2
117,GARNERS F,Gwinnett,1796.0,111.0,335.0,162.0,2.0,610.0,101.0,347.0,247.0,1.0,696.0,1306.0,72.7
126,LAWRENCEVILLE J,Gwinnett,2249.0,149.0,217.0,93.0,0.0,459.0,185.0,549.0,299.0,3.0,1036.0,1495.0,66.5
128,DUNCANS B,Gwinnett,5387.0,558.0,1653.0,481.0,4.0,2696.0,224.0,764.0,494.0,2.0,1484.0,4180.0,77.6
129,SUWANEE D,Gwinnett,4732.0,444.0,1292.0,522.0,1.0,2259.0,148.0,713.0,604.0,2.0,1467.0,3726.0,78.7
130,SUWANEE E,Gwinnett,4256.0,360.0,1088.0,472.0,1.0,1921.0,126.0,766.0,539.0,1.0,1432.0,3353.0,78.8
131,LAWRENCEVILLE K,Gwinnett,3282.0,262.0,591.0,296.0,0.0,1149.0,172.0,633.0,473.0,0.0,1278.0,2427.0,73.9
132,HARBINS B,Gwinnett,4845.0,323.0,1259.0,324.0,1.0,1907.0,207.0,874.0,425.0,3.0,1509.0,3416.0,70.5
133,BAYCREEK F,Gwinnett,4608.0,232.0,550.0,238.0,5.0,1025.0,282.0,1348.0,653.0,7.0,2290.0,3315.0,71.9
134,PUCKETTS C,Gwinnett,3367.0,263.0,887.0,247.0,1.0,1398.0,119.0,513.0,315.0,0.0,947.0,2345.0,69.6
127,GOODWINS H,Gwinnett,2796.0,209.0,466.0,189.0,0.0,864.0,171.0,549.0,378.0,2.0,1100.0,1964.0,70.2
78,CATES K,Gwinnett,2810.0,259.0,516.0,254.0,2.0,1031.0,147.0,545.0,367.0,1.0,1060.0,2091.0,74.4
77,BAYCREEK K,Gwinnett,3824.0,162.0,674.0,351.0,0.0,1187.0,152.0,957.0,529.0,1.0,1639.0,2826.0,73.9
76,GOODWINS C,Gwinnett,5804.0,299.0,594.0,331.0,0.0,1224.0,411.0,1239.0,895.0,1.0,2546.0,3770.0,65.0
21,PINCKNEYVILLE C,Gwinnett,2082.0,257.0,284.0,270.0,1.0,812.0,112.0,332.0,347.0,4.0,795.0,1607.0,77.2
22,PINCKNEYVILLE D,Gwinnett,2264.0,78.0,135.0,77.0,1.0,291.0,260.0,442.0,220.0,4.0,926.0,1217.0,53.8
23,SUGAR HILL A,Gwinnett,4654.0,398.0,864.0,342.0,2.0,1606.0,248.0,638.0,455.0,3.0,1344.0,2950.0,63.4
24,SUGAR HILL B,Gwinnett,5596.0,501.0,1179.0,427.0,10.0,2117.0,290.0,919.0,569.0,4.0,1782.0,3899.0,69.7
25,HOG MOUNTAIN A,Gwinnett,5011.0,311.0,724.0,317.0,1.0,1353.0,321.0,1083.0,630.0,1.0,2035.0,3388.0,67.6
26,HOG MOUNTAIN B,Gwinnett,4583.0,384.0,1045.0,435.0,3.0,1867.0,181.0,770.0,634.0,2.0,1587.0,3454.0,75.4
27,ROCKYCREEK A,Gwinnett,5939.0,473.0,1457.0,402.0,0.0,2332.0,265.0,1147.0,644.0,3.0,2059.0,4391.0,73.9
28,CATES B,Gwinnett,1587.0,143.0,333.0,181.0,1.0,658.0,84.0,231.0,187.0,1.0,503.0,1161.0,73.2
29,CATES C,Gwinnett,2903.0,173.0,305.0,194.0,1.0,673.0,183.0,771.0,419.0,2.0,1375.0,2048.0,70.5
30,HOG MOUNTAIN D,Gwinnett,3179.0,280.0,681.0,245.0,1.0,1207.0,147.0,478.0,399.0,1.0,1025.0,2232.0,70.2
31,BERKSHIRE D,Gwinnett,2945.0,148.0,491.0,317.0,1.0,957.0,112.0,608.0,498.0,3.0,1221.0,2178.0,74.0
32,BERKSHIRE E,Gwinnett,1997.0,162.0,457.0,206.0,0.0,825.0,78.0,349.0,288.0,1.0,716.0,1541.0,77.2
33,BERKSHIRE F,Gwinnett,2254.0,170.0,213.0,160.0,0.0,543.0,186.0,378.0,306.0,1.0,871.0,1414.0,62.7
34,CATES D,Gwinnett,3755.0,228.0,626.0,338.0,0.0,1192.0,188.0,819.0,558.0,1.0,1566.0,2758.0,73.4
35,CATES E,Gwinnett,2942.0,216.0,569.0,316.0,1.0,1102.0,145.0,588.0,471.0,1.0,1205.0,2307.0,78.4
20,PINCKNEYVILLE B,Gwinnett,3485.0,120.0,242.0,143.0,2.0,507.0,290.0,743.0,367.0,4.0,1404.0,1911.0,54.8
19,PINCKNEYVILLE A,Gwinnett,2791.0,114.0,146.0,75.0,2.0,337.0,325.0,602.0,348.0,5.0,1280.0,1617.0,57.9
18,MARTINS C,Gwinnett,2549.0,169.0,310.0,188.0,1.0,668.0,228.0,508.0,348.0,5.0,1089.0,1757.0,68.9
17,MARTINS B,Gwinnett,3001.0,119.0,337.0,176.0,0.0,632.0,280.0,642.0,355.0,2.0,1279.0,1911.0,63.7
1,ROCKBRIDGE A,Gwinnett,3987.0,108.0,271.0,169.0,0.0,548.0,257.0,1281.0,636.0,1.0,2175.0,2723.0,68.3
2,DACULA,Gwinnett,4777.0,243.0,929.0,257.0,1.0,1430.0,241.0,1093.0,595.0,1.0,1930.0,3360.0,70.3
3,SUWANEE A,Gwinnett,1737.0,117.0,299.0,138.0,0.0,554.0,97.0,369.0,196.0,1.0,663.0,1217.0,70.1
4,BAYCREEK A,Gwinnett,2720.0,235.0,545.0,315.0,0.0,1095.0,142.0,500.0,357.0,0.0,999.0,2094.0,77.0
5,GOODWINS A,Gwinnett,3921.0,284.0,556.0,238.0,1.0,1079.0,261.0,784.0,537.0,1.0,1583.0,2662.0,67.9
6,DULUTH A,Gwinnett,5042.0,234.0,901.0,460.0,2.0,1597.0,207.0,1016.0,904.0,0.0,2127.0,3724.0,73.9
7,DUNCANS A,Gwinnett,4729.0,351.0,1536.0,488.0,2.0,2377.0,124.0,729.0,471.0,0.0,1324.0,3701.0,78.3
36,PINCKNEYVILLE E,Gwinnett,2184.0,104.0,103.0,61.0,3.0,271.0,233.0,492.0,275.0,6.0,1006.0,1277.0,58.5
8,PUCKETTS A,Gwinnett,5692.0,318.0,1978.0,642.0,1.0,2939.0,150.0,816.0,493.0,0.0,1459.0,4398.0,77.3
10,BERKSHIRE A,Gwinnett,2555.0,179.0,222.0,127.0,0.0,528.0,255.0,434.0,316.0,2.0,1007.0,1535.0,60.1
11,BERKSHIRE B,Gwinnett,5338.0,120.0,524.0,334.0,3.0,981.0,293.0,1373.0,849.0,4.0,2519.0,3500.0,65.6
12,DUNCANS C,Gwinnett,3040.0,319.0,1013.0,296.0,1.0,1629.0,95.0,431.0,278.0,0.0,804.0,2433.0,80.0
13,GARNERS A,Gwinnett,3520.0,205.0,798.0,423.0,1.0,1427.0,130.0,690.0,455.0,1.0,1276.0,2703.0,76.8
14,LAWRENCEVILLE A,Gwinnett,3635.0,179.0,481.0,271.0,0.0,931.0,230.0,632.0,386.0,4.0,1252.0,2183.0,60.1
15,LAWRENCEVILLE B,Gwinnett,5097.0,138.0,616.0,294.0,1.0,1049.0,210.0,1476.0,704.0,2.0,2392.0,3441.0,67.5
16,MARTINS A,Gwinnett,3303.0,131.0,213.0,127.0,1.0,472.0,320.0,774.0,404.0,4.0,1502.0,1974.0,59.8
9,CATES A,Gwinnett,2387.0,174.0,471.0,306.0,1.0,952.0,110.0,352.0,293.0,1.0,756.0,1708.0,71.6
37,PINCKNEYVILLE F,Gwinnett,2546.0,108.0,226.0,116.0,0.0,450.0,236.0,468.0,323.0,2.0,1029.0,1479.0,58.1
38,DUNCANS D,Gwinnett,7153.0,612.0,2084.0,729.0,3.0,3428.0,283.0,957.0,695.0,0.0,1935.0,5363.0,75.0
39,PINCKNEYVILLE H,Gwinnett,4536.0,330.0,739.0,451.0,0.0,1520.0,230.0,868.0,785.0,2.0,1885.0,3405.0,75.1
60,LAWRENCEVILLE E,Gwinnett,2355.0,160.0,389.0,263.0,1.0,813.0,151.0,388.0,296.0,2.0,837.0,1650.0,70.1
61,PINCKNEYVILLE L,Gwinnett,2330.0,298.0,456.0,458.0,1.0,1213.0,95.0,250.0,420.0,0.0,765.0,1978.0,84.9
62,PINCKNEYVILLE M,Gwinnett,2673.0,338.0,643.0,429.0,0.0,1410.0,87.0,306.0,385.0,0.0,778.0,2188.0,81.9
63,GARNERS D,Gwinnett,3490.0,92.0,263.0,198.0,0.0,553.0,238.0,932.0,603.0,0.0,1773.0,2326.0,66.6
64,BERKSHIRE H,Gwinnett,1987.0,103.0,175.0,143.0,2.0,423.0,155.0,347.0,252.0,3.0,757.0,1180.0,59.4
65,PINCKNEYVILLE O,Gwinnett,3359.0,96.0,250.0,115.0,1.0,462.0,299.0,784.0,344.0,5.0,1432.0,1894.0,56.4
66,PUCKETTS E,Gwinnett,5660.0,293.0,1058.0,424.0,1.0,1776.0,237.0,1137.0,663.0,3.0,2040.0,3816.0,67.4
59,LAWRENCEVILLE D,Gwinnett,5012.0,158.0,251.0,205.0,4.0,618.0,437.0,1105.0,521.0,10.0,2073.0,2691.0,53.7
67,CATES I,Gwinnett,3537.0,270.0,591.0,311.0,2.0,1174.0,179.0,821.0,542.0,0.0,1542.0,2716.0,76.8
69,GOODWINS B,Gwinnett,3960.0,319.0,893.0,347.0,1.0,1560.0,195.0,630.0,520.0,0.0,1345.0,2905.0,73.4
70,LAWRENCEVILLE F,Gwinnett,4061.0,167.0,342.0,156.0,0.0,665.0,300.0,1151.0,610.0,4.0,2065.0,2730.0,67.2
71,MARTINS E,Gwinnett,6193.0,134.0,210.0,104.0,2.0,450.0,613.0,1427.0,684.0,5.0,2729.0,3179.0,51.3
72,PINCKNEYVILLE P,Gwinnett,2185.0,171.0,256.0,247.0,0.0,674.0,180.0,394.0,348.0,2.0,924.0,1598.0,73.1
73,PINCKNEYVILLE Q,Gwinnett,1915.0,64.0,66.0,37.0,1.0,168.0,282.0,428.0,221.0,2.0,933.0,1101.0,57.5
74,ROCKBRIDGE C,Gwinnett,5125.0,127.0,326.0,191.0,2.0,646.0,293.0,1750.0,991.0,5.0,3039.0,3685.0,71.9
75,ROCKBRIDGE D,Gwinnett,3642.0,69.0,382.0,194.0,1.0,646.0,204.0,1156.0,630.0,6.0,1996.0,2642.0,72.5
68,CATES J,Gwinnett,3478.0,246.0,449.0,291.0,2.0,988.0,182.0,802.0,537.0,2.0,1523.0,2511.0,72.2
154,SUWANEE G,Gwinnett,3904.0,297.0,730.0,281.0,0.0,1308.0,214.0,813.0,548.0,1.0,1576.0,2884.0,73.9
58,PINCKNEYVILLE N,Gwinnett,3819.0,133.0,199.0,63.0,1.0,396.0,443.0,944.0,487.0,5.0,1879.0,2275.0,59.6
56,DULUTH D,Gwinnett,5077.0,230.0,654.0,303.0,7.0,1194.0,309.0,1044.0,660.0,12.0,2025.0,3219.0,63.4
40,BAYCREEK B,Gwinnett,5969.0,270.0,635.0,284.0,2.0,1191.0,425.0,1734.0,793.0,7.0,2959.0,4150.0,69.5
41,LAWRENCEVILLE C,Gwinnett,3037.0,298.0,604.0,277.0,0.0,1179.0,130.0,491.0,330.0,1.0,952.0,2131.0,70.2
42,MARTINS D,Gwinnett,2402.0,97.0,121.0,92.0,2.0,312.0,264.0,452.0,296.0,1.0,1013.0,1325.0,55.2
43,ROCKBRIDGE B,Gwinnett,4177.0,135.0,324.0,176.0,0.0,635.0,301.0,1166.0,591.0,1.0,2059.0,2694.0,64.5
44,GARNERS B,Gwinnett,3178.0,115.0,396.0,222.0,5.0,738.0,184.0,851.0,470.0,1.0,1506.0,2244.0,70.6
45,CATES F,Gwinnett,1787.0,209.0,322.0,232.0,0.0,763.0,107.0,288.0,220.0,2.0,617.0,1380.0,77.2
46,CATES G,Gwinnett,2875.0,205.0,684.0,390.0,0.0,1279.0,116.0,515.0,406.0,0.0,1037.0,2316.0,80.6
57,PINCKNEYVILLE K,Gwinnett,3754.0,133.0,215.0,115.0,2.0,465.0,376.0,817.0,459.0,10.0,1662.0,2127.0,56.7
47,DULUTH B,Gwinnett,3551.0,257.0,537.0,361.0,3.0,1158.0,192.0,526.0,542.0,1.0,1261.0,2419.0,68.1
49,PINCKNEYVILLE I,Gwinnett,2635.0,102.0,202.0,122.0,0.0,426.0,252.0,559.0,308.0,2.0,1121.0,1547.0,58.7
50,PINCKNEYVILLE J,Gwinnett,2613.0,78.0,130.0,61.0,0.0,269.0,266.0,621.0,278.0,2.0,1167.0,1436.0,55.0
51,BERKSHIRE G,Gwinnett,2419.0,169.0,508.0,246.0,0.0,923.0,107.0,537.0,299.0,0.0,943.0,1866.0,77.1
52,CATES H,Gwinnett,3924.0,108.0,402.0,192.0,0.0,702.0,308.0,937.0,495.0,2.0,1742.0,2444.0,62.3
53,SUGAR HILL C,Gwinnett,5085.0,593.0,1238.0,455.0,1.0,2287.0,234.0,770.0,517.0,0.0,1521.0,3808.0,74.9
54,SUGAR HILL D,Gwinnett,4624.0,304.0,1164.0,342.0,5.0,1815.0,200.0,761.0,439.0,3.0,1403.0,3218.0,69.6
55,DULUTH C,Gwinnett,2229.0,193.0,309.0,207.0,2.0,711.0,139.0,381.0,319.0,2.0,841.0,1552.0,69.6
48,GARNERS C,Gwinnett,2030.0,132.0,295.0,146.0,0.0,573.0,123.0,439.0,253.0,2.0,817.0,1390.0,68.5
155,BAYCREEK J,Gwinnett,4567.0,199.0,516.0,245.0,1.0,961.0,305.0,1289.0,644.0,4.0,2242.0,3203.0,70.1
