,Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,calc_participation
269,RW02,Fulton,4061.0,226.0,1341.0,711.0,7.0,2285.0,2285.0,56.3
268,RW01,Fulton,5010.0,191.0,1639.0,976.0,10.0,2816.0,2816.0,56.2
267,PA01,Fulton,3006.0,186.0,857.0,331.0,14.0,1388.0,1388.0,46.2
266,MP01,Fulton,472.0,150.0,41.0,58.0,4.0,253.0,253.0,53.6
275,RW07B,Fulton,449.0,50.0,80.0,64.0,12.0,206.0,206.0,45.9
286,RW19,Fulton,2147.0,118.0,741.0,347.0,1.0,1207.0,1207.0,56.2
240,JC06,Fulton,2840.0,196.0,756.0,448.0,8.0,1408.0,1408.0,49.6
238,JC04C,Fulton,1251.0,43.0,451.0,233.0,0.0,727.0,727.0,58.1
213,EP02A,Fulton,2407.0,140.0,471.0,270.0,15.0,896.0,896.0,37.2
212,EP01B,Fulton,3473.0,189.0,842.0,372.0,10.0,1413.0,1413.0,40.7
211,EP01A,Fulton,2978.0,165.0,820.0,303.0,9.0,1297.0,1297.0,43.6
210,CP08A,Fulton,756.0,54.0,82.0,22.0,0.0,158.0,158.0,20.9
209,CP084,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,CP083,Fulton,240.0,8.0,18.0,2.0,0.0,28.0,28.0,11.7
207,CP081,Fulton,373.0,31.0,40.0,13.0,2.0,86.0,86.0,23.1
206,CP07F,Fulton,266.0,18.0,33.0,4.0,0.0,55.0,55.0,20.7
205,CP07E,Fulton,127.0,16.0,15.0,2.0,0.0,33.0,33.0,26.0
214,EP02B,Fulton,1679.0,83.0,576.0,255.0,0.0,914.0,914.0,54.4
204,CP07D,Fulton,790.0,56.0,106.0,29.0,0.0,191.0,191.0,24.2
202,CP07B,Fulton,7.0,1.0,2.0,0.0,0.0,3.0,3.0,42.9
201,CP06A,Fulton,732.0,40.0,101.0,33.0,1.0,175.0,175.0,23.9
200,CP05B,Fulton,153.0,18.0,31.0,7.0,3.0,59.0,59.0,38.6
199,CP051,Fulton,1756.0,137.0,465.0,209.0,0.0,811.0,811.0,46.2
198,CP04B,Fulton,38.0,2.0,6.0,8.0,0.0,16.0,16.0,42.1
197,CP04A,Fulton,13.0,0.0,3.0,0.0,0.0,3.0,3.0,23.1
196,CP02,Fulton,1208.0,69.0,314.0,140.0,0.0,523.0,523.0,43.3
195,CP01B,Fulton,422.0,17.0,123.0,42.0,0.0,182.0,182.0,43.1
194,CP012,Fulton,1469.0,71.0,471.0,176.0,4.0,722.0,722.0,49.1
203,CP07C,Fulton,323.0,15.0,41.0,7.0,0.0,63.0,63.0,19.5
239,JC05,Fulton,2350.0,126.0,833.0,319.0,4.0,1282.0,1282.0,54.6
215,EP02C,Fulton,522.0,16.0,170.0,62.0,0.0,248.0,248.0,47.5
217,EP02E,Fulton,1668.0,97.0,371.0,128.0,0.0,596.0,596.0,35.7
237,JC04B,Fulton,334.0,10.0,102.0,48.0,0.0,160.0,160.0,47.9
236,JC04A,Fulton,3177.0,100.0,1189.0,530.0,8.0,1827.0,1827.0,57.5
235,JC03B,Fulton,1616.0,115.0,532.0,243.0,0.0,890.0,890.0,55.1
234,JC03A,Fulton,594.0,28.0,234.0,65.0,0.0,327.0,327.0,55.1
233,JC02,Fulton,3001.0,156.0,864.0,557.0,6.0,1583.0,1583.0,52.7
232,JC01A,Fulton,1738.0,128.0,520.0,108.0,5.0,761.0,761.0,43.8
231,JC01,Fulton,4128.0,234.0,1340.0,953.0,8.0,2535.0,2535.0,61.4
230,HP01,Fulton,3824.0,312.0,923.0,413.0,5.0,1653.0,1653.0,43.2
229,FC03,Fulton,17.0,0.0,7.0,0.0,3.0,10.0,10.0,58.8
216,EP02D,Fulton,420.0,27.0,142.0,43.0,0.0,212.0,212.0,50.5
228,FC02,Fulton,585.0,10.0,20.0,7.0,1.0,38.0,38.0,6.5
226,FA01D,Fulton,321.0,13.0,107.0,6.0,13.0,139.0,139.0,43.3
225,FA01C,Fulton,769.0,55.0,244.0,89.0,1.0,389.0,389.0,50.6
224,FA01B,Fulton,5860.0,25.0,2024.0,747.0,7.0,2803.0,2803.0,47.8
223,FA01A,Fulton,4032.0,219.0,1277.0,518.0,11.0,2025.0,2025.0,50.2
222,EP04C,Fulton,1318.0,0.0,335.0,36.0,3.0,374.0,374.0,28.4
221,EP04B,Fulton,2624.0,134.0,940.0,225.0,6.0,1305.0,1305.0,49.7
220,EP04A,Fulton,5020.0,454.0,1171.0,566.0,28.0,2219.0,2219.0,44.2
219,EP03B,Fulton,1547.0,70.0,509.0,303.0,5.0,887.0,887.0,57.3
218,EP03A,Fulton,4925.0,287.0,1337.0,708.0,4.0,2336.0,2336.0,47.4
227,FC01,Fulton,325.0,18.0,114.0,24.0,2.0,158.0,158.0,48.6
193,CP011,Fulton,1353.0,81.0,367.0,140.0,5.0,593.0,593.0,43.8
287,RW20,Fulton,2701.0,89.0,1020.0,403.0,7.0,1519.0,1519.0,56.2
289,RW22A,Fulton,4788.0,257.0,1577.0,541.0,12.0,2387.0,2387.0,49.9
357,SS11D,Fulton,397.0,18.0,134.0,75.0,0.0,227.0,227.0,57.2
356,SS11C,Fulton,361.0,27.0,105.0,23.0,1.0,156.0,156.0,43.2
355,SS11B,Fulton,1412.0,86.0,385.0,178.0,1.0,650.0,650.0,46.0
354,SS11A,Fulton,4026.0,281.0,1188.0,541.0,10.0,2020.0,2020.0,50.2
353,SS09B,Fulton,3611.0,114.0,1248.0,684.0,1.0,2047.0,2047.0,56.7
