,Precinct,County,Registered Voters,"Flynn D. Broady, Jr. (Dem)_Election Day Votes","Flynn D. Broady, Jr. (Dem)_Advanced Voting Votes","Flynn D. Broady, Jr. (Dem)_Absentee by Mail Votes","Flynn D. Broady, Jr. (Dem)_Provisional Votes","Flynn D. Broady, Jr. (Dem)_Choice Total",Joyette Holmes (I) (Rep)_Election Day Votes,Joyette Holmes (I) (Rep)_Advanced Voting Votes,Joyette Holmes (I) (Rep)_Absentee by Mail Votes,Joyette Holmes (I) (Rep)_Provisional Votes,Joyette Holmes (I) (Rep)_Choice Total,Total,calc_participation
105,Pine Mountain 01,Cobb,3491.0,128.0,395.0,374.0,5.0,902.0,352.0,991.0,561.0,1.0,1905.0,2807.0,80.4
99,Oregon 02,Cobb,5671.0,394.0,1182.0,1020.0,3.0,2599.0,247.0,477.0,468.0,0.0,1192.0,3791.0,66.8
106,Pine Mountain 02,Cobb,3127.0,91.0,295.0,297.0,2.0,685.0,404.0,877.0,630.0,0.0,1911.0,2596.0,83.0
90,Mt Bethel 01,Cobb,4125.0,113.0,422.0,779.0,1.0,1315.0,407.0,787.0,860.0,5.0,2059.0,3374.0,81.8
88,Mars Hill 01,Cobb,3633.0,110.0,298.0,295.0,0.0,703.0,422.0,1098.0,488.0,2.0,2010.0,2713.0,74.7
74,McClure 01,Cobb,3290.0,110.0,360.0,373.0,1.0,844.0,390.0,892.0,440.0,2.0,1724.0,2568.0,78.1
75,Marietta 1A,Cobb,4468.0,335.0,660.0,503.0,6.0,1504.0,204.0,374.0,257.0,1.0,836.0,2340.0,52.4
76,Marietta 2A,Cobb,2059.0,97.0,266.0,255.0,0.0,618.0,300.0,398.0,401.0,0.0,1099.0,1717.0,83.4
77,Marietta 2B,Cobb,4447.0,311.0,792.0,586.0,0.0,1689.0,276.0,577.0,508.0,3.0,1364.0,3053.0,68.7
78,Marietta 3A,Cobb,4388.0,198.0,622.0,628.0,2.0,1450.0,342.0,735.0,637.0,1.0,1715.0,3165.0,72.1
79,Marietta 3B,Cobb,2218.0,170.0,464.0,401.0,1.0,1036.0,54.0,132.0,118.0,0.0,304.0,1340.0,60.4
89,Mars Hill 02,Cobb,2916.0,135.0,389.0,358.0,0.0,882.0,295.0,615.0,285.0,0.0,1195.0,2077.0,71.2
80,Marietta 4A,Cobb,1956.0,67.0,144.0,189.0,1.0,401.0,429.0,408.0,424.0,0.0,1261.0,1662.0,85.0
82,Marietta 4C,Cobb,2781.0,82.0,321.0,387.0,0.0,790.0,304.0,706.0,454.0,0.0,1464.0,2254.0,81.0
83,Marietta 5A,Cobb,3324.0,259.0,534.0,496.0,3.0,1292.0,194.0,301.0,253.0,0.0,748.0,2040.0,61.4
84,Marietta 5B,Cobb,3084.0,261.0,502.0,378.0,2.0,1143.0,150.0,182.0,150.0,1.0,483.0,1626.0,52.7
85,Marietta 6A,Cobb,2647.0,252.0,507.0,340.0,3.0,1102.0,118.0,191.0,124.0,2.0,435.0,1537.0,58.1
86,Marietta 6B,Cobb,2910.0,143.0,461.0,525.0,0.0,1129.0,256.0,469.0,400.0,0.0,1125.0,2254.0,77.5
87,Marietta 7A,Cobb,3745.0,257.0,722.0,399.0,4.0,1382.0,123.0,185.0,124.0,0.0,432.0,1814.0,48.4
81,Marietta 4B,Cobb,2056.0,90.0,297.0,299.0,1.0,687.0,209.0,315.0,298.0,0.0,822.0,1509.0,73.4
107,Post Oak 01,Cobb,3660.0,113.0,395.0,528.0,0.0,1036.0,395.0,850.0,625.0,4.0,1874.0,2910.0,79.5
108,Pope 01,Cobb,3153.0,102.0,379.0,529.0,0.0,1010.0,276.0,667.0,556.0,0.0,1499.0,2509.0,79.6
109,Palmer 01,Cobb,2760.0,132.0,319.0,336.0,0.0,787.0,305.0,505.0,401.0,0.0,1211.0,1998.0,72.4
129,Smyrna 6A,Cobb,5936.0,264.0,1068.0,1042.0,9.0,2383.0,368.0,902.0,852.0,0.0,2122.0,4505.0,75.9
130,Smyrna 7A,Cobb,6378.0,208.0,1607.0,1477.0,1.0,3293.0,249.0,852.0,737.0,0.0,1838.0,5131.0,80.4
131,Sope Creek 01,Cobb,2163.0,97.0,229.0,373.0,0.0,699.0,280.0,382.0,444.0,1.0,1107.0,1806.0,83.5
132,Sope Creek 02,Cobb,4729.0,183.0,666.0,780.0,1.0,1630.0,376.0,816.0,771.0,3.0,1966.0,3596.0,76.0
133,Sope Creek 03,Cobb,2886.0,109.0,348.0,449.0,0.0,906.0,342.0,542.0,472.0,0.0,1356.0,2262.0,78.4
134,Sweetwater 01,Cobb,3235.0,193.0,678.0,451.0,0.0,1322.0,198.0,473.0,290.0,1.0,962.0,2284.0,70.6
128,Smyrna 5A,Cobb,4319.0,290.0,752.0,725.0,8.0,1775.0,268.0,428.0,332.0,1.0,1029.0,2804.0,64.9
135,Sweetwater 02,Cobb,3367.0,256.0,592.0,577.0,16.0,1441.0,101.0,191.0,196.0,5.0,493.0,1934.0,57.4
137,Timber Ridge 01,Cobb,2448.0,72.0,276.0,471.0,1.0,820.0,275.0,472.0,450.0,0.0,1197.0,2017.0,82.4
138,Vaughan 01,Cobb,3146.0,93.0,386.0,299.0,0.0,778.0,369.0,970.0,404.0,0.0,1743.0,2521.0,80.1
139,Vinings 01,Cobb,3260.0,184.0,700.0,523.0,2.0,1409.0,211.0,330.0,336.0,1.0,878.0,2287.0,70.2
140,Vinings 02,Cobb,6400.0,365.0,1215.0,1030.0,4.0,2614.0,332.0,721.0,699.0,2.0,1754.0,4368.0,68.2
141,Vinings 03,Cobb,4407.0,230.0,925.0,771.0,2.0,1928.0,176.0,589.0,503.0,3.0,1271.0,3199.0,72.6
142,Vinings 04,Cobb,3405.0,178.0,476.0,441.0,0.0,1095.0,437.0,491.0,586.0,2.0,1516.0,2611.0,76.7
136,Terrell Mill 01,Cobb,5816.0,428.0,1003.0,815.0,10.0,2256.0,278.0,514.0,440.0,1.0,1233.0,3489.0,60.0
127,Smyrna 4A,Cobb,5842.0,217.0,927.0,1193.0,5.0,2342.0,356.0,967.0,980.0,1.0,2304.0,4646.0,79.5
126,Smyrna 3B,Cobb,2496.0,123.0,453.0,438.0,2.0,1016.0,177.0,409.0,292.0,1.0,879.0,1895.0,75.9
125,Smyrna 3A,Cobb,4573.0,222.0,909.0,765.0,3.0,1899.0,234.0,580.0,411.0,1.0,1226.0,3125.0,68.3
110,Powders Springs 1A,Cobb,4755.0,191.0,1246.0,957.0,3.0,2397.0,152.0,610.0,399.0,2.0,1163.0,3560.0,74.9
111,Powders Springs 2A,Cobb,3536.0,208.0,900.0,573.0,3.0,1684.0,100.0,274.0,191.0,0.0,565.0,2249.0,63.6
112,Powders Springs 3A,Cobb,3991.0,243.0,1031.0,575.0,1.0,1850.0,131.0,438.0,255.0,0.0,824.0,2674.0,67.0
113,Pitner 01,Cobb,2814.0,183.0,369.0,344.0,1.0,897.0,346.0,531.0,311.0,1.0,1189.0,2086.0,74.1
114,Rocky Mount 01,Cobb,3390.0,140.0,363.0,533.0,1.0,1037.0,476.0,651.0,461.0,1.0,1589.0,2626.0,77.5
115,Riverside 01,Cobb,2133.0,199.0,462.0,288.0,2.0,951.0,52.0,61.0,45.0,0.0,158.0,1109.0,52.0
116,Roswell 01,Cobb,5374.0,151.0,563.0,1079.0,0.0,1793.0,521.0,1078.0,1081.0,1.0,2681.0,4474.0,83.3
117,Roswell 02,Cobb,3701.0,117.0,369.0,715.0,0.0,1201.0,412.0,693.0,734.0,3.0,1842.0,3043.0,82.2
118,Sandy Plains 01,Cobb,2933.0,144.0,404.0,521.0,2.0,1071.0,322.0,488.0,414.0,0.0,1224.0,2295.0,78.2
119,Shallowford Falls 01,Cobb,3387.0,119.0,381.0,616.0,1.0,1117.0,413.0,669.0,587.0,0.0,1669.0,2786.0,82.3
120,Simpson 01,Cobb,1868.0,61.0,259.0,284.0,0.0,604.0,186.0,406.0,273.0,1.0,866.0,1470.0,78.7
121,Sewell Mill 01,Cobb,3493.0,145.0,465.0,653.0,0.0,1263.0,362.0,597.0,553.0,0.0,1512.0,2775.0,79.4
122,Sewell Mill 03,Cobb,4759.0,320.0,710.0,619.0,2.0,1651.0,376.0,492.0,544.0,4.0,1416.0,3067.0,64.4
123,Smyrna 1A,Cobb,4152.0,380.0,784.0,610.0,3.0,1777.0,180.0,260.0,240.0,1.0,681.0,2458.0,59.2
124,Smyrna 2A,Cobb,5539.0,384.0,1237.0,936.0,1.0,2558.0,199.0,498.0,371.0,1.0,1069.0,3627.0,65.5
73,McCleskey 01,Cobb,1736.0,81.0,189.0,282.0,1.0,553.0,247.0,354.0,261.0,0.0,862.0,1415.0,81.5
143,Wade Green 02,Cobb,4718.0,250.0,766.0,713.0,0.0,1729.0,431.0,801.0,510.0,1.0,1743.0,3472.0,73.6
72,McEachern 01,Cobb,3549.0,130.0,760.0,612.0,0.0,1502.0,166.0,578.0,401.0,1.0,1146.0,2648.0,74.6
70,Macland 01,Cobb,4213.0,260.0,1013.0,733.0,2.0,2008.0,159.0,467.0,279.0,0.0,905.0,2913.0,69.1
19,Chalker 01,Cobb,6065.0,475.0,1099.0,723.0,2.0,2299.0,339.0,670.0,483.0,1.0,1493.0,3792.0,62.5
20,Clarkdale 01,Cobb,1937.0,117.0,323.0,281.0,2.0,723.0,122.0,212.0,176.0,1.0,511.0,1234.0,63.7
21,Clarkdale 02,Cobb,5372.0,430.0,1206.0,795.0,5.0,2436.0,281.0,533.0,340.0,0.0,1154.0,3590.0,66.8
22,Cooper 01,Cobb,5252.0,393.0,1183.0,866.0,4.0,2446.0,150.0,378.0,291.0,0.0,819.0,3265.0,62.2
23,Chestnut Ridge 01,Cobb,3162.0,118.0,338.0,535.0,0.0,991.0,331.0,637.0,667.0,0.0,1635.0,2626.0,83.0
24,Dickerson 01,Cobb,2828.0,81.0,328.0,550.0,1.0,960.0,272.0,579.0,518.0,3.0,1372.0,2332.0,82.5
18,Cheatham Hill 03,Cobb,4029.0,133.0,676.0,619.0,0.0,1428.0,335.0,871.0,611.0,1.0,1818.0,3246.0,80.6
25,Dobbins 01,Cobb,3024.0,246.0,399.0,331.0,7.0,983.0,110.0,155.0,125.0,6.0,396.0,1379.0,45.6
27,Dowell 01,Cobb,3197.0,162.0,538.0,510.0,4.0,1214.0,262.0,593.0,398.0,0.0,1253.0,2467.0,77.2
28,Dodgen 01,Cobb,2100.0,86.0,242.0,353.0,1.0,682.0,261.0,395.0,394.0,2.0,1052.0,1734.0,82.6
29,Durham 01,Cobb,4256.0,91.0,467.0,441.0,1.0,1000.0,402.0,1404.0,643.0,1.0,2450.0,3450.0,81.1
30,Davis 01,Cobb,2093.0,132.0,265.0,327.0,0.0,724.0,326.0,360.0,258.0,0.0,944.0,1668.0,79.7
31,Eastside 01,Cobb,3040.0,87.0,317.0,548.0,1.0,953.0,349.0,574.0,614.0,3.0,1540.0,2493.0,82.0
32,Eastside 02,Cobb,4074.0,121.0,438.0,728.0,1.0,1288.0,331.0,761.0,916.0,2.0,2010.0,3298.0,81.0
26,Dobbins 02,Cobb,3984.0,356.0,818.0,481.0,4.0,1659.0,202.0,342.0,185.0,3.0,732.0,2391.0,60.0
33,Elizabeth 01,Cobb,4065.0,307.0,771.0,520.0,3.0,1601.0,245.0,373.0,209.0,2.0,829.0,2430.0,59.8
17,Cheatham Hill 02,Cobb,3085.0,117.0,375.0,413.0,0.0,905.0,317.0,724.0,517.0,1.0,1559.0,2464.0,79.9
15,Blackwell 01,Cobb,2698.0,173.0,341.0,478.0,0.0,992.0,227.0,469.0,315.0,3.0,1014.0,2006.0,74.4
1,Acworth 1B,Cobb,5214.0,267.0,696.0,595.0,3.0,1561.0,420.0,993.0,603.0,2.0,2018.0,3579.0,68.6
2,Acworth 1C,Cobb,5110.0,284.0,1044.0,752.0,10.0,2090.0,216.0,745.0,355.0,0.0,1316.0,3406.0,66.7
3,Addison 01,Cobb,2444.0,132.0,307.0,462.0,1.0,902.0,236.0,392.0,386.0,0.0,1014.0,1916.0,78.4
4,Austell 1A,Cobb,5329.0,364.0,1229.0,896.0,9.0,2498.0,172.0,328.0,251.0,3.0,754.0,3252.0,61.0
5,Bells Ferry 02,Cobb,3127.0,164.0,392.0,459.0,1.0,1016.0,315.0,533.0,371.0,1.0,1220.0,2236.0,71.5
6,Bells Ferry 03,Cobb,2436.0,194.0,297.0,325.0,1.0,817.0,275.0,337.0,210.0,2.0,824.0,1641.0,67.4
16,Chattahoochee 01,Cobb,5969.0,399.0,1339.0,889.0,3.0,2630.0,289.0,574.0,323.0,4.0,1190.0,3820.0,64.0
7,Bells Ferry 04,Cobb,3646.0,201.0,451.0,452.0,3.0,1107.0,464.0,639.0,430.0,2.0,1535.0,2642.0,72.5
9,Big Shanty 02,Cobb,3236.0,185.0,432.0,485.0,1.0,1103.0,305.0,604.0,417.0,3.0,1329.0,2432.0,75.2
10,Baker 01,Cobb,4773.0,300.0,938.0,601.0,6.0,1845.0,355.0,740.0,350.0,3.0,1448.0,3293.0,69.0
11,Birney 01,Cobb,2727.0,214.0,451.0,396.0,5.0,1066.0,139.0,259.0,298.0,6.0,702.0,1768.0,64.8
12,Birney 02,Cobb,3894.0,183.0,816.0,756.0,4.0,1759.0,200.0,463.0,444.0,0.0,1107.0,2866.0,73.6
13,Bryant 01,Cobb,2142.0,178.0,663.0,449.0,2.0,1292.0,36.0,86.0,48.0,1.0,171.0,1463.0,68.3
14,Bryant 02,Cobb,6209.0,512.0,1389.0,736.0,6.0,2643.0,82.0,200.0,115.0,1.0,398.0,3041.0,49.0
8,Big Shanty 01,Cobb,2385.0,140.0,284.0,252.0,1.0,677.0,226.0,378.0,290.0,5.0,899.0,1576.0,66.1
34,Elizabeth 02,Cobb,2434.0,122.0,300.0,347.0,2.0,771.0,255.0,394.0,429.0,2.0,1080.0,1851.0,76.0
35,Elizabeth 03,Cobb,2767.0,113.0,346.0,405.0,0.0,864.0,319.0,471.0,562.0,2.0,1354.0,2218.0,80.2
36,Elizabeth 04,Cobb,3011.0,258.0,443.0,465.0,0.0,1166.0,269.0,298.0,285.0,1.0,853.0,2019.0,67.1
56,Kemp 01,Cobb,1960.0,66.0,192.0,215.0,0.0,473.0,253.0,510.0,334.0,0.0,1097.0,1570.0,80.1
57,Kemp 02,Cobb,4049.0,146.0,541.0,509.0,1.0,1197.0,394.0,887.0,670.0,6.0,1957.0,3154.0,77.9
58,Kemp 03,Cobb,3955.0,103.0,404.0,372.0,0.0,879.0,519.0,1177.0,614.0,2.0,2312.0,3191.0,80.7
59,Lassiter 01,Cobb,3647.0,117.0,436.0,555.0,2.0,1110.0,454.0,755.0,630.0,0.0,1839.0,2949.0,80.9
60,Lindley 01,Cobb,4797.0,257.0,1328.0,1069.0,0.0,2654.0,213.0,457.0,384.0,0.0,1054.0,3708.0,77.3
61,Lost Mountain 01,Cobb,3604.0,95.0,520.0,488.0,0.0,1103.0,204.0,1096.0,552.0,1.0,1853.0,2956.0,82.0
55,Kell 01,Cobb,2006.0,138.0,197.0,299.0,2.0,636.0,304.0,336.0,262.0,0.0,902.0,1538.0,76.7
62,Lost Mountain 02,Cobb,4121.0,99.0,517.0,388.0,0.0,1004.0,367.0,1437.0,684.0,0.0,2488.0,3492.0,84.7
64,Lost Mountain 04,Cobb,2629.0,67.0,318.0,303.0,0.0,688.0,250.0,777.0,384.0,0.0,1411.0,2099.0,79.8
65,Mableton 01,Cobb,5127.0,266.0,1068.0,938.0,0.0,2272.0,149.0,573.0,502.0,4.0,1228.0,3500.0,68.3
66,Mableton 02,Cobb,3330.0,243.0,569.0,505.0,0.0,1317.0,142.0,258.0,212.0,0.0,612.0,1929.0,57.9
67,Mableton 03,Cobb,3010.0,167.0,510.0,462.0,3.0,1142.0,202.0,420.0,367.0,0.0,989.0,2131.0,70.8
68,Mableton 04,Cobb,1581.0,66.0,254.0,289.0,0.0,609.0,142.0,257.0,246.0,0.0,645.0,1254.0,79.3
69,Mabry 01,Cobb,1656.0,58.0,172.0,207.0,1.0,438.0,244.0,380.0,301.0,4.0,929.0,1367.0,82.5
63,Lost Mountain 03,Cobb,5387.0,123.0,771.0,586.0,0.0,1480.0,287.0,1737.0,796.0,2.0,2822.0,4302.0,79.9
54,Kennesaw 5A,Cobb,5855.0,332.0,1068.0,824.0,1.0,2225.0,533.0,1109.0,527.0,0.0,2169.0,4394.0,75.0
53,Kennesaw 4A,Cobb,3783.0,187.0,569.0,523.0,1.0,1280.0,244.0,686.0,437.0,2.0,1369.0,2649.0,70.0
52,Kennesaw 3A,Cobb,6477.0,371.0,1194.0,918.0,3.0,2486.0,322.0,921.0,486.0,3.0,1732.0,4218.0,65.1
37,Elizabeth 05,Cobb,2884.0,136.0,337.0,494.0,1.0,968.0,351.0,489.0,426.0,0.0,1266.0,2234.0,77.5
38,East Piedmont 01,Cobb,2627.0,201.0,402.0,400.0,0.0,1003.0,259.0,321.0,258.0,1.0,839.0,1842.0,70.1
39,Fair Oaks 02,Cobb,5779.0,477.0,1007.0,900.0,3.0,2387.0,263.0,456.0,345.0,5.0,1069.0,3456.0,59.8
40,Fair Oaks 04,Cobb,5322.0,522.0,625.0,588.0,8.0,1743.0,267.0,316.0,307.0,1.0,891.0,2634.0,49.5
41,Fullers Park 01,Cobb,3452.0,140.0,385.0,609.0,0.0,1134.0,355.0,661.0,625.0,0.0,1641.0,2775.0,80.4
42,Ford 01,Cobb,3161.0,77.0,328.0,316.0,0.0,721.0,323.0,999.0,473.0,1.0,1796.0,2517.0,79.6
43,Frey 01,Cobb,2582.0,66.0,319.0,272.0,1.0,658.0,177.0,826.0,337.0,0.0,1340.0,1998.0,77.4
44,Garrison Mill 01,Cobb,2872.0,132.0,368.0,444.0,0.0,944.0,338.0,584.0,429.0,1.0,1352.0,2296.0,79.9
45,Gritters 01,Cobb,4033.0,246.0,457.0,563.0,1.0,1267.0,442.0,695.0,547.0,1.0,1685.0,2952.0,73.2
46,Harmony-Leland 01,Cobb,6394.0,329.0,1837.0,1351.0,5.0,3522.0,149.0,467.0,331.0,0.0,947.0,4469.0,69.9
47,Harrison 01,Cobb,3122.0,100.0,313.0,307.0,0.0,720.0,343.0,904.0,515.0,0.0,1762.0,2482.0,79.5
48,Hightower 01,Cobb,4262.0,121.0,457.0,799.0,0.0,1377.0,388.0,782.0,938.0,0.0,2108.0,3485.0,81.8
49,Hayes 01,Cobb,4111.0,125.0,444.0,498.0,1.0,1068.0,372.0,1098.0,678.0,1.0,2149.0,3217.0,78.3
50,Kennesaw 1A,Cobb,2499.0,186.0,399.0,223.0,8.0,816.0,226.0,364.0,207.0,8.0,805.0,1621.0,64.9
51,Kennesaw 2A,Cobb,3944.0,200.0,576.0,483.0,2.0,1261.0,316.0,716.0,386.0,3.0,1421.0,2682.0,68.0
71,Murdock 01,Cobb,4059.0,146.0,455.0,729.0,0.0,1330.0,447.0,720.0,804.0,0.0,1971.0,3301.0,81.3
144,Willeo 01,Cobb,2836.0,110.0,304.0,486.0,0.0,900.0,362.0,544.0,514.0,1.0,1421.0,2321.0,81.8
