,Precinct,County,Registered Voters,David Miller (Rep)_Election Day Votes,David Miller (Rep)_Advanced Voting Votes,David Miller (Rep)_Absentee by Mail Votes,David Miller (Rep)_Provisional Votes,David Miller (Rep)_Choice Total,Total,Leanna Pledger (Rep)_Election Day Votes,Leanna Pledger (Rep)_Advanced Voting Votes,Leanna Pledger (Rep)_Absentee by Mail Votes,Leanna Pledger (Rep)_Provisional Votes,Leanna Pledger (Rep)_Choice Total,Julian Holder (I) (Dem)_Election Day Votes,Julian Holder (I) (Dem)_Advanced Voting Votes,Julian Holder (I) (Dem)_Absentee by Mail Votes,Julian Holder (I) (Dem)_Provisional Votes,Julian Holder (I) (Dem)_Choice Total,Tonny L. Ingram (Dem)_Election Day Votes,Tonny L. Ingram (Dem)_Advanced Voting Votes,Tonny L. Ingram (Dem)_Absentee by Mail Votes,Tonny L. Ingram (Dem)_Provisional Votes,Tonny L. Ingram (Dem)_Choice Total,Geraldine West Hudley (Dem)_Election Day Votes,Geraldine West Hudley (Dem)_Advanced Voting Votes,Geraldine West Hudley (Dem)_Absentee by Mail Votes,Geraldine West Hudley (Dem)_Provisional Votes,Geraldine West Hudley (Dem)_Choice Total,Len Stovall (Rep)_Election Day Votes,Len Stovall (Rep)_Advanced Voting Votes,Len Stovall (Rep)_Absentee by Mail Votes,Len Stovall (Rep)_Provisional Votes,Len Stovall (Rep)_Choice Total,Jeff Fuller (I) (Rep)_Election Day Votes,Jeff Fuller (I) (Rep)_Advanced Voting Votes,Jeff Fuller (I) (Rep)_Absentee by Mail Votes,Jeff Fuller (I) (Rep)_Provisional Votes,Jeff Fuller (I) (Rep)_Choice Total,Selena Jackson Guines (Dem)_Election Day Votes,Selena Jackson Guines (Dem)_Advanced Voting Votes,Selena Jackson Guines (Dem)_Absentee by Mail Votes,Selena Jackson Guines (Dem)_Provisional Votes,Selena Jackson Guines (Dem)_Choice Total,Jim Sellars (I) (Rep)_Election Day Votes,Jim Sellars (I) (Rep)_Advanced Voting Votes,Jim Sellars (I) (Rep)_Absentee by Mail Votes,Jim Sellars (I) (Rep)_Provisional Votes,Jim Sellars (I) (Rep)_Choice Total,calc_participation
34,Litman Cathedral,Dougherty,1486.0,,,,,,661.0,,,,,,,,,,,,,,,,242.0,191.0,205.0,23.0,661.0,,,,,,,,,,,,,,,,,,,,,44.5
23,Covenant Church,Dougherty,2334.0,,,,,,1168.0,,,,,,,,,,,,,,,,453.0,426.0,288.0,1.0,1168.0,,,,,,,,,,,,,,,,,,,,,50.0
22,Sherwood Elementary,Dougherty,3205.0,,,,,,1637.0,,,,,,,,,,,,,,,,548.0,672.0,416.0,1.0,1637.0,,,,,,,,,,,,,,,,,,,,,51.1
21,Palmyra Methodist,Dougherty,2761.0,,,,,,1234.0,,,,,,,,,,,,,,,,431.0,467.0,330.0,6.0,1234.0,,,,,,,,,,,,,,,,,,,,,44.7
38,Bill Miller Center,Dougherty,2404.0,,,,,,1055.0,,,,,,,,,,,,,,,,361.0,390.0,299.0,5.0,1055.0,,,,,,,,,,,,,,,,,,,,,43.9
41,International Studies,Dougherty,1042.0,,,,,,587.0,,,,,,,,,,,,,,,,161.0,219.0,206.0,1.0,587.0,,,,,,,,,,,,,,,,,,,,,56.3
42,Phoebe East,Dougherty,2965.0,,,,,,1314.0,,,,,,,,,,,,,,,,515.0,402.0,394.0,3.0,1314.0,,,,,,,,,,,,,,,,,,,,,44.3
43,Pine Bluff Baptist Church,Dougherty,2221.0,,,,,,1132.0,,,,,,,,,,,,,,,,389.0,371.0,372.0,0.0,1132.0,,,,,,,,,,,,,,,,,,,,,51.0
44,Albany Middle School,Dougherty,1963.0,,,,,,883.0,,,,,,,,,,,,,,,,349.0,270.0,261.0,3.0,883.0,,,,,,,,,,,,,,,,,,,,,45.0
45,Christ Church,Dougherty,1879.0,,,,,,1161.0,,,,,,,,,,,,,,,,375.0,467.0,318.0,1.0,1161.0,,,,,,,,,,,,,,,,,,,,,61.8
46,Lamar Reese Elementary,Dougherty,1098.0,,,,,,655.0,,,,,,,,,,,,,,,,180.0,202.0,267.0,6.0,655.0,,,,,,,,,,,,,,,,,,,,,59.7
47,1st Christian Church,Dougherty,1505.0,,,,,,828.0,,,,,,,,,,,,,,,,294.0,326.0,207.0,1.0,828.0,,,,,,,,,,,,,,,,,,,,,55.0
48,Lovett Hall,Dougherty,1174.0,,,,,,394.0,,,,,,,,,,,,,,,,195.0,166.0,32.0,1.0,394.0,,,,,,,,,,,,,,,,,,,,,33.6
24,Greenbriar Church,Dougherty,3885.0,,,,,,2312.0,,,,,,,,,,,,,,,,496.0,1076.0,734.0,6.0,2312.0,,,,,,,,,,,,,,,,,,,,,59.5
39,Radium Middle School,Dougherty,693.0,,,,,,360.0,,,,,,,,,,,,,,,,133.0,133.0,94.0,0.0,360.0,,,,,,,,,,,,,,,,,,,,,51.9
0,Hazlehurst,Jeff Davis,1406.0,164.0,300.0,98.0,0.0,562.0,562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
8,Ocmulgee 2,Jeff Davis,499.0,111.0,140.0,44.0,0.0,295.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1
7,Ocmulgee 1,Jeff Davis,1399.0,199.0,551.0,108.0,0.0,858.0,858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3
6,Whitehead 2,Jeff Davis,642.0,196.0,203.0,45.0,0.0,444.0,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2
5,Whitehead 1,Jeff Davis,988.0,118.0,370.0,89.0,0.0,577.0,577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4
4,Blackburn 2,Jeff Davis,722.0,175.0,256.0,59.0,0.0,490.0,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9
3,Blackburn 1,Jeff Davis,870.0,110.0,248.0,67.0,0.0,425.0,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9
2,Altamaha 2,Jeff Davis,1249.0,335.0,474.0,82.0,0.0,891.0,891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3
1,Altamaha 1,Jeff Davis,703.0,97.0,324.0,45.0,0.0,466.0,466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3
61,Nebo Elem School,Paulding,10070.0,,,,,,7010.0,,,,,,,,,,,,,,,,,,,,,,,,,,1070.0,3271.0,772.0,4.0,5117.0,293.0,929.0,665.0,6.0,1893.0,,,,,,69.6
62,White Oak Park,Paulding,5833.0,,,,,,4009.0,,,,,,,,,,,,,,,,,,,,,,,,,,483.0,1632.0,432.0,7.0,2554.0,237.0,750.0,466.0,2.0,1455.0,,,,,,68.7
63,Mulberry Rock Park,Paulding,5911.0,,,,,,4334.0,,,,,,,,,,,,,,,,,,,,,,,,,,697.0,2311.0,588.0,4.0,3600.0,117.0,372.0,244.0,1.0,734.0,,,,,,73.3
67,Taylor Farm Park,Paulding,2761.0,,,,,,1938.0,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,773.0,287.0,0.0,1232.0,101.0,404.0,201.0,0.0,706.0,,,,,,70.2
65,Paulding County Airport,Paulding,4132.0,,,,,,2862.0,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,1308.0,321.0,3.0,2165.0,118.0,340.0,237.0,2.0,697.0,,,,,,69.3
66,Picketts Mill Baptist Church,Paulding,2748.0,,,,,,2132.0,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,949.0,272.0,0.0,1522.0,72.0,288.0,249.0,1.0,610.0,,,,,,77.6
60,D Wright Innovation Ctr,Paulding,7137.0,,,,,,5001.0,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,2200.0,366.0,2.0,3061.0,257.0,1068.0,614.0,1.0,1940.0,,,,,,70.1
64,Beulahland Baptist Church,Paulding,2547.0,,,,,,1833.0,,,,,,,,,,,,,,,,,,,,,,,,,,366.0,887.0,188.0,3.0,1444.0,60.0,199.0,130.0,0.0,389.0,,,,,,72.0
59,Poplar Sprgs Bapt Church,Paulding,4825.0,,,,,,3276.0,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,926.0,285.0,0.0,1465.0,250.0,996.0,564.0,1.0,1811.0,,,,,,67.9
55,Legacy Bapt Church,Paulding,4443.0,,,,,,3012.0,,,,,,,,,,,,,,,,,,,,,,,,,,319.0,1072.0,447.0,1.0,1839.0,146.0,596.0,427.0,4.0,1173.0,,,,,,67.8
57,West Ridge Church,Paulding,11546.0,,,,,,8375.0,,,,,,,,,,,,,,,,,,,,,,,,,,1022.0,3615.0,1184.0,3.0,5824.0,328.0,1290.0,931.0,2.0,2551.0,,,,,,72.5
56,Watson Govt Cmplx,Paulding,10774.0,,,,,,7115.0,,,,,,,,,,,,,,,,,,,,,,,,,,647.0,2683.0,815.0,8.0,4153.0,392.0,1604.0,963.0,3.0,2962.0,,,,,,66.0
68,Dobbins Middle School,Paulding,8081.0,,,,,,5813.0,,,,,,,,,,,,,,,,,,,,,,,,,,407.0,2024.0,492.0,2.0,2925.0,349.0,1560.0,977.0,2.0,2888.0,,,,,,71.9
54,Paulding Sr Center,Paulding,5972.0,,,,,,4326.0,,,,,,,,,,,,,,,,,,,,,,,,,,499.0,1810.0,430.0,4.0,2743.0,206.0,864.0,511.0,2.0,1583.0,,,,,,72.4
53,Russom Elementary,Paulding,8243.0,,,,,,6598.0,,,,,,,,,,,,,,,,,,,,,,,,,,699.0,2789.0,1024.0,5.0,4517.0,213.0,1003.0,863.0,2.0,2081.0,,,,,,80.0
52,Shelton Elementary,Paulding,5095.0,,,,,,3903.0,,,,,,,,,,,,,,,,,,,,,,,,,,461.0,1617.0,430.0,3.0,2511.0,179.0,772.0,441.0,0.0,1392.0,,,,,,76.6
51,Crossroads Library,Paulding,3662.0,,,,,,3037.0,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,1482.0,420.0,1.0,2226.0,86.0,409.0,316.0,0.0,811.0,,,,,,82.9
50,Burnt Hickory Park,Paulding,6242.0,,,,,,4858.0,,,,,,,,,,,,,,,,,,,,,,,,,,605.0,2742.0,602.0,4.0,3953.0,126.0,497.0,280.0,2.0,905.0,,,,,,77.8
58,Events Place,Paulding,4923.0,,,,,,3420.0,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,744.0,292.0,3.0,1267.0,252.0,1148.0,750.0,3.0,2153.0,,,,,,69.5
69,Precinct One,Schley,2882.0,,,,,,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,1417.0,244.0,1.0,2007.0,69.6
49,Senior Center,Stephens,0.0,,,,,,10292.0,,,,,,,,,,,,,,,,,,,,,1401.0,7209.0,1679.0,3.0,10292.0,,,,,,,,,,,,,,,,
