Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
Grove First Baptist Church,Columbia,2954,179,523,80,0,782,157,678,327,1,1163,10,17,8,0,35,1980,
Eubank-Blanchard Center,Columbia,1576,380,490,76,1,947,84,110,83,0,277,3,8,0,0,11,1235,
Second Mt Carmel Baptist Church731,Columbia,106,141,21,0,268,126,71,87,0,284,0,2,2,0,4,556,,
Damascus Baptist Church,Columbia,1023,354,300,65,1,720,34,34,31,0,99,3,2,0,0,5,824,
Col Cty Bd of Edu,Columbia,2143,224,692,150,2,1068,97,298,174,1,570,5,6,5,0,16,1654,
Greenbrier High,Columbia,3369,476,1180,212,3,1871,110,389,293,1,793,14,24,8,0,46,2710,
Parkway Baptist Church,Columbia,4596,579,1491,252,2,2324,152,741,375,1,1269,29,21,10,0,60,3653,
Riverview Church,Columbia,1320,147,444,92,0,683,59,178,141,0,378,8,7,2,0,17,1078,
Grace Baptist Church,Columbia,3558,404,961,161,0,1526,141,673,357,0,1171,13,27,10,0,50,2747,
Christ Sanctified,Columbia,2521,347,747,173,1,1268,102,282,186,0,570,15,15,1,0,31,1869,
Blanchard Park,Columbia,2026,244,413,137,2,796,109,304,183,0,596,7,6,6,0,19,1411,
Belair Baptist Church,Columbia,2440,343,592,173,1,1109,123,338,215,1,677,23,6,7,0,36,1822,
Marvin Methodist,Columbia,1937,317,382,133,0,832,138,196,198,0,532,12,11,4,0,27,1391,
Westside Baptist Church,Columbia,1516,275,407,173,0,855,78,118,150,0,346,6,10,1,0,17,1218,
Trinity Baptist Church,Columbia,2836,447,783,251,2,1483,117,258,197,1,573,14,4,10,0,28,2084,
Abilene Baptist,Columbia,2046,307,497,159,0,963,85,204,175,0,464,11,4,2,0,17,1444,
Augusta Christian,Columbia,2179,319,515,169,0,1003,133,248,223,1,605,12,8,4,0,24,1632,
Savannah Rapids Pavilion,Columbia,1549,130,613,255,0,998,35,141,204,0,380,6,2,4,0,12,1390,
Gospel Water Branch,Columbia,2096,244,629,137,2,1012,114,291,247,2,654,3,9,6,0,18,1684,
Genesis Church,Columbia,1830,243,522,172,0,937,81,208,188,1,478,9,5,8,0,22,1437,
Stevens Creek Church,Columbia,2760,367,925,250,1,1543,110,324,302,0,736,6,14,5,0,25,2304,
Mtz Col Fire Hdqtr,Columbia,1291,198,238,71,0,507,106,120,94,1,321,12,3,4,0,19,847,
Lakeside Middle,Columbia,1923,261,482,82,0,825,107,245,159,1,512,15,16,4,0,35,1372,
Martinez Baptist,Columbia,1962,324,337,106,0,767,146,225,157,0,528,19,8,1,0,28,1323,
Gold Cross EMS,Columbia,1889,234,478,290,5,1007,64,152,161,1,378,10,8,1,0,19,1404,
Church of Our Savior,Columbia,2310,309,481,191,3,984,161,251,235,2,649,11,10,4,0,25,1658,
West Acres Baptist,Columbia,2424,305,756,170,1,1232,96,261,213,0,570,2,11,7,0,20,1822,
Journey Comm Church,Columbia,1268,160,503,142,3,808,38,109,91,0,238,5,9,1,0,15,1061,
Wesley Methodist,Columbia,2434,317,802,182,3,1304,99,302,176,1,578,10,13,6,0,29,1911,
Col Cty Main Library,Columbia,2106,193,679,131,0,1003,64,296,198,1,559,6,5,3,0,14,1576,
Christ Church Presbyterian,Columbia,2081,273,730,134,1,1138,73,254,171,1,499,9,14,5,0,28,1665,
Blue Ridge Elementary,Columbia,2301,270,606,142,0,1018,135,293,189,1,618,15,11,5,0,31,1667,
Christ The King Luth Church,Columbia,2148,203,749,234,0,1186,44,273,247,1,565,6,5,4,0,15,1766,
